test,approach,answer,time,responseTime
30-0.02-4c,4c-2000f,1,0.02,7834979.0
30-0.02-4c,4c-2000f,2,0.02,13188438.6
30-0.02-4c,4c-2000f,3,0.03,16718880.3
30-0.02-4c,4c-2000f,4,0.03,16754215.2
30-0.02-4c,4c-2000f,5,0.04,24978844.4
30-0.02-4c,4c-2000f,6,0.04,22932294.4
30-0.02-4c,4c-2000f,7,0.04,26745656.5
30-0.02-4c,4c-2000f,8,0.04,31313844.8
30-0.02-4c,4c-2000f,9,0.05,28787553.5
30-0.02-4c,4c-2000f,10,0.05,40296536.3
30-0.02-4c,4c-2000f,11,0.06,41005991.7
30-0.02-4c,4c-2000f,12,0.06,47148294.2
30-0.02-4c,4c-2000f,13,0.06,46125472.3
30-0.02-4c,4c-2000f,14,0.07,55270414.0
30-0.02-4c,4c-2000f,15,0.07,55866579.3
30-0.02-4c,4c-2000f,16,0.08,61453805.2
30-0.02-4c,4c-2000f,17,0.08,60452856.1
30-0.02-4c,4c-2000f,18,0.08,64222665.1
30-0.02-4c,4c-2000f,19,0.09,66053346.6
30-0.02-4c,4c-2000f,20,0.09,71528102.5
30-0.02-4c,4c-2000f,21,0.1,70520016.2
30-0.02-4c,4c-2000f,22,0.1,82035209.4
30-0.02-4c,4c-2000f,23,0.1,82144152.4
30-0.02-4c,4c-2000f,24,0.1,81369603.1
30-0.02-4c,4c-2000f,25,0.11,86580515.1
30-0.02-4c,4c-2000f,26,0.11,85128565.4
30-0.02-4c,4c-2000f,27,0.11,63464856.6
30-0.02-4c,4c-2000f,28,0.12,85470620.7
30-0.02-4c,4c-2000f,29,0.12,81901532.4
30-0.02-4c,4c-2000f,30,0.12,89196199.6
30-0.02-4c,4c-2000f,31,0.12,92675044.7
30-0.02-4c,4c-2000f,32,0.12,101930890.7
30-0.02-4c,4c-2000f,33,0.13,111854916.3
30-0.02-4c,4c-2000f,34,0.13,100384752.6
30-0.02-4c,4c-2000f,35,0.13,106449620.2
30-0.02-4c,4c-2000f,36,0.13,106727244.6
30-0.02-4c,4c-2000f,37,0.14,118116361.2
30-0.02-4c,4c-2000f,38,0.14,112374798.7
30-0.02-4c,4c-2000f,39,0.14,108396867.8
30-0.02-4c,4c-2000f,40,0.14,117384945.2
30-0.02-4c,4c-2000f,41,0.15,112798169.0
30-0.02-4c,4c-2000f,42,0.15,132545855.2
30-0.02-4c,4c-2000f,43,0.16,123547712.6
30-0.02-4c,4c-2000f,44,0.16,121741864.3
30-0.02-4c,4c-2000f,45,0.16,128735088.1
30-0.02-4c,4c-2000f,46,0.16,136682629.7
30-0.02-4c,4c-2000f,47,0.16,128030724.2
30-0.02-4c,4c-2000f,48,0.16,142949130.7
30-0.02-4c,4c-2000f,49,0.17,139274454.4
30-0.02-4c,4c-2000f,50,0.17,144955247.9
30-0.02-4c,4c-2000f,51,0.17,144409284.6
30-0.02-4c,4c-2000f,52,0.17,138787820.0
30-0.02-4c,4c-2000f,53,0.17,149189878.5
30-0.02-4c,4c-2000f,54,0.18,144211063.4
30-0.02-4c,4c-2000f,55,0.18,160034481.8
30-0.02-4c,4c-2000f,56,0.18,158279715.4
30-0.02-4c,4c-2000f,57,0.19,150563004.4
30-0.02-4c,4c-2000f,58,0.19,161149398.0
30-0.02-4c,4c-2000f,59,0.19,147794021.9
30-0.02-4c,4c-2000f,60,0.2,167615068.5
30-0.02-4c,4c-2000f,61,0.2,181325313.0
30-0.02-4c,4c-2000f,62,0.2,178979066.7
30-0.02-4c,4c-2000f,63,0.21,164926725.9
30-0.02-4c,4c-2000f,64,0.21,170205169.8
30-0.02-4c,4c-2000f,65,0.21,174972605.1
30-0.02-4c,4c-2000f,66,0.21,159456805.2
30-0.02-4c,4c-2000f,67,0.21,176914964.0
30-0.02-4c,4c-2000f,68,0.21,179472238.1
30-0.02-4c,4c-2000f,69,0.21,187770249.2
30-0.02-4c,4c-2000f,70,0.22,192002779.3
30-0.02-4c,4c-2000f,71,0.22,198757212.5
30-0.02-4c,4c-2000f,72,0.22,191892287.4
30-0.02-4c,4c-2000f,73,0.22,195141414.7
30-0.02-4c,4c-2000f,74,0.23,196669745.8
30-0.02-4c,4c-2000f,75,0.23,184119806.1
30-0.02-4c,4c-2000f,76,0.23,205536129.1
30-0.02-4c,4c-2000f,77,0.23,183485628.5
30-0.02-4c,4c-2000f,78,0.23,211805631.1
30-0.02-4c,4c-2000f,79,0.23,202145273.5
30-0.02-4c,4c-2000f,80,0.23,188752921.4
30-0.02-4c,4c-2000f,81,0.23,202040259.0
30-0.02-4c,4c-2000f,82,0.24,201173444.5
30-0.02-4c,4c-2000f,83,0.24,206900274.1
30-0.02-4c,4c-2000f,84,0.24,205310895.8
30-0.02-4c,4c-2000f,85,0.24,210332525.8
30-0.02-4c,4c-2000f,86,0.24,216473515.5
30-0.02-4c,4c-2000f,87,0.24,209338351.7
30-0.02-4c,4c-2000f,88,0.24,227931831.3
30-0.02-4c,4c-2000f,89,0.24,211369648.7
30-0.02-4c,4c-2000f,90,0.25,216030501.0
30-0.02-4c,4c-2000f,91,0.25,222243593.4
30-0.02-4c,4c-2000f,92,0.25,217068469.5
30-0.02-4c,4c-2000f,93,0.25,220493492.5
30-0.02-4c,4c-2000f,94,0.25,219846120.2
30-0.02-4c,4c-2000f,95,0.25,210039633.5
30-0.02-4c,4c-2000f,96,0.25,218087138.3
30-0.02-4c,4c-2000f,97,0.25,229544763.6
30-0.02-4c,4c-2000f,98,0.26,224855044.4
30-0.02-4c,4c-2000f,99,0.26,227567368.0
30-0.02-4c,4c-2000f,100,0.26,229287487.9
30-0.02-4c,4c-2000f,101,0.26,229828843.8
30-0.02-4c,4c-2000f,102,0.26,230532959.5
30-0.02-4c,4c-2000f,103,0.26,223799914.6
30-0.02-4c,4c-2000f,104,0.26,228215123.1
