test,approach,answer,time,responseTime
30-0.02-8c,8c-100f,1,0.0,255636.0
30-0.02-8c,8c-100f,2,0.01,6772696.5
30-0.02-8c,8c-100f,3,0.01,7510020.5
30-0.02-8c,8c-100f,4,0.01,5846885.0
30-0.02-8c,8c-100f,5,0.01,9147002.5
30-0.02-8c,8c-100f,6,0.01,9701995.5
30-0.02-8c,8c-100f,7,0.01,10104707.5
30-0.02-8c,8c-100f,8,0.02,9917218.0
30-0.02-8c,8c-100f,9,0.02,11100658.5
30-0.02-8c,8c-100f,10,0.02,11768482.5
30-0.02-8c,8c-100f,11,0.02,12793894.5
30-0.02-8c,8c-100f,12,0.02,10802935.0
30-0.02-8c,8c-100f,13,0.02,15988471.5
30-0.02-8c,8c-100f,14,0.02,17080229.5
30-0.02-8c,8c-100f,15,0.02,13205055.0
30-0.02-8c,8c-100f,16,0.02,13233788.5
30-0.02-8c,8c-100f,17,0.02,13771533.5
30-0.02-8c,8c-100f,18,0.02,12805976.5
30-0.02-8c,8c-100f,19,0.02,19547250.5
30-0.02-8c,8c-100f,20,0.03,22224309.5
30-0.02-8c,8c-100f,21,0.03,23679811.0
30-0.02-8c,8c-100f,22,0.03,22399700.5
30-0.02-8c,8c-100f,23,0.03,19234779.0
30-0.02-8c,8c-100f,24,0.03,24467166.5
30-0.02-8c,8c-100f,25,0.03,26450567.0
30-0.02-8c,8c-100f,26,0.03,20146118.5
30-0.02-8c,8c-100f,27,0.03,22498157.0
30-0.02-8c,8c-100f,28,0.03,22205471.0
30-0.02-8c,8c-100f,29,0.03,24270185.0
30-0.02-8c,8c-100f,30,0.03,24288854.5
30-0.02-8c,8c-100f,31,0.03,21713730.5
30-0.02-8c,8c-100f,32,0.03,15024550.0
30-0.02-8c,8c-100f,33,0.04,24620192.0
30-0.02-8c,8c-100f,34,0.04,22881375.5
30-0.02-8c,8c-100f,35,0.04,33044820.0
30-0.02-8c,8c-100f,36,0.04,31380824.5
30-0.02-8c,8c-100f,37,0.04,32710775.5
30-0.02-8c,8c-100f,38,0.04,28627511.5
30-0.02-8c,8c-100f,39,0.04,30728319.5
30-0.02-8c,8c-100f,40,0.04,30260718.0
30-0.02-8c,8c-100f,41,0.04,35474114.5
30-0.02-8c,8c-100f,42,0.04,25841982.5
30-0.02-8c,8c-100f,43,0.04,31138599.5
30-0.02-8c,8c-100f,44,0.04,25365667.5
30-0.02-8c,8c-100f,45,0.04,29350195.0
30-0.02-8c,8c-100f,46,0.04,26356084.0
30-0.02-8c,8c-100f,47,0.04,34037929.5
30-0.02-8c,8c-100f,48,0.04,37464077.5
30-0.02-8c,8c-100f,49,0.04,37369296.0
30-0.02-8c,8c-100f,50,0.04,29380761.5
30-0.02-8c,8c-100f,51,0.04,24450652.5
30-0.02-8c,8c-100f,52,0.04,33287383.5
30-0.02-8c,8c-100f,53,0.05,29113797.5
30-0.02-8c,8c-100f,54,0.05,37202534.0
30-0.02-8c,8c-100f,55,0.05,31933495.5
30-0.02-8c,8c-100f,56,0.05,41324667.5
30-0.02-8c,8c-100f,57,0.05,38478673.5
30-0.02-8c,8c-100f,58,0.05,34247808.5
30-0.02-8c,8c-100f,59,0.05,40142119.0
30-0.02-8c,8c-100f,60,0.05,39311379.5
30-0.02-8c,8c-100f,61,0.05,28026361.0
30-0.02-8c,8c-100f,62,0.05,45007764.0
30-0.02-8c,8c-100f,63,0.05,33400020.5
30-0.02-8c,8c-100f,64,0.05,32714160.5
30-0.02-8c,8c-100f,65,0.06,44313713.0
30-0.02-8c,8c-100f,66,0.06,31196153.5
30-0.02-8c,8c-100f,67,0.06,39938494.5
30-0.02-8c,8c-100f,68,0.06,40130687.5
30-0.02-8c,8c-100f,69,0.06,32258255.5
30-0.02-8c,8c-100f,70,0.06,32933278.0
30-0.02-8c,8c-100f,71,0.06,40648312.5
30-0.02-8c,8c-100f,72,0.06,44386348.5
30-0.02-8c,8c-100f,73,0.06,33821633.5
30-0.02-8c,8c-100f,74,0.06,37440779.5
30-0.02-8c,8c-100f,75,0.06,47687483.5
30-0.02-8c,8c-100f,76,0.06,41261240.0
30-0.02-8c,8c-100f,77,0.06,34682576.0
30-0.02-8c,8c-100f,78,0.06,33939339.0
30-0.02-8c,8c-100f,79,0.06,38692859.0
30-0.02-8c,8c-100f,80,0.06,31809204.5
30-0.02-8c,8c-100f,81,0.06,56077062.0
30-0.02-8c,8c-100f,82,0.06,50576899.5
30-0.02-8c,8c-100f,83,0.06,47212599.5
30-0.02-8c,8c-100f,84,0.06,48179931.0
30-0.02-8c,8c-100f,85,0.06,43892174.5
30-0.02-8c,8c-100f,86,0.06,53038629.5
30-0.02-8c,8c-100f,87,0.06,40100220.5
30-0.02-8c,8c-100f,88,0.06,49690940.5
30-0.02-8c,8c-100f,89,0.06,42611753.0
30-0.02-8c,8c-100f,90,0.06,42660761.0
30-0.02-8c,8c-100f,91,0.06,42520601.0
30-0.02-8c,8c-100f,92,0.06,50176058.5
30-0.02-8c,8c-100f,93,0.06,43898934.0
30-0.02-8c,8c-100f,94,0.06,40711629.0
30-0.02-8c,8c-100f,95,0.06,43763647.5
30-0.02-8c,8c-100f,96,0.06,43573667.0
30-0.02-8c,8c-100f,97,0.06,54221979.0
30-0.02-8c,8c-100f,98,0.07,32567749.0
30-0.02-8c,8c-100f,99,0.07,45104786.5
30-0.02-8c,8c-100f,100,0.07,58376196.0
