test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-1000f,11181454,16.47,7923474023,37959
30-0.02-16c,16c-1000f,11036977,16.32,7807071502,37959
30-0.02-16c,16c-1000f,14318136,16.52,7952540344,37959
30-0.02-16c,16c-1000f,12827639,16.36,7780665393,37959
30-0.02-16c,16c-1000f,23463536,16.35,7918970388,37959
30-0.02-16c,16c-1000f,10236742,16.36,7805082275,37959
30-0.02-16c,16c-1000f,12071516,16.05,7742366674,37959
30-0.02-16c,16c-1000f,13420623,16.06,7702698747,37959
30-0.02-16c,16c-1000f,14075003,16.33,7879560231,37959
30-0.02-16c,16c-1000f,16548916,16.1,7730800478,37959
