test,approach,answer,time,responseTime
30-0.02-8c,8c-100f,1,0.01,70303.6
30-0.02-8c,8c-100f,2,0.01,4451652.5
30-0.02-8c,8c-100f,3,0.01,4785013.9
30-0.02-8c,8c-100f,4,0.02,8320388.1
30-0.02-8c,8c-100f,5,0.02,10450775.0
30-0.02-8c,8c-100f,6,0.02,9943586.5
30-0.02-8c,8c-100f,7,0.02,9823099.1
30-0.02-8c,8c-100f,8,0.02,11090909.8
30-0.02-8c,8c-100f,9,0.02,7776422.3
30-0.02-8c,8c-100f,10,0.02,13202381.8
30-0.02-8c,8c-100f,11,0.03,16817466.1
30-0.02-8c,8c-100f,12,0.03,12735095.4
30-0.02-8c,8c-100f,13,0.03,16174481.6
30-0.02-8c,8c-100f,14,0.03,21554184.9
30-0.02-8c,8c-100f,15,0.03,16723056.5
30-0.02-8c,8c-100f,16,0.03,20763701.3
30-0.02-8c,8c-100f,17,0.03,17746761.9
30-0.02-8c,8c-100f,18,0.04,19857017.3
30-0.02-8c,8c-100f,19,0.04,24718062.6
30-0.02-8c,8c-100f,20,0.04,23797327.1
30-0.02-8c,8c-100f,21,0.04,24894675.8
30-0.02-8c,8c-100f,22,0.04,25974985.5
30-0.02-8c,8c-100f,23,0.04,25024803.3
30-0.02-8c,8c-100f,24,0.04,25227391.3
30-0.02-8c,8c-100f,25,0.04,29259284.6
30-0.02-8c,8c-100f,26,0.04,27215917.5
30-0.02-8c,8c-100f,27,0.04,29094968.4
30-0.02-8c,8c-100f,28,0.05,32170477.0
30-0.02-8c,8c-100f,29,0.05,32294251.6
30-0.02-8c,8c-100f,30,0.05,34561607.0
30-0.02-8c,8c-100f,31,0.05,28782929.0
30-0.02-8c,8c-100f,32,0.05,32627638.7
30-0.02-8c,8c-100f,33,0.05,35366260.0
30-0.02-8c,8c-100f,34,0.05,31883980.3
30-0.02-8c,8c-100f,35,0.05,37354794.4
30-0.02-8c,8c-100f,36,0.05,34511512.1
30-0.02-8c,8c-100f,37,0.05,42784431.2
30-0.02-8c,8c-100f,38,0.05,39867525.9
30-0.02-8c,8c-100f,39,0.06,34582324.4
30-0.02-8c,8c-100f,40,0.06,38695991.9
30-0.02-8c,8c-100f,41,0.06,36840539.4
30-0.02-8c,8c-100f,42,0.06,30572814.8
30-0.02-8c,8c-100f,43,0.06,33993500.0
30-0.02-8c,8c-100f,44,0.06,37571056.2
30-0.02-8c,8c-100f,45,0.06,36104238.0
30-0.02-8c,8c-100f,46,0.06,38335663.9
30-0.02-8c,8c-100f,47,0.06,28516159.2
30-0.02-8c,8c-100f,48,0.06,39985098.6
30-0.02-8c,8c-100f,49,0.06,45625414.5
30-0.02-8c,8c-100f,50,0.06,46018078.6
30-0.02-8c,8c-100f,51,0.06,46088235.8
30-0.02-8c,8c-100f,52,0.06,45343502.1
30-0.02-8c,8c-100f,53,0.07,36610639.9
30-0.02-8c,8c-100f,54,0.07,43403703.2
30-0.02-8c,8c-100f,55,0.07,35210158.0
30-0.02-8c,8c-100f,56,0.07,44497678.6
30-0.02-8c,8c-100f,57,0.07,40741091.0
30-0.02-8c,8c-100f,58,0.07,43275309.9
30-0.02-8c,8c-100f,59,0.07,45797183.5
30-0.02-8c,8c-100f,60,0.07,46617677.0
30-0.02-8c,8c-100f,61,0.07,34115433.7
30-0.02-8c,8c-100f,62,0.07,48220205.3
30-0.02-8c,8c-100f,63,0.07,44676049.8
30-0.02-8c,8c-100f,64,0.07,45483101.8
30-0.02-8c,8c-100f,65,0.07,50336143.8
30-0.02-8c,8c-100f,66,0.07,54714920.9
30-0.02-8c,8c-100f,67,0.08,45201452.6
30-0.02-8c,8c-100f,68,0.08,51572951.0
30-0.02-8c,8c-100f,69,0.08,52872847.0
30-0.02-8c,8c-100f,70,0.08,54700920.9
30-0.02-8c,8c-100f,71,0.08,48938324.0
30-0.02-8c,8c-100f,72,0.08,47226290.3
