test,approach,answer,time,responseTime
30-0.02-16c,16c-20f,1,0.01,6276694.4
30-0.02-16c,16c-20f,2,0.01,2979833.0
30-0.02-16c,16c-20f,3,0.01,7022443.78
30-0.02-16c,16c-20f,4,0.02,8571406.56
30-0.02-16c,16c-20f,5,0.02,8511742.67
30-0.02-16c,16c-20f,6,0.02,10696905.44
30-0.02-16c,16c-20f,7,0.02,11045777.89
30-0.02-16c,16c-20f,8,0.02,13381141.33
30-0.02-16c,16c-20f,9,0.02,10978308.22
30-0.02-16c,16c-20f,10,0.02,11012737.22
30-0.02-16c,16c-20f,11,0.02,14327705.56
30-0.02-16c,16c-20f,12,0.02,14120829.67
30-0.02-16c,16c-20f,13,0.03,12272687.33
30-0.02-16c,16c-20f,14,0.03,15496466.67
30-0.02-16c,16c-20f,15,0.03,15161740.89
30-0.02-16c,16c-20f,16,0.03,14784138.89
30-0.02-16c,16c-20f,17,0.03,13503759.22
30-0.02-16c,16c-20f,18,0.03,15899434.11
30-0.02-16c,16c-20f,19,0.03,17614133.78
30-0.02-16c,16c-20f,20,0.03,12426816.33
30-0.02-16c,16c-20f,21,0.03,17915941.56
30-0.02-16c,16c-20f,22,0.03,20766504.33
30-0.02-16c,16c-20f,23,0.03,18041906.33
30-0.02-16c,16c-20f,24,0.03,21239511.0
30-0.02-16c,16c-20f,25,0.03,18993436.22
30-0.02-16c,16c-20f,26,0.03,19433444.0
30-0.02-16c,16c-20f,27,0.04,20486601.33
30-0.02-16c,16c-20f,28,0.04,21953966.22
30-0.02-16c,16c-20f,29,0.04,19367398.33
30-0.02-16c,16c-20f,30,0.04,17889251.44
30-0.02-16c,16c-20f,31,0.04,17413635.78
30-0.02-16c,16c-20f,32,0.04,20222365.0
30-0.02-16c,16c-20f,33,0.04,23148814.33
30-0.02-16c,16c-20f,34,0.04,23588265.89
30-0.02-16c,16c-20f,35,0.04,25506973.67
30-0.02-16c,16c-20f,36,0.04,23765785.33
30-0.02-16c,16c-20f,37,0.04,28040721.44
30-0.02-16c,16c-20f,38,0.04,24599483.56
30-0.02-16c,16c-20f,39,0.04,24263598.11
30-0.02-16c,16c-20f,40,0.04,18105170.56
30-0.02-16c,16c-20f,41,0.04,24051297.22
30-0.02-16c,16c-20f,42,0.04,29638755.56
30-0.02-16c,16c-20f,43,0.04,28860479.0
30-0.02-16c,16c-20f,44,0.04,25994128.78
30-0.02-16c,16c-20f,45,0.05,24937066.0
30-0.02-16c,16c-20f,46,0.05,25025855.44
30-0.02-16c,16c-20f,47,0.05,26786962.33
30-0.02-16c,16c-20f,48,0.05,30563071.0
30-0.02-16c,16c-20f,49,0.05,25837579.11
30-0.02-16c,16c-20f,50,0.05,28601841.56
30-0.02-16c,16c-20f,51,0.05,28520991.22
30-0.02-16c,16c-20f,52,0.05,27277534.78
30-0.02-16c,16c-20f,53,0.05,25867580.44
30-0.02-16c,16c-20f,54,0.05,35687805.22
30-0.02-16c,16c-20f,55,0.05,30630701.11
30-0.02-16c,16c-20f,56,0.05,27987843.67
30-0.02-16c,16c-20f,57,0.05,23132205.11
30-0.02-16c,16c-20f,58,0.05,34394852.44
30-0.02-16c,16c-20f,59,0.05,36596650.44
30-0.02-16c,16c-20f,60,0.05,28336352.0
30-0.02-16c,16c-20f,61,0.05,33443466.56
30-0.02-16c,16c-20f,62,0.05,31139920.11
30-0.02-16c,16c-20f,63,0.05,31803343.33
30-0.02-16c,16c-20f,64,0.05,30629977.67
30-0.02-16c,16c-20f,65,0.06,32957808.33
30-0.02-16c,16c-20f,66,0.06,31378002.67
30-0.02-16c,16c-20f,67,0.06,40320859.56
30-0.02-16c,16c-20f,68,0.06,37778469.11
30-0.02-16c,16c-20f,69,0.06,39545187.67
30-0.02-16c,16c-20f,70,0.06,32641216.22
30-0.02-16c,16c-20f,71,0.06,37913492.78
30-0.02-16c,16c-20f,72,0.06,37661394.22
30-0.02-16c,16c-20f,73,0.06,34123162.22
30-0.02-16c,16c-20f,74,0.06,42043725.11
30-0.02-16c,16c-20f,75,0.06,39884166.67
30-0.02-16c,16c-20f,76,0.06,27189135.89
30-0.02-16c,16c-20f,77,0.06,31793170.22
30-0.02-16c,16c-20f,78,0.06,38574001.56
30-0.02-16c,16c-20f,79,0.06,34003929.44
30-0.02-16c,16c-20f,80,0.06,48892309.56
30-0.02-16c,16c-20f,81,0.06,23778840.56
30-0.02-16c,16c-20f,82,0.06,36507917.89
30-0.02-16c,16c-20f,83,0.06,39578763.67
30-0.02-16c,16c-20f,84,0.06,40530057.33
30-0.02-16c,16c-20f,85,0.06,35703830.56
30-0.02-16c,16c-20f,86,0.07,41251785.33
30-0.02-16c,16c-20f,87,0.07,36136620.11
30-0.02-16c,16c-20f,88,0.07,45967714.67
30-0.02-16c,16c-20f,89,0.07,43922984.33
30-0.02-16c,16c-20f,90,0.07,48992461.56
30-0.02-16c,16c-20f,91,0.07,49174666.11
30-0.02-16c,16c-20f,92,0.07,48219495.78
30-0.02-16c,16c-20f,93,0.07,47263651.44
30-0.02-16c,16c-20f,94,0.07,49890177.56
30-0.02-16c,16c-20f,95,0.07,51950025.0
30-0.02-16c,16c-20f,96,0.07,39823005.33
30-0.02-16c,16c-20f,97,0.07,44360634.0
30-0.02-16c,16c-20f,98,0.07,44405177.22
30-0.02-16c,16c-20f,99,0.07,49879660.33
30-0.02-16c,16c-20f,100,0.07,54488808.22
30-0.02-16c,16c-20f,101,0.07,52609860.56
30-0.02-16c,16c-20f,102,0.07,46916438.44
30-0.02-16c,16c-20f,103,0.07,56001111.22
30-0.02-16c,16c-20f,104,0.07,53931054.22
30-0.02-16c,16c-20f,105,0.08,52155716.89
30-0.02-16c,16c-20f,106,0.08,57006318.11
30-0.02-16c,16c-20f,107,0.08,44533369.44
30-0.02-16c,16c-20f,108,0.08,58185304.22
30-0.02-16c,16c-20f,109,0.08,46157072.33
30-0.02-16c,16c-20f,110,0.08,51117455.0
30-0.02-16c,16c-20f,111,0.08,52771429.78
30-0.02-16c,16c-20f,112,0.08,62621924.89
30-0.02-16c,16c-20f,113,0.08,52585404.22
30-0.02-16c,16c-20f,114,0.08,52296776.78
30-0.02-16c,16c-20f,115,0.08,56975587.22
30-0.02-16c,16c-20f,116,0.08,49761697.11
30-0.02-16c,16c-20f,117,0.08,61720405.89
30-0.02-16c,16c-20f,118,0.08,52718782.11
30-0.02-16c,16c-20f,119,0.08,69259558.0
30-0.02-16c,16c-20f,120,0.08,69141837.56
30-0.02-16c,16c-20f,121,0.08,59304321.44
30-0.02-16c,16c-20f,122,0.08,58192724.11
30-0.02-16c,16c-20f,123,0.09,61276168.89
30-0.02-16c,16c-20f,124,0.09,55508494.22
30-0.02-16c,16c-20f,125,0.09,66785843.0
30-0.02-16c,16c-20f,126,0.09,62466802.0
30-0.02-16c,16c-20f,127,0.09,58121531.11
30-0.02-16c,16c-20f,128,0.09,58281339.89
30-0.02-16c,16c-20f,129,0.09,62254103.11
30-0.02-16c,16c-20f,130,0.09,62770980.44
30-0.02-16c,16c-20f,131,0.09,75331319.22
30-0.02-16c,16c-20f,132,0.09,63721095.44
30-0.02-16c,16c-20f,133,0.09,63052598.33
30-0.02-16c,16c-20f,134,0.09,59783155.33
30-0.02-16c,16c-20f,135,0.09,70204879.67
30-0.02-16c,16c-20f,136,0.09,76012429.33
30-0.02-16c,16c-20f,137,0.09,72326127.67
30-0.02-16c,16c-20f,138,0.09,65719271.11
30-0.02-16c,16c-20f,139,0.09,73580628.33
30-0.02-16c,16c-20f,140,0.09,60214017.33
30-0.02-16c,16c-20f,141,0.1,67650097.67
30-0.02-16c,16c-20f,142,0.1,83895340.33
30-0.02-16c,16c-20f,143,0.1,67777450.0
30-0.02-16c,16c-20f,144,0.1,65325901.11
30-0.02-16c,16c-20f,145,0.1,62558494.89
30-0.02-16c,16c-20f,146,0.1,73207281.89
30-0.02-16c,16c-20f,147,0.1,65175314.44
30-0.02-16c,16c-20f,148,0.1,68877879.44
30-0.02-16c,16c-20f,149,0.1,71827469.44
30-0.02-16c,16c-20f,150,0.1,78675694.33
30-0.02-16c,16c-20f,151,0.1,72039547.89
30-0.02-16c,16c-20f,152,0.1,73618755.67
30-0.02-16c,16c-20f,153,0.1,75850467.0
30-0.02-16c,16c-20f,154,0.1,79054853.56
30-0.02-16c,16c-20f,155,0.1,73496568.44
30-0.02-16c,16c-20f,156,0.1,81326492.89
30-0.02-16c,16c-20f,157,0.1,70166063.11
30-0.02-16c,16c-20f,158,0.1,61305483.11
30-0.02-16c,16c-20f,159,0.1,81284476.44
30-0.02-16c,16c-20f,160,0.1,85770233.56
30-0.02-16c,16c-20f,161,0.1,71721381.78
30-0.02-16c,16c-20f,162,0.11,63977767.56
30-0.02-16c,16c-20f,163,0.11,78913217.33
30-0.02-16c,16c-20f,164,0.11,84066064.33
30-0.02-16c,16c-20f,165,0.11,81897772.0
30-0.02-16c,16c-20f,166,0.11,81068318.22
30-0.02-16c,16c-20f,167,0.11,72069983.33
30-0.02-16c,16c-20f,168,0.11,80446468.67
30-0.02-16c,16c-20f,169,0.11,81123268.89
30-0.02-16c,16c-20f,170,0.11,78838264.22
30-0.02-16c,16c-20f,171,0.11,80629357.67
30-0.02-16c,16c-20f,172,0.11,70844267.33
30-0.02-16c,16c-20f,173,0.11,76852946.78
30-0.02-16c,16c-20f,174,0.11,76718223.0
30-0.02-16c,16c-20f,175,0.11,83167494.78
30-0.02-16c,16c-20f,176,0.11,90007665.56
30-0.02-16c,16c-20f,177,0.11,98705122.44
30-0.02-16c,16c-20f,178,0.11,90363808.56
30-0.02-16c,16c-20f,179,0.11,81885170.78
30-0.02-16c,16c-20f,180,0.11,89896923.67
30-0.02-16c,16c-20f,181,0.11,76858868.0
30-0.02-16c,16c-20f,182,0.11,71493211.89
30-0.02-16c,16c-20f,183,0.12,87821008.67
30-0.02-16c,16c-20f,184,0.12,83880109.22
30-0.02-16c,16c-20f,185,0.12,92681385.33
30-0.02-16c,16c-20f,186,0.12,87535911.56
30-0.02-16c,16c-20f,187,0.12,88430870.11
30-0.02-16c,16c-20f,188,0.12,86591722.44
30-0.02-16c,16c-20f,189,0.12,93790485.22
30-0.02-16c,16c-20f,190,0.12,83220747.78
30-0.02-16c,16c-20f,191,0.12,93359097.22
30-0.02-16c,16c-20f,192,0.12,95212355.33
30-0.02-16c,16c-20f,193,0.12,92467872.33
30-0.02-16c,16c-20f,194,0.12,97040466.78
30-0.02-16c,16c-20f,195,0.12,94472687.67
30-0.02-16c,16c-20f,196,0.12,88922920.33
30-0.02-16c,16c-20f,197,0.12,99826918.0
30-0.02-16c,16c-20f,198,0.12,90302475.67
30-0.02-16c,16c-20f,199,0.12,91501328.33
30-0.02-16c,16c-20f,200,0.12,99076694.56
30-0.02-16c,16c-20f,201,0.12,97382148.33
30-0.02-16c,16c-20f,202,0.12,92188302.33
30-0.02-16c,16c-20f,203,0.13,82719692.11
30-0.02-16c,16c-20f,204,0.13,100065674.67
30-0.02-16c,16c-20f,205,0.13,78030420.56
30-0.02-16c,16c-20f,206,0.13,100048201.56
30-0.02-16c,16c-20f,207,0.13,96340729.11
30-0.02-16c,16c-20f,208,0.13,108290914.78
30-0.02-16c,16c-20f,209,0.13,98457679.89
30-0.02-16c,16c-20f,210,0.13,100423989.67
30-0.02-16c,16c-20f,211,0.13,107940069.89
30-0.02-16c,16c-20f,212,0.13,107901515.78
30-0.02-16c,16c-20f,213,0.13,92003741.33
30-0.02-16c,16c-20f,214,0.13,101706622.0
30-0.02-16c,16c-20f,215,0.13,101453243.56
30-0.02-16c,16c-20f,216,0.13,104270471.89
30-0.02-16c,16c-20f,217,0.13,87430230.22
30-0.02-16c,16c-20f,218,0.13,94211499.67
30-0.02-16c,16c-20f,219,0.13,112205956.89
30-0.02-16c,16c-20f,220,0.13,105981628.67
30-0.02-16c,16c-20f,221,0.13,92207366.0
30-0.02-16c,16c-20f,222,0.13,103612891.22
30-0.02-16c,16c-20f,223,0.13,97962593.44
30-0.02-16c,16c-20f,224,0.14,109779298.67
30-0.02-16c,16c-20f,225,0.14,93095469.67
30-0.02-16c,16c-20f,226,0.14,98266197.0
30-0.02-16c,16c-20f,227,0.14,110113409.67
30-0.02-16c,16c-20f,228,0.14,114020312.44
30-0.02-16c,16c-20f,229,0.14,106069363.89
30-0.02-16c,16c-20f,230,0.14,113781857.89
30-0.02-16c,16c-20f,231,0.14,108797949.78
30-0.02-16c,16c-20f,232,0.14,101748579.44
30-0.02-16c,16c-20f,233,0.14,109402703.78
30-0.02-16c,16c-20f,234,0.14,108437969.56
30-0.02-16c,16c-20f,235,0.14,118533638.11
30-0.02-16c,16c-20f,236,0.14,121536297.0
30-0.02-16c,16c-20f,237,0.14,117302995.89
30-0.02-16c,16c-20f,238,0.14,103738884.33
30-0.02-16c,16c-20f,239,0.14,112791882.56
30-0.02-16c,16c-20f,240,0.14,115769607.78
30-0.02-16c,16c-20f,241,0.14,108488275.0
30-0.02-16c,16c-20f,242,0.14,108291756.0
30-0.02-16c,16c-20f,243,0.14,108040195.22
30-0.02-16c,16c-20f,244,0.15,107486720.22
30-0.02-16c,16c-20f,245,0.15,124095237.44
30-0.02-16c,16c-20f,246,0.15,120122842.0
30-0.02-16c,16c-20f,247,0.15,108641053.0
30-0.02-16c,16c-20f,248,0.15,111011209.56
30-0.02-16c,16c-20f,249,0.15,106414542.44
30-0.02-16c,16c-20f,250,0.15,117766699.78
30-0.02-16c,16c-20f,251,0.15,120461600.33
30-0.02-16c,16c-20f,252,0.15,121231216.44
30-0.02-16c,16c-20f,253,0.15,132557453.22
30-0.02-16c,16c-20f,254,0.15,120361154.78
30-0.02-16c,16c-20f,255,0.15,117811424.78
30-0.02-16c,16c-20f,256,0.15,120315100.44
30-0.02-16c,16c-20f,257,0.15,102793492.0
30-0.02-16c,16c-20f,258,0.15,125297240.78
30-0.02-16c,16c-20f,259,0.15,123271867.0
30-0.02-16c,16c-20f,260,0.15,125051165.0
30-0.02-16c,16c-20f,261,0.15,120869726.44
30-0.02-16c,16c-20f,262,0.15,117117052.0
30-0.02-16c,16c-20f,263,0.16,108374501.33
30-0.02-16c,16c-20f,264,0.16,124202527.33
30-0.02-16c,16c-20f,265,0.16,125276066.33
30-0.02-16c,16c-20f,266,0.16,118688237.78
30-0.02-16c,16c-20f,267,0.16,127538019.11
30-0.02-16c,16c-20f,268,0.16,122477291.11
30-0.02-16c,16c-20f,269,0.16,115768377.44
30-0.02-16c,16c-20f,270,0.16,123766285.56
30-0.02-16c,16c-20f,271,0.16,114640473.33
30-0.02-16c,16c-20f,272,0.16,130048202.44
30-0.02-16c,16c-20f,273,0.16,140294357.67
30-0.02-16c,16c-20f,274,0.16,130400704.44
30-0.02-16c,16c-20f,275,0.16,136773430.11
30-0.02-16c,16c-20f,276,0.16,140160239.0
30-0.02-16c,16c-20f,277,0.16,141284655.56
30-0.02-16c,16c-20f,278,0.17,139284928.56
30-0.02-16c,16c-20f,279,0.17,125392929.11
30-0.02-16c,16c-20f,280,0.17,125761201.89
30-0.02-16c,16c-20f,281,0.17,118957018.0
30-0.02-16c,16c-20f,282,0.17,147134400.0
30-0.02-16c,16c-20f,283,0.17,123131022.89
30-0.02-16c,16c-20f,284,0.17,125793916.22
30-0.02-16c,16c-20f,285,0.17,124959495.67
30-0.02-16c,16c-20f,286,0.17,139289239.78
30-0.02-16c,16c-20f,287,0.17,130484382.22
30-0.02-16c,16c-20f,288,0.17,132216832.67
30-0.02-16c,16c-20f,289,0.17,135898608.56
30-0.02-16c,16c-20f,290,0.17,138246194.67
30-0.02-16c,16c-20f,291,0.17,142688601.67
30-0.02-16c,16c-20f,292,0.17,146504614.78
30-0.02-16c,16c-20f,293,0.17,139375432.89
30-0.02-16c,16c-20f,294,0.17,126578070.44
30-0.02-16c,16c-20f,295,0.17,132629629.56
30-0.02-16c,16c-20f,296,0.17,137768803.22
30-0.02-16c,16c-20f,297,0.17,141188195.78
30-0.02-16c,16c-20f,298,0.17,132245271.67
30-0.02-16c,16c-20f,299,0.17,144298967.78
30-0.02-16c,16c-20f,300,0.17,148391354.33
30-0.02-16c,16c-20f,301,0.17,148653069.78
30-0.02-16c,16c-20f,302,0.18,143998359.56
30-0.02-16c,16c-20f,303,0.18,128031916.33
30-0.02-16c,16c-20f,304,0.18,140339827.89
30-0.02-16c,16c-20f,305,0.18,140650393.11
30-0.02-16c,16c-20f,306,0.18,150291536.22
30-0.02-16c,16c-20f,307,0.18,137387845.22
30-0.02-16c,16c-20f,308,0.18,153041508.89
30-0.02-16c,16c-20f,309,0.18,136513549.11
30-0.02-16c,16c-20f,310,0.18,156946345.89
30-0.02-16c,16c-20f,311,0.18,142672788.67
30-0.02-16c,16c-20f,312,0.18,155863178.0
30-0.02-16c,16c-20f,313,0.18,135136445.11
30-0.02-16c,16c-20f,314,0.18,148635584.0
30-0.02-16c,16c-20f,315,0.18,150243378.0
30-0.02-16c,16c-20f,316,0.18,153922025.44
30-0.02-16c,16c-20f,317,0.18,153556456.22
30-0.02-16c,16c-20f,318,0.18,149741780.22
30-0.02-16c,16c-20f,319,0.18,154499874.78
