test,approach,answer,time,responseTime
30-0.02-16c,16c-1f,1,3.6,6031699.0
30-0.02-16c,16c-1f,2,3.62,6078853.0
30-0.02-16c,16c-1f,3,3.8,6058108.5
30-0.02-16c,16c-1f,4,4.46,6033489.0
30-0.02-16c,16c-1f,5,8.85,6225233.0
30-0.02-16c,16c-1f,6,9.65,5755745.0
30-0.02-16c,16c-1f,7,12.02,5347475.5
30-0.02-16c,16c-1f,8,12.45,4928437.0
30-0.02-16c,16c-1f,9,14.76,7855690.0
30-0.02-16c,16c-1f,10,17.44,6696376.5
30-0.02-16c,16c-1f,11,18.48,7068274.0
30-0.02-16c,16c-1f,12,21.04,6983771.5
30-0.02-16c,16c-1f,13,21.92,10911713.5
30-0.02-16c,16c-1f,14,22.76,4975043.5
30-0.02-16c,16c-1f,15,24.58,5093549.5
30-0.02-16c,16c-1f,16,26.63,5857639.0
30-0.02-16c,16c-1f,17,27.51,5557808.0
30-0.02-16c,16c-1f,18,27.73,11658300.5
30-0.02-16c,16c-1f,19,27.98,7233312.0
30-0.02-16c,16c-1f,20,31.46,6480598.0
30-0.02-16c,16c-1f,21,32.62,6909219.0
30-0.02-16c,16c-1f,22,33.63,6596546.5
30-0.02-16c,16c-1f,23,33.84,6344601.5
30-0.02-16c,16c-1f,24,34.24,12364214.0
30-0.02-16c,16c-1f,25,34.57,6834609.0
30-0.02-16c,16c-1f,26,35.89,6720935.5
30-0.02-16c,16c-1f,27,36.29,6496424.5
30-0.02-16c,16c-1f,28,36.68,10859091.5
30-0.02-16c,16c-1f,29,37.48,6163850.0
30-0.02-16c,16c-1f,30,37.84,8398694.0
30-0.02-16c,16c-1f,31,39.63,5890695.0
30-0.02-16c,16c-1f,32,44.34,7148901.0
30-0.02-16c,16c-1f,33,44.42,12344518.0
30-0.02-16c,16c-1f,34,46.79,12073652.0
30-0.02-16c,16c-1f,35,47.16,6817698.0
30-0.02-16c,16c-1f,36,47.85,6809791.5
30-0.02-16c,16c-1f,37,48.72,6821645.0
30-0.02-16c,16c-1f,38,49.62,7026120.5
30-0.02-16c,16c-1f,39,49.99,16806104.5
30-0.02-16c,16c-1f,40,50.36,6971275.5
30-0.02-16c,16c-1f,41,52.81,5031995.0
30-0.02-16c,16c-1f,42,56.18,5289764.5
30-0.02-16c,16c-1f,43,58.5,5862346.0
30-0.02-16c,16c-1f,44,62.61,19791312.0
30-0.02-16c,16c-1f,45,63.3,13600970.0
30-0.02-16c,16c-1f,46,65.59,5366399.0
30-0.02-16c,16c-1f,47,67.43,7140046.0
30-0.02-16c,16c-1f,48,68.25,6931590.5
30-0.02-16c,16c-1f,49,73.92,6267575.0
30-0.02-16c,16c-1f,50,74.48,5718564.0
30-0.02-16c,16c-1f,51,74.85,6488786.5
30-0.02-16c,16c-1f,52,75.14,10766187.0
30-0.02-16c,16c-1f,53,75.94,12082054.0
30-0.02-16c,16c-1f,54,77.52,6673703.5
30-0.02-16c,16c-1f,55,81.48,10143763.5
30-0.02-16c,16c-1f,56,81.63,6481389.5
30-0.02-16c,16c-1f,57,83.14,6263460.0
30-0.02-16c,16c-1f,58,89.28,6541422.5
30-0.02-16c,16c-1f,59,89.44,5421765.0
30-0.02-16c,16c-1f,60,90.1,16396147.0
30-0.02-16c,16c-1f,61,90.31,6751578.0
30-0.02-16c,16c-1f,62,90.68,18215308.5
30-0.02-16c,16c-1f,63,91.0,6766565.5
30-0.02-16c,16c-1f,64,91.1,11378192.0
30-0.02-16c,16c-1f,65,93.58,8941645.5
30-0.02-16c,16c-1f,66,94.16,5171464.5
30-0.02-16c,16c-1f,67,94.28,5108421.0
30-0.02-16c,16c-1f,68,96.1,9401901.0
30-0.02-16c,16c-1f,69,96.76,6299238.5
30-0.02-16c,16c-1f,70,98.38,5824176.0
30-0.02-16c,16c-1f,71,98.94,6204336.0
30-0.02-16c,16c-1f,72,102.03,5461890.5
30-0.02-16c,16c-1f,73,103.36,11102484.5
30-0.02-16c,16c-1f,74,104.66,6561616.0
30-0.02-16c,16c-1f,75,106.01,5135861.5
30-0.02-16c,16c-1f,76,106.53,5713085.5
30-0.02-16c,16c-1f,77,107.38,6658425.0
30-0.02-16c,16c-1f,78,107.9,6624236.0
30-0.02-16c,16c-1f,79,109.3,10810883.0
30-0.02-16c,16c-1f,80,112.38,6584308.5
30-0.02-16c,16c-1f,81,119.48,11825662.5
30-0.02-16c,16c-1f,82,120.16,6960592.5
30-0.02-16c,16c-1f,83,122.24,5221093.0
30-0.02-16c,16c-1f,84,124.62,11743511.5
30-0.02-16c,16c-1f,85,124.68,5455886.0
30-0.02-16c,16c-1f,86,126.47,12852017.0
30-0.02-16c,16c-1f,87,127.84,6435445.5
30-0.02-16c,16c-1f,88,130.9,8950922.0
30-0.02-16c,16c-1f,89,132.32,6551769.0
30-0.02-16c,16c-1f,90,138.0,6480741.5
30-0.02-16c,16c-1f,91,138.35,24021817.0
30-0.02-16c,16c-1f,92,139.08,6829220.0
30-0.02-16c,16c-1f,93,140.55,5484139.0
30-0.02-16c,16c-1f,94,141.54,5810942.5
30-0.02-16c,16c-1f,95,144.58,5769399.5
30-0.02-16c,16c-1f,96,147.51,5480355.5
30-0.02-16c,16c-1f,97,150.6,14603770.5
30-0.02-16c,16c-1f,98,151.02,9613574.5
30-0.02-16c,16c-1f,99,151.18,6376445.5
30-0.02-16c,16c-1f,100,151.22,11244479.0
30-0.02-16c,16c-1f,101,152.74,5716757.5
30-0.02-16c,16c-1f,102,152.99,5290825.0
30-0.02-16c,16c-1f,103,153.98,8243870.5
30-0.02-16c,16c-1f,104,155.86,10140196.0
30-0.02-16c,16c-1f,105,158.56,6140557.0
30-0.02-16c,16c-1f,106,160.9,6404051.0
30-0.02-16c,16c-1f,107,162.28,6178955.5
30-0.02-16c,16c-1f,108,168.24,5789794.0
30-0.02-16c,16c-1f,109,171.02,6677848.5
30-0.02-16c,16c-1f,110,172.12,6348414.5
30-0.02-16c,16c-1f,111,172.8,10183616.0
30-0.02-16c,16c-1f,112,177.16,6661852.5
30-0.02-16c,16c-1f,113,178.92,6715992.5
30-0.02-16c,16c-1f,114,179.2,6201065.5
30-0.02-16c,16c-1f,115,180.94,6371450.0
30-0.02-16c,16c-1f,116,181.8,5878596.0
30-0.02-16c,16c-1f,117,182.14,7225382.5
30-0.02-16c,16c-1f,118,187.2,6366400.0
30-0.02-16c,16c-1f,119,187.56,9660818.0
30-0.02-16c,16c-1f,120,190.4,5264925.0
30-0.02-16c,16c-1f,121,191.6,5693843.0
30-0.02-16c,16c-1f,122,192.09,7128436.0
30-0.02-16c,16c-1f,123,192.2,5946947.0
30-0.02-16c,16c-1f,124,193.66,6528318.0
30-0.02-16c,16c-1f,125,194.97,6162831.5
30-0.02-16c,16c-1f,126,195.11,8844624.0
30-0.02-16c,16c-1f,127,195.8,7227245.5
30-0.02-16c,16c-1f,128,197.48,6584467.0
30-0.02-16c,16c-1f,129,197.88,17306046.5
30-0.02-16c,16c-1f,130,199.44,6653284.0
30-0.02-16c,16c-1f,131,199.98,11128619.0
30-0.02-16c,16c-1f,132,201.04,9814821.5
30-0.02-16c,16c-1f,133,204.12,15331266.0
30-0.02-16c,16c-1f,134,207.56,6729871.0
30-0.02-16c,16c-1f,135,207.75,6999645.0
30-0.02-16c,16c-1f,136,208.16,11820177.0
30-0.02-16c,16c-1f,137,209.52,9491512.0
30-0.02-16c,16c-1f,138,210.0,17413483.0
30-0.02-16c,16c-1f,139,212.7,9992057.5
30-0.02-16c,16c-1f,140,216.46,6566961.0
30-0.02-16c,16c-1f,141,216.98,8386281.0
30-0.02-16c,16c-1f,142,218.18,5074545.5
30-0.02-16c,16c-1f,143,218.83,9525570.5
30-0.02-16c,16c-1f,144,218.92,5400887.0
30-0.02-16c,16c-1f,145,222.2,6423485.0
30-0.02-16c,16c-1f,146,224.32,5793849.0
30-0.02-16c,16c-1f,147,227.74,6034439.5
30-0.02-16c,16c-1f,148,227.88,6067379.5
30-0.02-16c,16c-1f,149,228.24,6552003.5
30-0.02-16c,16c-1f,150,228.93,13163563.5
30-0.02-16c,16c-1f,151,229.43,6391786.5
30-0.02-16c,16c-1f,152,230.08,11353755.5
30-0.02-16c,16c-1f,153,230.69,14166191.5
30-0.02-16c,16c-1f,154,230.97,6292551.5
30-0.02-16c,16c-1f,155,234.36,5954194.5
30-0.02-16c,16c-1f,156,237.47,7369931.5
30-0.02-16c,16c-1f,157,238.38,6932966.0
30-0.02-16c,16c-1f,158,238.89,11819524.5
30-0.02-16c,16c-1f,159,239.36,6763162.5
30-0.02-16c,16c-1f,160,242.4,10177851.0
30-0.02-16c,16c-1f,161,244.9,6850817.0
30-0.02-16c,16c-1f,162,246.04,5963488.0
30-0.02-16c,16c-1f,163,246.78,6253470.0
30-0.02-16c,16c-1f,164,248.02,6306019.5
30-0.02-16c,16c-1f,165,249.06,5926871.0
30-0.02-16c,16c-1f,166,249.74,5662284.5
30-0.02-16c,16c-1f,167,249.81,5056983.0
30-0.02-16c,16c-1f,168,250.89,6938639.5
30-0.02-16c,16c-1f,169,250.9,6745869.5
30-0.02-16c,16c-1f,170,251.4,15344062.5
30-0.02-16c,16c-1f,171,251.43,7093023.5
30-0.02-16c,16c-1f,172,253.01,6995419.5
30-0.02-16c,16c-1f,173,254.01,5924509.5
30-0.02-16c,16c-1f,174,254.46,5888525.0
30-0.02-16c,16c-1f,175,256.2,5943381.5
30-0.02-16c,16c-1f,176,256.77,6145621.5
30-0.02-16c,16c-1f,177,257.62,6233576.5
30-0.02-16c,16c-1f,178,259.86,6095999.5
30-0.02-16c,16c-1f,179,261.66,9468154.0
30-0.02-16c,16c-1f,180,263.32,5811433.5
30-0.02-16c,16c-1f,181,265.44,6282486.5
30-0.02-16c,16c-1f,182,265.96,6313724.0
30-0.02-16c,16c-1f,183,268.3,6007984.0
30-0.02-16c,16c-1f,184,269.3,11729153.5
30-0.02-16c,16c-1f,185,270.36,11912219.0
