test,approach,answer,time
dp,10-core,1,19.03
dp,10-core,2,20.02
dp,10-core,3,24.02
dp,10-core,4,48.04
dp,10-core,5,53.04
dp,10-core,6,66.06
dp,10-core,7,68.07
dp,10-core,8,81.06
dp,10-core,9,96.07
dp,10-core,10,102.08
dp,10-core,11,116.10
dp,10-core,12,121.10
dp,10-core,13,126.09
dp,10-core,14,136.11
dp,10-core,15,148.11
dp,10-core,16,154.11
dp,10-core,17,155.11
dp,10-core,18,175.13
dp,10-core,19,181.14
dp,10-core,20,187.14
dp,10-core,21,188.14
dp,10-core,22,190.15
dp,10-core,23,192.15
dp,10-core,24,200.15
dp,10-core,25,202.15
dp,10-core,26,204.15
dp,10-core,27,208.16
dp,10-core,28,210.16
dp,10-core,29,220.18
dp,10-core,30,247.18
dp,10-core,31,247.18
dp,10-core,32,260.21
dp,10-core,33,263.19
dp,10-core,34,266.21
dp,10-core,35,271.20
dp,10-core,36,276.20
dp,10-core,37,278.20
dp,10-core,38,280.21
dp,10-core,39,294.22
dp,10-core,40,313.23
dp,10-core,41,326.25
dp,10-core,42,349.26
dp,10-core,43,353.26
dp,10-core,44,366.28
dp,10-core,45,377.28
dp,10-core,46,381.28
dp,10-core,47,413.30
dp,10-core,48,416.31
dp,10-core,49,418.31
dp,10-core,50,420.31
dp,10-core,51,424.33
dp,10-core,52,433.31
dp,10-core,53,456.33
dp,10-core,54,456.33
dp,10-core,55,465.34
dp,10-core,56,499.37
dp,10-core,57,500.36
dp,10-core,58,504.37
dp,10-core,59,505.37
dp,10-core,60,507.37
dp,10-core,61,509.37
dp,10-core,62,509.38
dp,10-core,63,523.38
dp,10-core,64,527.38
dp,10-core,65,527.39
dp,10-core,66,537.39
dp,10-core,67,541.40
dp,10-core,68,550.40
dp,10-core,69,553.40
dp,10-core,70,571.41
dp,10-core,71,578.42
dp,10-core,72,585.43
dp,10-core,73,593.43
dp,10-core,74,596.44
dp,10-core,75,601.43
dp,10-core,76,604.43
dp,10-core,77,612.44
dp,10-core,78,629.46
dp,10-core,79,669.49
dp,10-core,80,673.49
dp,10-core,81,684.49
dp,10-core,82,698.50
