test,approach,tfft,totaltime,mrt,checks,alerts
7-0.03-4c,4c-5f,838382684,5094.71,14573662479,1939026,26485
7-0.03-4c,4c-10f,1165995563,2240.38,11299228096,1939026,26485
7-0.03-4c,4c-100f,824036343,911.9,35779929303,1939026,26485
7-0.03-4c,4c-250f,829547806,874.42,61276014805,1939026,26485
7-0.03-4c,4c-500f,956647919,870.24,126522559150,1939026,26485
7-0.03-4c,4c-1000f,1099911916,900.16,258350002690,1939026,26485
7-0.03-4c,4c-2000f,1337415567,990.14,476277293409,1939026,26485
7-0.03-4c,4c-5000f,2195379716,1168.6,611241143132,1939026,26485
7-0.03-4c,4c-10000f,2870850871,1434.17,888654160243,1939026,26485
7-0.03-4c,4c-0f,642447562,11275.95,13273918539,1939026,26485
