test,approach,tfft,totaltime,mrt,checks,alerts
30-0.02-4c,4c-0f,28467332.0,213.87,13394285922,37959,462
30-0.02-4c,4c-1f,12274816.5,208.38,25339906644,37959,462
30-0.02-4c,4c-2f,10573012.7,117.36,13952973216,37959,462
30-0.02-4c,4c-5f,11389747.3,39.91,7160458239,37959,462
30-0.02-4c,4c-10f,12616552.3,24.49,7864186602,37959,462
30-0.02-4c,4c-20f,13330369.4,20.32,8815057352,37959,462
30-0.02-4c,4c-40f,13732987.7,17.76,8043857787,37959,462
30-0.02-4c,4c-100f,9027762.4,17.1,7935918669,37959,462
30-0.02-4c,4c-200f,8997462.7,16.53,7827580182,37959,462
30-0.02-4c,4c-500f,12928940.2,17.14,8263083266,37959,462
30-0.02-4c,4c-1000f,15918715.3,17.6,8588635520,37959,462
30-0.02-4c,4c-2000f,20382457.7,18.83,9566972260,37959,462
