test,approach,tfft,totaltime,mrt,checks,alerts
60-0.02-1c,1c-0f,330495701,441.92,13679736470,78744,1792
60-0.02-1c,1c-1f,93550578,408.02,24927996843,78744,1792
60-0.02-1c,1c-2f,49353630,223.92,13511977092,78744,1792
60-0.02-1c,1c-5f,125633473,74.06,7368552195,78744,1792
60-0.02-1c,1c-10f,52800404,55.32,7284299001,78744,1792
60-0.02-1c,1c-20f,65838163,43.27,14455334662,78744,1792
60-0.02-1c,1c-40f,65246078,39.02,18714268114,78744,1792
60-0.02-1c,1c-100f,87892975,38.38,18589382525,78744,1792
60-0.02-1c,1c-200f,116858780,39.18,18899583440,78744,1792
60-0.02-1c,1c-500f,170694324,42.4,20606776084,78744,1792
60-0.02-1c,1c-1000f,171534607,46.24,22456057358,78744,1792
60-0.02-1c,1c-2000f,193876650,54.76,27058833676,78744,1792
60-0.02-2c,2c-0f,330495701,441.92,13679736470,78744,1792
60-0.02-2c,2c-1f,25253411,399.19,24391415011,78744,1792
60-0.02-2c,2c-2f,22975694,217.45,13117407359,78744,1792
60-0.02-2c,2c-5f,24935470,73.05,7221676606,78744,1792
60-0.02-2c,2c-10f,20697614,49.26,8883635719,78744,1792
60-0.02-2c,2c-20f,26263069,40.08,14265872409,78744,1792
60-0.02-2c,2c-40f,42041690,37.12,17502378303,78744,1792
60-0.02-2c,2c-100f,43340958,36.09,17165019117,78744,1792
60-0.02-2c,2c-200f,29795149,36.93,17840971030,78744,1792
60-0.02-2c,2c-500f,24418494,37.37,18099680864,78744,1792
60-0.02-2c,2c-1000f,34382333,40.27,19744634300,78744,1792
60-0.02-2c,2c-2000f,44857341,44.14,21967049688,78744,1792
60-0.02-4c,4c-0f,330495701,441.92,13679736470,78744,1792
60-0.02-4c,4c-1f,10411611,435.14,26617602243,78744,1792
60-0.02-4c,4c-2f,10456980,242.13,14648296492,78744,1792
60-0.02-4c,4c-5f,10413489,78.09,7579196028,78744,1792
60-0.02-4c,4c-10f,10859195,48.99,8605744690,78744,1792
60-0.02-4c,4c-20f,12813634,40.02,14100595303,78744,1792
60-0.02-4c,4c-40f,13318882,36.17,16903796402,78744,1792
60-0.02-4c,4c-100f,16236783,34.72,16414630561,78744,1792
60-0.02-4c,4c-200f,13567434,34.4,16389655689,78744,1792
60-0.02-4c,4c-500f,16724930,35.44,16972438662,78744,1792
60-0.02-4c,4c-1000f,16576596,36.46,17733261102,78744,1792
60-0.02-4c,4c-2000f,17276899,38.48,19260353801,78744,1792
60-0.02-8c,8c-0f,330495701,441.92,13679736470,78744,1792
60-0.02-8c,8c-1f,13243793,424.21,25921924863,78744,1792
60-0.02-8c,8c-2f,9718038,238.19,14394745893,78744,1792
60-0.02-8c,8c-5f,10823921,79.67,7755369257,78744,1792
60-0.02-8c,8c-10f,10394231,49.7,8654022081,78744,1792
60-0.02-8c,8c-20f,13964483,39.72,14087595928,78744,1792
60-0.02-8c,8c-40f,11796602,36.08,16880726744,78744,1792
60-0.02-8c,8c-100f,13507786,35.21,16536561314,78744,1792
60-0.02-8c,8c-200f,13197882,34.26,16351335049,78744,1792
60-0.02-8c,8c-500f,12559496,34.3,16392056328,78744,1792
60-0.02-8c,8c-1000f,12745883,35.0,16709887445,78744,1792
60-0.02-8c,8c-2000f,15098512,35.7,17289599803,78744,1792
60-0.02-16c,16c-0f,330495701,441.92,13679736470,78744,1792
60-0.02-16c,16c-1f,39150886,421.38,25742577516,78744,1792
60-0.02-16c,16c-2f,10641812,228.79,13819143953,78744,1792
60-0.02-16c,16c-5f,10689277,75.86,7378393441,78744,1792
60-0.02-16c,16c-10f,10914542,48.85,8588025814,78744,1792
60-0.02-16c,16c-20f,11027400,39.92,14104877089,78744,1792
60-0.02-16c,16c-40f,11818183,35.77,16772789541,78744,1792
60-0.02-16c,16c-100f,13246853,34.88,16440556327,78744,1792
60-0.02-16c,16c-200f,12262290,34.7,16457306191,78744,1792
60-0.02-16c,16c-500f,13547545,34.62,16371541390,78744,1792
60-0.02-16c,16c-1000f,15293014,34.1,16051590852,78744,1792
60-0.02-16c,16c-2000f,15691177,34.61,16351035214,78744,1792
