test,approach,tfft,totaltime,mrt,checks,alerts
60-0.02-8c,8c-1f,13243793,424.21,25921924863,78744,1792
60-0.02-8c,8c-2f,9718038,238.19,14394745893,78744,1792
60-0.02-8c,8c-5f,10823921,79.67,7755369257,78744,1792
60-0.02-8c,8c-10f,10394231,49.7,8654022081,78744,1792
60-0.02-8c,8c-20f,13964483,39.72,14087595928,78744,1792
60-0.02-8c,8c-40f,11796602,36.08,16880726744,78744,1792
60-0.02-8c,8c-100f,13507786,35.21,16536561314,78744,1792
60-0.02-8c,8c-200f,13197882,34.26,16351335049,78744,1792
60-0.02-8c,8c-500f,12559496,34.3,16392056328,78744,1792
60-0.02-8c,8c-1000f,12745883,35.0,16709887445,78744,1792
60-0.02-8c,8c-2000f,15098512,35.7,17289599803,78744,1792
