test,approach,tfft,totaltime,mrt,comp
30-0.02-4c,4c-1f,0.05,203.82,23970891472,462
30-0.02-4c,4c-2f,0.04,120.17,15931624131,462
30-0.02-4c,4c-5f,0.02,40.28,8374842796,462
30-0.02-4c,4c-10f,0.02,24.1,8624768742,462
30-0.02-4c,4c-20f,0.02,18.99,9221967408,462
30-0.02-4c,4c-40f,0.02,17.43,8651208011,462
30-0.02-4c,4c-100f,0.03,16.52,8375736283,462
30-0.02-4c,4c-200f,0.04,16.58,8524213573,462
30-0.02-4c,4c-500f,0.07,16.97,8948087190,462
30-0.02-4c,4c-1000f,0.14,18.04,9955446583,462
30-0.02-4c,4c-2000f,0.2,18.78,10995861555,462
