test,approach,answer,time,responseTime
30-0.02-1c,1c-2f,1,0.13,91976455.4
30-0.02-1c,1c-2f,2,0.14,110578267.6
30-0.02-1c,1c-2f,3,0.14,111786179.4
30-0.02-1c,1c-2f,4,0.14,125823413.2
30-0.02-1c,1c-2f,5,0.15,117908771.4
30-0.02-1c,1c-2f,6,0.15,136424959.4
30-0.02-1c,1c-2f,7,0.18,164110589.8
30-0.02-1c,1c-2f,8,0.36,309255845.9
30-0.02-1c,1c-2f,9,0.39,376774336.9
30-0.02-1c,1c-2f,10,0.47,449847239.2
30-0.02-1c,1c-2f,11,0.68,659674351.5
30-0.02-1c,1c-2f,12,0.74,725487385.0
30-0.02-1c,1c-2f,13,0.95,906872726.9
30-0.02-1c,1c-2f,14,0.98,938205453.5
30-0.02-1c,1c-2f,15,1.03,964626431.0
30-0.02-1c,1c-2f,16,1.06,997096556.1
30-0.02-1c,1c-2f,17,1.3,1270802974.0
30-0.02-1c,1c-2f,18,1.42,1395219664.3
30-0.02-1c,1c-2f,19,1.84,1804860983.8
30-0.02-1c,1c-2f,20,1.99,1959464084.7
30-0.02-1c,1c-2f,21,2.11,2080098529.0
30-0.02-1c,1c-2f,22,2.31,2234222103.6
30-0.02-1c,1c-2f,23,2.36,2283829554.7
30-0.02-1c,1c-2f,24,2.45,2411867709.2
30-0.02-1c,1c-2f,25,3.01,2964129959.9
30-0.02-1c,1c-2f,26,3.12,3040559550.1
30-0.02-1c,1c-2f,27,3.63,3588661698.7
30-0.02-1c,1c-2f,28,3.84,3797753039.0
30-0.02-1c,1c-2f,29,4.01,3970282638.1
30-0.02-1c,1c-2f,30,4.05,4005604396.9
30-0.02-1c,1c-2f,31,4.1,4058736351.3
30-0.02-1c,1c-2f,32,4.13,4090777134.1
30-0.02-1c,1c-2f,33,4.26,4162320730.8
30-0.02-1c,1c-2f,34,4.33,4256982981.3
30-0.02-1c,1c-2f,35,4.38,4291180207.8
30-0.02-1c,1c-2f,36,4.44,4380274827.9
30-0.02-1c,1c-2f,37,4.49,4433430056.1
30-0.02-1c,1c-2f,38,4.52,4470864527.4
30-0.02-1c,1c-2f,39,4.67,4615162260.3
30-0.02-1c,1c-2f,40,4.82,4722311625.0
30-0.02-1c,1c-2f,41,5.01,4963304890.6
30-0.02-1c,1c-2f,42,5.78,5610296103.8
30-0.02-1c,1c-2f,43,5.88,5821479913.6
30-0.02-1c,1c-2f,44,5.9,5768844136.1
30-0.02-1c,1c-2f,45,6.13,5924040648.3
30-0.02-1c,1c-2f,46,6.19,5890863325.9
30-0.02-1c,1c-2f,47,6.27,6188699718.8
30-0.02-1c,1c-2f,48,6.32,6185383147.3
30-0.02-1c,1c-2f,49,6.45,6387196270.4
30-0.02-1c,1c-2f,50,6.73,6562211749.7
30-0.02-1c,1c-2f,51,6.9,6398345518.3
30-0.02-1c,1c-2f,52,7.33,7266331703.8
30-0.02-1c,1c-2f,53,7.84,7774774479.6
30-0.02-1c,1c-2f,54,8.23,7738107980.8
30-0.02-1c,1c-2f,55,8.41,7358864440.5
30-0.02-1c,1c-2f,56,8.85,8384297278.2
30-0.02-1c,1c-2f,57,8.93,8649871060.7
30-0.02-1c,1c-2f,58,9.09,7645898598.8
30-0.02-1c,1c-2f,59,9.36,9278866290.2
30-0.02-1c,1c-2f,60,10.02,7122847163.9
30-0.02-1c,1c-2f,61,10.84,10758751655.4
30-0.02-1c,1c-2f,62,10.97,10888816766.0
30-0.02-1c,1c-2f,63,11.05,10963251989.9
30-0.02-1c,1c-2f,64,11.08,11002851835.9
30-0.02-1c,1c-2f,65,11.23,11142222145.0
30-0.02-1c,1c-2f,66,12.03,6970032527.8
30-0.02-1c,1c-2f,67,12.07,6986163837.7
30-0.02-1c,1c-2f,68,12.08,6981146666.7
30-0.02-1c,1c-2f,69,12.23,12142870768.7
30-0.02-1c,1c-2f,70,12.25,12159431255.2
30-0.02-1c,1c-2f,71,12.54,12450391100.9
30-0.02-1c,1c-2f,72,13.68,13582679260.2
30-0.02-1c,1c-2f,73,13.86,13759386586.4
30-0.02-1c,1c-2f,74,14.0,13898418903.3
30-0.02-1c,1c-2f,75,14.02,13925403684.0
30-0.02-1c,1c-2f,76,14.44,14337775763.3
30-0.02-1c,1c-2f,77,14.62,14519583814.4
30-0.02-1c,1c-2f,78,14.96,14856532574.4
30-0.02-1c,1c-2f,79,15.07,14967427814.4
30-0.02-1c,1c-2f,80,15.39,15275416547.1
30-0.02-1c,1c-2f,81,15.53,15396747180.6
30-0.02-1c,1c-2f,82,16.12,15922059909.1
30-0.02-1c,1c-2f,83,16.57,16298554742.9
30-0.02-1c,1c-2f,84,16.69,7031754295.7
30-0.02-1c,1c-2f,85,17.06,16712492284.7
30-0.02-1c,1c-2f,86,17.09,7037611154.4
30-0.02-1c,1c-2f,87,17.14,16780454106.7
30-0.02-1c,1c-2f,88,17.41,7010250343.5
30-0.02-1c,1c-2f,89,17.42,16975679942.1
30-0.02-1c,1c-2f,90,19.21,18131545533.0
30-0.02-1c,1c-2f,91,19.35,18224754395.2
30-0.02-1c,1c-2f,92,19.76,18482215384.8
30-0.02-1c,1c-2f,93,20.13,18663376730.4
30-0.02-1c,1c-2f,94,20.42,18793703521.8
30-0.02-1c,1c-2f,95,20.65,18924267007.1
30-0.02-1c,1c-2f,96,21.57,19428198840.9
30-0.02-1c,1c-2f,97,22.57,19745871641.0
30-0.02-1c,1c-2f,98,22.77,9935528727.0
30-0.02-1c,1c-2f,99,22.78,17199481560.1
30-0.02-1c,1c-2f,100,23.12,19758025167.6
30-0.02-1c,1c-2f,101,23.28,19771146700.1
30-0.02-1c,1c-2f,102,23.8,19863492818.7
30-0.02-1c,1c-2f,103,24.28,19878544618.5
30-0.02-1c,1c-2f,104,24.65,7530733356.7
30-0.02-1c,1c-2f,105,24.78,19822765725.6
30-0.02-1c,1c-2f,106,25.2,19798927616.4
30-0.02-1c,1c-2f,107,25.24,19798037013.3
30-0.02-1c,1c-2f,108,25.25,7423232928.9
30-0.02-1c,1c-2f,109,25.39,19794582226.6
30-0.02-1c,1c-2f,110,25.8,19781789129.7
30-0.02-1c,1c-2f,111,26.19,19792704389.3
30-0.02-1c,1c-2f,112,26.32,7374472485.6
30-0.02-1c,1c-2f,113,26.6,19819949236.7
30-0.02-1c,1c-2f,114,26.72,7341568616.8
30-0.02-1c,1c-2f,115,26.81,19825850420.7
30-0.02-1c,1c-2f,116,27.58,7389461424.2
30-0.02-1c,1c-2f,117,27.96,19829498127.7
30-0.02-1c,1c-2f,118,28.41,19855432692.1
