test,approach,tfft,totaltime,mrt,checks,alerts
120-0.02-1c,1c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-1c,1c-1f,113428248,863.72,26698535846,158750,3078
120-0.02-1c,1c-2f,113595115,466.87,14360634697,158750,3078
120-0.02-1c,1c-5f,95350623,163.92,6210392998,158750,3078
120-0.02-1c,1c-10f,107575581,114.58,5463417788,158750,3078
120-0.02-1c,1c-20f,74981910,86.41,11384428475,158750,3078
120-0.02-1c,1c-40f,69424147,78.4,25705271718,158750,3078
120-0.02-1c,1c-100f,101513552,77.22,37126867416,158750,3078
120-0.02-1c,1c-200f,179392832,75.56,36457027905,158750,3078
120-0.02-1c,1c-500f,251441158,79.32,38895473747,158750,3078
120-0.02-1c,1c-1000f,210393118,85.21,42314800772,158750,3078
120-0.02-1c,1c-2000f,236382961,100.24,51229421598,158750,3078
120-0.02-2c,2c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-2c,2c-1f,28957346,851.93,26342859514,158750,3078
120-0.02-2c,2c-2f,20343035,463.72,14263726554,158750,3078
120-0.02-2c,2c-5f,28860897,169.58,6358039571,158750,3078
120-0.02-2c,2c-10f,23080230,104.4,6850532424,158750,3078
120-0.02-2c,2c-20f,45485809,82.62,12628779772,158750,3078
120-0.02-2c,2c-40f,36744220,76.04,24722273459,158750,3078
120-0.02-2c,2c-100f,32489085,72.78,34861227393,158750,3078
120-0.02-2c,2c-200f,65268931,72.75,35212311430,158750,3078
120-0.02-2c,2c-500f,27598033,75.02,36576663542,158750,3078
120-0.02-2c,2c-1000f,54580136,78.05,37944312387,158750,3078
120-0.02-2c,2c-2000f,68925247,88.56,43158602017,158750,3078
120-0.02-4c,4c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-4c,4c-1f,13260144,846.76,26186165592,158750,3078
120-0.02-4c,4c-2f,57931660,483.21,14868848388,158750,3078
120-0.02-4c,4c-5f,12852144,170.41,6267688127,158750,3078
120-0.02-4c,4c-10f,10304670,104.57,6579528532,158750,3078
120-0.02-4c,4c-20f,12398297,82.05,12958981932,158750,3078
120-0.02-4c,4c-40f,21782341,74.35,24240029276,158750,3078
120-0.02-4c,4c-100f,16236076,70.93,33633142472,158750,3078
120-0.02-4c,4c-200f,21205707,69.39,33074306674,158750,3078
120-0.02-4c,4c-500f,11717227,73.05,35328656580,158750,3078
120-0.02-4c,4c-1000f,15159413,73.71,35647708890,158750,3078
120-0.02-4c,4c-2000f,18557699,77.3,38062426582,158750,3078
120-0.02-8c,8c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-8c,8c-1f,11007585,881.64,27263420337,158750,3078
120-0.02-8c,8c-2f,11009346,486.03,14979084921,158750,3078
120-0.02-8c,8c-5f,30900711,172.79,6330206821,158750,3078
120-0.02-8c,8c-10f,11806273,105.03,6416127427,158750,3078
120-0.02-8c,8c-20f,11799931,82.23,12819555654,158750,3078
120-0.02-8c,8c-40f,12567616,73.43,23942073970,158750,3078
120-0.02-8c,8c-100f,14240646,70.71,33590540848,158750,3078
120-0.02-8c,8c-200f,13940619,69.76,33186678516,158750,3078
120-0.02-8c,8c-500f,11878005,69.76,33345390291,158750,3078
120-0.02-8c,8c-1000f,10390172,70.28,33574835504,158750,3078
120-0.02-8c,8c-2000f,15135628,71.93,34684799323,158750,3078
120-0.02-16c,16c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-16c,16c-1f,30501275,772.38,23887541976,158750,3078
120-0.02-16c,16c-2f,15312222,399.1,12260162948,158750,3078
120-0.02-16c,16c-5f,12203813,146.21,5355050792,158750,3078
120-0.02-16c,16c-10f,11973010,98.92,6156513628,158750,3078
120-0.02-16c,16c-20f,13064919,80.69,12580707045,158750,3078
120-0.02-16c,16c-40f,11059033,73.01,24040960643,158750,3078
120-0.02-16c,16c-100f,13206506,69.47,33699689177,158750,3078
120-0.02-16c,16c-200f,10736321,70.03,34142787969,158750,3078
120-0.02-16c,16c-500f,7749881,69.85,34073007928,158750,3078
120-0.02-16c,16c-1000f,7421341,68.98,33707504369,158750,3078
120-0.02-16c,16c-2000f,11533425,68.98,33788646700,158750,3078
