test,approach,tfft,totaltime,mrt,checks,alerts
120-0.02-4c,4c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-4c,4c-1f,13260144,846.76,26186165592,158750,3078
120-0.02-4c,4c-2f,57931660,483.21,14868848388,158750,3078
120-0.02-4c,4c-5f,12852144,170.41,6267688127,158750,3078
120-0.02-4c,4c-10f,10304670,104.57,6579528532,158750,3078
120-0.02-4c,4c-20f,12398297,82.05,12958981932,158750,3078
120-0.02-4c,4c-40f,21782341,74.35,24240029276,158750,3078
120-0.02-4c,4c-100f,16236076,70.93,33633142472,158750,3078
120-0.02-4c,4c-200f,21205707,69.39,33074306674,158750,3078
120-0.02-4c,4c-500f,11717227,73.05,35328656580,158750,3078
120-0.02-4c,4c-1000f,15159413,73.71,35647708890,158750,3078
120-0.02-4c,4c-2000f,18557699,77.3,38062426582,158750,3078
