test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-1f,13647090.5,196.75,23902071871,37959
30-0.02-16c,16c-2f,10338389.7,113.17,13391636690,37959
30-0.02-16c,16c-5f,10279578.4,37.8,6788763139,37959
30-0.02-16c,16c-10f,10897020.7,23.92,7855766082,37959
30-0.02-16c,16c-20f,10627520.78,19.94,8738214989,37959
30-0.02-16c,16c-40f,11988835.6,17.69,8132033553,37959
30-0.02-16c,16c-100f,6392439.8,17.1,8088674859,37959
30-0.02-16c,16c-200f,6922814.2,16.51,7929895322,37959
30-0.02-16c,16c-500f,8600062.0,16.61,8036344957,37959
30-0.02-16c,16c-1000f,13918054.2,16.29,7824323005,37959
30-0.02-16c,16c-2000f,13877690.7,16.63,8012628902,37959
