test,approach,tfft,totaltime,mrt,checks,alerts
60-0.02-4c,4c-1f,10411611,435.14,26617602243,78744,1792
60-0.02-4c,4c-2f,10456980,242.13,14648296492,78744,1792
60-0.02-4c,4c-5f,10413489,78.09,7579196028,78744,1792
60-0.02-4c,4c-10f,10859195,48.99,8605744690,78744,1792
60-0.02-4c,4c-20f,12813634,40.02,14100595303,78744,1792
60-0.02-4c,4c-40f,13318882,36.17,16903796402,78744,1792
60-0.02-4c,4c-100f,16236783,34.72,16414630561,78744,1792
60-0.02-4c,4c-200f,13567434,34.4,16389655689,78744,1792
60-0.02-4c,4c-500f,16724930,35.44,16972438662,78744,1792
60-0.02-4c,4c-1000f,16576596,36.46,17733261102,78744,1792
60-0.02-4c,4c-2000f,17276899,38.48,19260353801,78744,1792
