test,approach,answer,time,responseTime
30-0.02-1c,1c-40f,1,3.47,7208037.0
30-0.02-1c,1c-40f,2,3.5,7202066.0
30-0.02-1c,1c-40f,3,3.68,7319404.5
30-0.02-1c,1c-40f,4,4.32,7390485.0
30-0.02-1c,1c-40f,5,8.68,4718724.5
30-0.02-1c,1c-40f,6,9.48,4557498.5
30-0.02-1c,1c-40f,7,11.84,5953735.5
30-0.02-1c,1c-40f,8,12.27,5914201.5
30-0.02-1c,1c-40f,9,14.56,5188888.0
30-0.02-1c,1c-40f,10,17.24,6334487.5
30-0.02-1c,1c-40f,11,18.26,6311937.0
30-0.02-1c,1c-40f,12,20.82,6632859.5
30-0.02-1c,1c-40f,13,21.69,5737990.5
30-0.02-1c,1c-40f,14,22.52,6266733.0
30-0.02-1c,1c-40f,15,24.34,5703026.0
30-0.02-1c,1c-40f,16,26.38,6968876.5
30-0.02-1c,1c-40f,17,27.26,5708048.0
30-0.02-1c,1c-40f,18,27.48,5317527.5
30-0.02-1c,1c-40f,19,27.73,6256277.5
30-0.02-1c,1c-40f,20,31.19,6970153.0
30-0.02-1c,1c-40f,21,32.34,6978784.5
30-0.02-1c,1c-40f,22,33.34,7231538.0
30-0.02-1c,1c-40f,23,33.56,4858205.0
30-0.02-1c,1c-40f,24,33.94,6022491.5
30-0.02-1c,1c-40f,25,34.28,6464959.5
30-0.02-1c,1c-40f,26,35.6,6040744.0
30-0.02-1c,1c-40f,27,35.99,7123388.5
30-0.02-1c,1c-40f,28,36.37,5694602.5
30-0.02-1c,1c-40f,29,37.17,6949194.5
30-0.02-1c,1c-40f,30,37.52,6398875.5
30-0.02-1c,1c-40f,31,39.3,7709824.0
30-0.02-1c,1c-40f,32,44.0,7143821.0
30-0.02-1c,1c-40f,33,44.06,4676721.0
30-0.02-1c,1c-40f,34,46.43,6344223.5
30-0.02-1c,1c-40f,35,46.81,6340513.5
30-0.02-1c,1c-40f,36,47.49,6712604.0
30-0.02-1c,1c-40f,37,48.34,6041382.5
30-0.02-1c,1c-40f,38,49.24,7167935.0
30-0.02-1c,1c-40f,39,49.6,5408718.0
30-0.02-1c,1c-40f,40,49.98,5651029.5
30-0.02-1c,1c-40f,41,52.42,6676114.5
30-0.02-1c,1c-40f,42,55.76,5746491.5
30-0.02-1c,1c-40f,43,58.08,5176454.5
30-0.02-1c,1c-40f,44,62.16,4781033.0
30-0.02-1c,1c-40f,45,62.85,6248653.0
30-0.02-1c,1c-40f,46,65.13,4675909.0
30-0.02-1c,1c-40f,47,66.97,5858061.0
30-0.02-1c,1c-40f,48,67.8,4472717.0
30-0.02-1c,1c-40f,49,73.44,7126244.0
30-0.02-1c,1c-40f,50,73.99,7369474.0
30-0.02-1c,1c-40f,51,74.35,6285824.0
30-0.02-1c,1c-40f,52,74.64,6547621.0
30-0.02-1c,1c-40f,53,75.43,6787880.5
30-0.02-1c,1c-40f,54,77.0,7771375.5
30-0.02-1c,1c-40f,55,80.94,4774855.5
30-0.02-1c,1c-40f,56,81.09,4794180.5
30-0.02-1c,1c-40f,57,82.58,6157136.0
30-0.02-1c,1c-40f,58,88.72,5977763.0
30-0.02-1c,1c-40f,59,88.88,5418189.5
30-0.02-1c,1c-40f,60,89.52,5556243.5
30-0.02-1c,1c-40f,61,89.74,6167222.5
30-0.02-1c,1c-40f,62,90.09,7033556.0
30-0.02-1c,1c-40f,63,90.42,7367255.5
30-0.02-1c,1c-40f,64,90.52,6242451.0
30-0.02-1c,1c-40f,65,93.0,4490120.5
30-0.02-1c,1c-40f,66,93.57,7549174.0
30-0.02-1c,1c-40f,67,93.68,6087281.0
30-0.02-1c,1c-40f,68,95.52,5586919.0
30-0.02-1c,1c-40f,69,96.18,5270968.5
30-0.02-1c,1c-40f,70,97.78,5926492.0
30-0.02-1c,1c-40f,71,98.34,6032471.0
30-0.02-1c,1c-40f,72,101.42,6238976.0
30-0.02-1c,1c-40f,73,102.74,5421222.0
30-0.02-1c,1c-40f,74,104.05,7183544.0
30-0.02-1c,1c-40f,75,105.38,5832738.5
30-0.02-1c,1c-40f,76,105.9,7154369.5
30-0.02-1c,1c-40f,77,106.74,5849546.0
30-0.02-1c,1c-40f,78,107.26,7125946.0
30-0.02-1c,1c-40f,79,108.66,5320380.0
30-0.02-1c,1c-40f,80,111.73,5796996.5
30-0.02-1c,1c-40f,81,118.8,5322349.0
30-0.02-1c,1c-40f,82,119.48,6597575.5
30-0.02-1c,1c-40f,83,121.55,5845596.5
30-0.02-1c,1c-40f,84,123.91,4547944.5
30-0.02-1c,1c-40f,85,123.98,5560475.0
30-0.02-1c,1c-40f,86,125.76,6673250.0
30-0.02-1c,1c-40f,87,127.13,6587284.0
30-0.02-1c,1c-40f,88,130.18,8088265.5
30-0.02-1c,1c-40f,89,131.6,6081243.0
30-0.02-1c,1c-40f,90,137.26,6252860.5
30-0.02-1c,1c-40f,91,137.58,4808683.5
30-0.02-1c,1c-40f,92,138.33,7144001.5
30-0.02-1c,1c-40f,93,139.79,6709207.0
30-0.02-1c,1c-40f,94,140.77,5660005.5
30-0.02-1c,1c-40f,95,143.8,6433905.0
30-0.02-1c,1c-40f,96,146.73,6207672.0
30-0.02-1c,1c-40f,97,149.79,4997835.0
30-0.02-1c,1c-40f,98,150.22,5239145.5
30-0.02-1c,1c-40f,99,150.39,7458204.0
30-0.02-1c,1c-40f,100,150.42,5884117.5
30-0.02-1c,1c-40f,101,151.93,5949213.5
30-0.02-1c,1c-40f,102,152.18,4717890.0
30-0.02-1c,1c-40f,103,153.16,5160595.0
30-0.02-1c,1c-40f,104,155.02,4357745.0
30-0.02-1c,1c-40f,105,157.72,5326899.0
30-0.02-1c,1c-40f,106,160.05,7283906.5
30-0.02-1c,1c-40f,107,161.43,5635654.0
30-0.02-1c,1c-40f,108,167.37,6237018.5
30-0.02-1c,1c-40f,109,170.13,5743166.5
30-0.02-1c,1c-40f,110,171.24,5967668.5
30-0.02-1c,1c-40f,111,171.91,5600152.5
30-0.02-1c,1c-40f,112,176.26,6152560.5
30-0.02-1c,1c-40f,113,178.02,6854092.5
30-0.02-1c,1c-40f,114,178.3,6031780.0
30-0.02-1c,1c-40f,115,180.04,4966166.0
30-0.02-1c,1c-40f,116,180.88,7503697.0
30-0.02-1c,1c-40f,117,181.24,7085115.0
30-0.02-1c,1c-40f,118,186.26,6790280.5
30-0.02-1c,1c-40f,119,186.62,5189768.0
30-0.02-1c,1c-40f,120,189.46,5324406.5
30-0.02-1c,1c-40f,121,190.65,7007198.5
30-0.02-1c,1c-40f,122,191.14,5908167.5
30-0.02-1c,1c-40f,123,191.26,6188659.0
30-0.02-1c,1c-40f,124,192.71,6891743.5
30-0.02-1c,1c-40f,125,194.02,6910992.0
30-0.02-1c,1c-40f,126,194.14,5219146.5
30-0.02-1c,1c-40f,127,194.83,5721827.5
30-0.02-1c,1c-40f,128,196.5,6703808.0
30-0.02-1c,1c-40f,129,196.9,4770862.5
30-0.02-1c,1c-40f,130,198.46,5785937.0
30-0.02-1c,1c-40f,131,198.99,6011263.5
30-0.02-1c,1c-40f,132,200.04,5964422.0
30-0.02-1c,1c-40f,133,203.12,5757994.5
30-0.02-1c,1c-40f,134,206.55,6849632.5
30-0.02-1c,1c-40f,135,206.74,5289411.5
30-0.02-1c,1c-40f,136,207.14,5531446.0
30-0.02-1c,1c-40f,137,208.49,4290448.5
30-0.02-1c,1c-40f,138,208.96,5441012.5
30-0.02-1c,1c-40f,139,211.67,6082266.0
30-0.02-1c,1c-40f,140,215.42,5133969.0
30-0.02-1c,1c-40f,141,215.92,6195538.0
30-0.02-1c,1c-40f,142,217.14,7127134.5
30-0.02-1c,1c-40f,143,217.77,5333070.5
30-0.02-1c,1c-40f,144,217.86,5711024.0
30-0.02-1c,1c-40f,145,221.12,6792933.5
30-0.02-1c,1c-40f,146,223.24,6059329.0
30-0.02-1c,1c-40f,147,226.64,5494165.5
30-0.02-1c,1c-40f,148,226.78,5231222.0
30-0.02-1c,1c-40f,149,227.12,6325584.5
30-0.02-1c,1c-40f,150,227.82,5714224.5
30-0.02-1c,1c-40f,151,228.32,5812204.5
30-0.02-1c,1c-40f,152,228.95,6202641.5
30-0.02-1c,1c-40f,153,229.56,4992692.5
30-0.02-1c,1c-40f,154,229.84,6375612.5
30-0.02-1c,1c-40f,155,233.22,5417620.0
30-0.02-1c,1c-40f,156,236.3,5383885.5
30-0.02-1c,1c-40f,157,237.21,7444524.0
30-0.02-1c,1c-40f,158,237.71,6298777.0
30-0.02-1c,1c-40f,159,238.18,6004349.5
30-0.02-1c,1c-40f,160,241.21,5222978.0
30-0.02-1c,1c-40f,161,243.7,5315274.5
