test,approach,answer,time,responseTime
30-0.02-2c,2c-1f,1,0.07,57621704.4
30-0.02-2c,2c-1f,2,0.07,63781199.4
30-0.02-2c,2c-1f,3,0.08,76023350.2
30-0.02-2c,2c-1f,4,0.11,105099018.3
30-0.02-2c,2c-1f,5,0.36,345495585.4
30-0.02-2c,2c-1f,6,0.44,428439801.6
30-0.02-2c,2c-1f,7,0.68,662847619.6
30-0.02-2c,2c-1f,8,0.76,737914754.5
30-0.02-2c,2c-1f,9,1.01,986728692.3
30-0.02-2c,2c-1f,10,1.37,1349666177.7
30-0.02-2c,2c-1f,11,1.52,1492270354.4
30-0.02-2c,2c-1f,12,1.95,1926775002.4
30-0.02-2c,2c-1f,13,2.12,2091454088.1
30-0.02-2c,2c-1f,14,2.24,2217265892.3
30-0.02-2c,2c-1f,15,2.6,2576183376.1
30-0.02-2c,2c-1f,16,3.0,2974310399.9
30-0.02-2c,2c-1f,17,3.2,3167495696.0
30-0.02-2c,2c-1f,18,3.27,3241541036.8
30-0.02-2c,2c-1f,19,3.32,3287273699.9
30-0.02-2c,2c-1f,20,4.02,3985518023.5
30-0.02-2c,2c-1f,21,4.26,4223949640.9
30-0.02-2c,2c-1f,22,4.48,4442787312.2
30-0.02-2c,2c-1f,23,4.53,4492943764.0
30-0.02-2c,2c-1f,24,4.58,4549612474.6
30-0.02-2c,2c-1f,25,4.63,4595621852.0
30-0.02-2c,2c-1f,26,4.95,4916864429.1
30-0.02-2c,2c-1f,27,5.05,5009507908.9
30-0.02-2c,2c-1f,28,5.12,5083821272.9
30-0.02-2c,2c-1f,29,5.3,5266935626.0
30-0.02-2c,2c-1f,30,5.36,5323896540.8
30-0.02-2c,2c-1f,31,5.77,5729147149.1
30-0.02-2c,2c-1f,32,6.9,6851073286.3
30-0.02-2c,2c-1f,33,6.91,6867466960.5
30-0.02-2c,2c-1f,34,7.47,7424407250.1
30-0.02-2c,2c-1f,35,7.55,7506422590.6
30-0.02-2c,2c-1f,36,7.73,7686214219.8
30-0.02-2c,2c-1f,37,7.96,7915389412.3
30-0.02-2c,2c-1f,38,8.14,8092670406.9
30-0.02-2c,2c-1f,39,8.24,8188681604.2
30-0.02-2c,2c-1f,40,8.34,8289703242.9
30-0.02-2c,2c-1f,41,8.96,8915771341.0
30-0.02-2c,2c-1f,42,9.76,9708431459.2
30-0.02-2c,2c-1f,43,10.41,10352332992.9
30-0.02-2c,2c-1f,44,11.35,11292059840.3
30-0.02-2c,2c-1f,45,11.52,11464070848.0
30-0.02-2c,2c-1f,46,12.16,12098282165.0
30-0.02-2c,2c-1f,47,12.49,12426623576.4
30-0.02-2c,2c-1f,48,12.7,12635911642.6
30-0.02-2c,2c-1f,49,14.31,14239471212.2
30-0.02-2c,2c-1f,50,14.5,14438466615.2
30-0.02-2c,2c-1f,51,14.6,14539151044.7
30-0.02-2c,2c-1f,52,14.69,14620426272.9
30-0.02-2c,2c-1f,53,14.88,14815228047.0
30-0.02-2c,2c-1f,54,15.31,15245917003.5
30-0.02-2c,2c-1f,55,16.44,16372016168.3
30-0.02-2c,2c-1f,56,16.48,16411820016.7
30-0.02-2c,2c-1f,57,16.92,16849961973.2
30-0.02-2c,2c-1f,58,18.71,18415928423.0
30-0.02-2c,2c-1f,59,18.74,18443426542.1
30-0.02-2c,2c-1f,60,18.98,18627251601.3
30-0.02-2c,2c-1f,61,19.04,18658757745.4
30-0.02-2c,2c-1f,62,19.15,18733608465.9
30-0.02-2c,2c-1f,63,19.25,18792903512.5
30-0.02-2c,2c-1f,64,19.29,18828322742.4
30-0.02-2c,2c-1f,65,20.06,19318997626.7
30-0.02-2c,2c-1f,66,20.29,19458270574.4
30-0.02-2c,2c-1f,67,20.34,19499544717.1
30-0.02-2c,2c-1f,68,20.88,19826472129.3
30-0.02-2c,2c-1f,69,21.06,19910036725.8
30-0.02-2c,2c-1f,70,21.56,20196514860.3
30-0.02-2c,2c-1f,71,21.75,20280189374.1
30-0.02-2c,2c-1f,72,22.74,20761698702.4
30-0.02-2c,2c-1f,73,23.15,20929891947.2
30-0.02-2c,2c-1f,74,23.56,21092077380.6
30-0.02-2c,2c-1f,75,23.98,21261423436.9
30-0.02-2c,2c-1f,76,24.11,21336827243.1
30-0.02-2c,2c-1f,77,24.4,21436765274.6
30-0.02-2c,2c-1f,78,24.54,21454669207.5
30-0.02-2c,2c-1f,79,24.96,21621143957.2
30-0.02-2c,2c-1f,80,25.9,21919786146.5
30-0.02-2c,2c-1f,81,27.99,22542841874.0
30-0.02-2c,2c-1f,82,28.24,22601647761.4
30-0.02-2c,2c-1f,83,28.92,22758667065.6
30-0.02-2c,2c-1f,84,29.58,22925411725.5
30-0.02-2c,2c-1f,85,29.59,22909969332.0
30-0.02-2c,2c-1f,86,30.1,23023371714.0
30-0.02-2c,2c-1f,87,30.43,23076767260.2
30-0.02-2c,2c-1f,88,31.42,23302565647.2
30-0.02-2c,2c-1f,89,31.91,23399083332.7
30-0.02-2c,2c-1f,90,33.56,23677138827.4
30-0.02-2c,2c-1f,91,33.7,23707333268.6
30-0.02-2c,2c-1f,92,33.98,23750357203.3
30-0.02-2c,2c-1f,93,34.51,23850157413.8
30-0.02-2c,2c-1f,94,34.78,23914694663.1
30-0.02-2c,2c-1f,95,35.71,24079319829.9
30-0.02-2c,2c-1f,96,36.58,24222726269.8
30-0.02-2c,2c-1f,97,37.53,24226792064.1
30-0.02-2c,2c-1f,98,37.71,24258425235.5
30-0.02-2c,2c-1f,99,37.79,24287106589.7
30-0.02-2c,2c-1f,100,37.81,24292620909.9
30-0.02-2c,2c-1f,101,38.32,24309030162.0
30-0.02-2c,2c-1f,102,38.38,24309634604.0
30-0.02-2c,2c-1f,103,38.65,24284677760.8
30-0.02-2c,2c-1f,104,39.36,24338296939.5
30-0.02-2c,2c-1f,105,40.09,24270222773.0
30-0.02-2c,2c-1f,106,40.76,24343039602.5
30-0.02-2c,2c-1f,107,41.12,24370781995.3
30-0.02-2c,2c-1f,108,43.19,24502879458.1
30-0.02-2c,2c-1f,109,43.98,24533298358.9
30-0.02-2c,2c-1f,110,44.37,24584973313.2
30-0.02-2c,2c-1f,111,44.58,24598893928.3
30-0.02-2c,2c-1f,112,46.02,24635823896.9
30-0.02-2c,2c-1f,113,46.6,24620184803.3
30-0.02-2c,2c-1f,114,46.68,24638409586.3
30-0.02-2c,2c-1f,115,47.24,24642093247.3
30-0.02-2c,2c-1f,116,47.51,24647724134.6
30-0.02-2c,2c-1f,117,47.62,24651145410.7
30-0.02-2c,2c-1f,118,49.36,24818726048.9
30-0.02-2c,2c-1f,119,49.51,24816736541.8
30-0.02-2c,2c-1f,120,50.55,24918359479.8
30-0.02-2c,2c-1f,121,50.92,24982772092.0
30-0.02-2c,2c-1f,122,51.13,25012004428.6
30-0.02-2c,2c-1f,123,51.18,25031608502.6
30-0.02-2c,2c-1f,124,51.59,25015352363.9
30-0.02-2c,2c-1f,125,52.03,24984239187.8
30-0.02-2c,2c-1f,126,52.09,24990697364.9
30-0.02-2c,2c-1f,127,52.36,24999857480.9
30-0.02-2c,2c-1f,128,52.98,25082418758.0
30-0.02-2c,2c-1f,129,53.11,25088952370.2
30-0.02-2c,2c-1f,130,53.69,25120788037.3
30-0.02-2c,2c-1f,131,53.82,25138196593.4
30-0.02-2c,2c-1f,132,54.16,25162753890.9
30-0.02-2c,2c-1f,133,55.28,25281658354.0
30-0.02-2c,2c-1f,134,56.43,25411764859.2
30-0.02-2c,2c-1f,135,56.47,25411312550.3
30-0.02-2c,2c-1f,136,56.58,25414723511.4
30-0.02-2c,2c-1f,137,57.06,25403256678.5
30-0.02-2c,2c-1f,138,57.21,25415658797.6
30-0.02-2c,2c-1f,139,58.15,25467447333.5
30-0.02-2c,2c-1f,140,59.28,25433497490.0
30-0.02-2c,2c-1f,141,59.43,25444871479.1
30-0.02-2c,2c-1f,142,59.84,25456411857.2
30-0.02-2c,2c-1f,143,60.04,25442130465.9
30-0.02-2c,2c-1f,144,60.07,25426142441.0
30-0.02-2c,2c-1f,145,61.0,25397858617.4
30-0.02-2c,2c-1f,146,61.63,25358997312.0
30-0.02-2c,2c-1f,147,62.76,25499944352.7
30-0.02-2c,2c-1f,148,62.85,25506163250.4
30-0.02-2c,2c-1f,149,62.96,25516210932.6
30-0.02-2c,2c-1f,150,63.15,25512006613.6
30-0.02-2c,2c-1f,151,63.36,25504233712.9
30-0.02-2c,2c-1f,152,63.67,25545878393.7
30-0.02-2c,2c-1f,153,63.86,25562205293.7
30-0.02-2c,2c-1f,154,63.98,25582162466.0
30-0.02-2c,2c-1f,155,65.15,25649684271.9
30-0.02-2c,2c-1f,156,66.04,25698608433.2
30-0.02-2c,2c-1f,157,66.37,25714477344.5
30-0.02-2c,2c-1f,158,66.52,25715834893.0
30-0.02-2c,2c-1f,159,66.71,25705514616.2
30-0.02-2c,2c-1f,160,67.79,25810927040.1
30-0.02-2c,2c-1f,161,68.61,25782203961.3
30-0.02-2c,2c-1f,162,68.96,25813548591.2
30-0.02-2c,2c-1f,163,69.16,25810660438.7
30-0.02-2c,2c-1f,164,69.61,25806976299.7
30-0.02-2c,2c-1f,165,69.9,25825811448.2
30-0.02-2c,2c-1f,166,70.1,25811787877.1
30-0.02-2c,2c-1f,167,70.13,25837600893.0
30-0.02-2c,2c-1f,168,70.55,25838705934.1
30-0.02-2c,2c-1f,169,70.56,25838285467.4
30-0.02-2c,2c-1f,170,70.71,25840321307.8
30-0.02-2c,2c-1f,171,70.72,25834135248.0
30-0.02-2c,2c-1f,172,71.17,25843262833.0
30-0.02-2c,2c-1f,173,71.53,25843068314.8
30-0.02-2c,2c-1f,174,71.67,25807715127.1
30-0.02-2c,2c-1f,175,72.19,25792905340.3
30-0.02-2c,2c-1f,176,72.36,25773803536.7
30-0.02-2c,2c-1f,177,72.59,25749126948.6
30-0.02-2c,2c-1f,178,73.35,25763404820.3
30-0.02-2c,2c-1f,179,73.92,25773090882.2
30-0.02-2c,2c-1f,180,74.48,25777714678.6
30-0.02-2c,2c-1f,181,75.17,25689126227.2
30-0.02-2c,2c-1f,182,75.29,25622740405.3
30-0.02-2c,2c-1f,183,76.2,25668023750.3
30-0.02-2c,2c-1f,184,76.44,25619203574.8
30-0.02-2c,2c-1f,185,76.79,25575328051.8
30-0.02-2c,2c-1f,186,77.01,25526881361.8
30-0.02-2c,2c-1f,187,77.25,25575751771.3
30-0.02-2c,2c-1f,188,77.5,25565725519.1
30-0.02-2c,2c-1f,189,77.61,25584321900.9
30-0.02-2c,2c-1f,190,77.93,25568990544.3
30-0.02-2c,2c-1f,191,78.17,25564757105.4
30-0.02-2c,2c-1f,192,78.26,25588774412.4
30-0.02-2c,2c-1f,193,78.73,25637379217.0
30-0.02-2c,2c-1f,194,79.34,25629379022.0
30-0.02-2c,2c-1f,195,79.62,25636925983.0
30-0.02-2c,2c-1f,196,80.31,25692233575.2
30-0.02-2c,2c-1f,197,80.48,25653437180.3
30-0.02-2c,2c-1f,198,80.54,25697609149.1
30-0.02-2c,2c-1f,199,80.55,25673135018.3
30-0.02-2c,2c-1f,200,80.77,25653619673.4
30-0.02-2c,2c-1f,201,80.96,25645104810.7
30-0.02-2c,2c-1f,202,81.15,25634142520.5
30-0.02-2c,2c-1f,203,81.2,25632114306.9
30-0.02-2c,2c-1f,204,81.34,25625077386.6
30-0.02-2c,2c-1f,205,81.54,25607529847.2
30-0.02-2c,2c-1f,206,81.64,25613184209.2
30-0.02-2c,2c-1f,207,82.1,25632235108.9
30-0.02-2c,2c-1f,208,85.44,25662544887.9
30-0.02-2c,2c-1f,209,85.8,25697399521.2
30-0.02-2c,2c-1f,210,86.68,25767817734.5
30-0.02-2c,2c-1f,211,86.74,25775843143.5
30-0.02-2c,2c-1f,212,87.0,25793791711.7
30-0.02-2c,2c-1f,213,87.6,25784353013.5
30-0.02-2c,2c-1f,214,89.1,25681584308.7
30-0.02-2c,2c-1f,215,89.16,25676715673.5
30-0.02-2c,2c-1f,216,89.92,25713700410.6
30-0.02-2c,2c-1f,217,90.43,25721905704.5
30-0.02-2c,2c-1f,218,90.61,25741977181.9
30-0.02-2c,2c-1f,219,90.69,25749320021.1
30-0.02-2c,2c-1f,220,91.01,25743327859.6
30-0.02-2c,2c-1f,221,92.3,25751085191.9
30-0.02-2c,2c-1f,222,92.54,25763923228.7
30-0.02-2c,2c-1f,223,92.6,25743842490.1
30-0.02-2c,2c-1f,224,92.8,25720120807.3
30-0.02-2c,2c-1f,225,92.82,25724988682.8
30-0.02-2c,2c-1f,226,92.82,25724667615.0
30-0.02-2c,2c-1f,227,92.95,25706280676.8
30-0.02-2c,2c-1f,228,93.76,25662565695.9
30-0.02-2c,2c-1f,229,93.99,25702366834.2
30-0.02-2c,2c-1f,230,94.81,25777380436.1
30-0.02-2c,2c-1f,231,94.85,25769756532.0
30-0.02-2c,2c-1f,232,94.99,25777295323.4
30-0.02-2c,2c-1f,233,95.56,25784822985.9
30-0.02-2c,2c-1f,234,95.76,25779666789.4
30-0.02-2c,2c-1f,235,96.54,25751833824.0
30-0.02-2c,2c-1f,236,96.64,25757847436.0
30-0.02-2c,2c-1f,237,97.01,25795160637.8
30-0.02-2c,2c-1f,238,97.61,25855101866.9
30-0.02-2c,2c-1f,239,97.84,25866675716.7
30-0.02-2c,2c-1f,240,97.96,25876147342.7
30-0.02-2c,2c-1f,241,98.04,25885660344.6
30-0.02-2c,2c-1f,242,98.06,25891743981.9
30-0.02-2c,2c-1f,243,98.18,25898621818.7
30-0.02-2c,2c-1f,244,98.38,25896136890.5
30-0.02-2c,2c-1f,245,98.51,25890296772.7
30-0.02-2c,2c-1f,246,98.61,25876572252.1
30-0.02-2c,2c-1f,247,99.4,25814849020.7
30-0.02-2c,2c-1f,248,99.41,25826915968.4
30-0.02-2c,2c-1f,249,99.54,25826598603.3
30-0.02-2c,2c-1f,250,100.02,25857626669.7
30-0.02-2c,2c-1f,251,100.16,25856046701.4
30-0.02-2c,2c-1f,252,100.34,25840468423.4
30-0.02-2c,2c-1f,253,100.42,25872688177.1
30-0.02-2c,2c-1f,254,101.12,25952724802.9
30-0.02-2c,2c-1f,255,101.92,25903898399.4
30-0.02-2c,2c-1f,256,102.17,25919855141.7
30-0.02-2c,2c-1f,257,102.2,25926085046.1
30-0.02-2c,2c-1f,258,102.24,25937368785.4
30-0.02-2c,2c-1f,259,102.28,25937370457.7
30-0.02-2c,2c-1f,260,102.62,25933680171.9
30-0.02-2c,2c-1f,261,102.62,25939686015.0
30-0.02-2c,2c-1f,262,102.78,25985841488.9
30-0.02-2c,2c-1f,263,103.46,26034292796.7
30-0.02-2c,2c-1f,264,103.72,26042235777.9
30-0.02-2c,2c-1f,265,104.66,25935140489.6
30-0.02-2c,2c-1f,266,105.32,25974497580.6
30-0.02-2c,2c-1f,267,105.49,25962922633.3
30-0.02-2c,2c-1f,268,105.6,25956300555.4
30-0.02-2c,2c-1f,269,105.99,25914950202.9
30-0.02-2c,2c-1f,270,106.3,25887930682.9
30-0.02-2c,2c-1f,271,106.89,25898707901.0
30-0.02-2c,2c-1f,272,107.46,25908433313.7
30-0.02-2c,2c-1f,273,108.54,25907702588.5
30-0.02-2c,2c-1f,274,108.69,25930204907.0
30-0.02-2c,2c-1f,275,108.71,25935181847.0
30-0.02-2c,2c-1f,276,109.01,25906861407.6
30-0.02-2c,2c-1f,277,109.3,25935146346.3
30-0.02-2c,2c-1f,278,110.07,25881011627.5
30-0.02-2c,2c-1f,279,110.2,25877803805.8
30-0.02-2c,2c-1f,280,111.35,25929469150.1
30-0.02-2c,2c-1f,281,111.52,25896531854.3
30-0.02-2c,2c-1f,282,111.84,25909616703.6
30-0.02-2c,2c-1f,283,112.03,25928498147.1
30-0.02-2c,2c-1f,284,112.03,25922892718.8
30-0.02-2c,2c-1f,285,112.71,25949806946.9
30-0.02-2c,2c-1f,286,113.47,25985068755.0
30-0.02-2c,2c-1f,287,113.62,25968844676.8
