test,approach,answer,time,responseTime
30-0.02-1c,1c-5f,1,0.16,138236967.0
30-0.02-1c,1c-5f,2,0.2,171118079.9
30-0.02-1c,1c-5f,3,0.22,174664519.5
30-0.02-1c,1c-5f,4,0.25,232855625.3
30-0.02-1c,1c-5f,5,0.25,237251798.7
30-0.02-1c,1c-5f,6,0.26,246136347.4
30-0.02-1c,1c-5f,7,0.27,255429900.3
30-0.02-1c,1c-5f,8,0.28,266632994.7
30-0.02-1c,1c-5f,9,0.29,260779699.3
30-0.02-1c,1c-5f,10,0.36,323000427.1
30-0.02-1c,1c-5f,11,0.38,360197855.3
30-0.02-1c,1c-5f,12,0.4,365676510.8
30-0.02-1c,1c-5f,13,0.42,380503451.7
30-0.02-1c,1c-5f,14,0.5,473385845.7
30-0.02-1c,1c-5f,15,0.52,504111642.5
30-0.02-1c,1c-5f,16,0.69,668880066.6
30-0.02-1c,1c-5f,17,0.71,680702578.0
30-0.02-1c,1c-5f,18,0.75,709646458.2
30-0.02-1c,1c-5f,19,0.76,724381063.4
30-0.02-1c,1c-5f,20,0.8,763511017.9
30-0.02-1c,1c-5f,21,1.06,1018486174.5
30-0.02-1c,1c-5f,22,1.12,1043351969.8
30-0.02-1c,1c-5f,23,1.25,1206027380.0
30-0.02-1c,1c-5f,24,1.3,1246784015.0
30-0.02-1c,1c-5f,25,1.32,1267227788.3
30-0.02-1c,1c-5f,26,1.35,1298033698.2
30-0.02-1c,1c-5f,27,1.37,1321786959.4
30-0.02-1c,1c-5f,28,1.38,1337652724.6
30-0.02-1c,1c-5f,29,1.41,1358341096.3
30-0.02-1c,1c-5f,30,1.43,1373452233.0
30-0.02-1c,1c-5f,31,1.46,1390549331.1
30-0.02-1c,1c-5f,32,1.48,1410736119.4
30-0.02-1c,1c-5f,33,1.5,1421068768.3
30-0.02-1c,1c-5f,34,1.55,1500111089.8
30-0.02-1c,1c-5f,35,1.6,1532021367.9
30-0.02-1c,1c-5f,36,1.7,1653505222.9
30-0.02-1c,1c-5f,37,1.97,1907249356.4
30-0.02-1c,1c-5f,38,1.98,1922769668.5
30-0.02-1c,1c-5f,39,2.01,1918645724.5
30-0.02-1c,1c-5f,40,2.04,1958543818.6
30-0.02-1c,1c-5f,41,2.08,2015674089.5
30-0.02-1c,1c-5f,42,2.1,2048535492.6
30-0.02-1c,1c-5f,43,2.18,2128990486.2
30-0.02-1c,1c-5f,44,2.28,2185395399.3
30-0.02-1c,1c-5f,45,2.34,2169778410.5
30-0.02-1c,1c-5f,46,2.5,2395140235.7
30-0.02-1c,1c-5f,47,2.55,2476842400.1
30-0.02-1c,1c-5f,48,2.59,2522073477.6
30-0.02-1c,1c-5f,49,2.72,2650413572.7
30-0.02-1c,1c-5f,50,2.8,2729112044.2
30-0.02-1c,1c-5f,51,2.9,2774572385.4
30-0.02-1c,1c-5f,52,3.06,2983717978.7
30-0.02-1c,1c-5f,53,3.31,3204101225.6
30-0.02-1c,1c-5f,54,3.38,3274953085.5
30-0.02-1c,1c-5f,55,3.46,3382587832.3
