test,approach,answer,time,responseTime
30-0.02-1c,1c-2000f,1,3.5,7734468.0
30-0.02-1c,1c-2000f,2,3.53,8566946.0
30-0.02-1c,1c-2000f,3,3.7,7669589.0
30-0.02-1c,1c-2000f,4,4.34,7241087.0
30-0.02-1c,1c-2000f,5,8.74,6779002.0
30-0.02-1c,1c-2000f,6,9.54,7156303.5
30-0.02-1c,1c-2000f,7,11.97,8909939.5
30-0.02-1c,1c-2000f,8,12.4,7098139.5
30-0.02-1c,1c-2000f,9,14.68,6154334.5
30-0.02-1c,1c-2000f,10,17.36,6900520.0
30-0.02-1c,1c-2000f,11,18.39,8079551.0
30-0.02-1c,1c-2000f,12,20.93,7075192.5
30-0.02-1c,1c-2000f,13,21.8,7494607.0
30-0.02-1c,1c-2000f,14,22.64,8642143.5
30-0.02-1c,1c-2000f,15,24.42,8629601.0
30-0.02-1c,1c-2000f,16,26.64,6786847.0
30-0.02-1c,1c-2000f,17,27.52,9811927.5
30-0.02-1c,1c-2000f,18,27.72,7508857.5
30-0.02-1c,1c-2000f,19,27.98,10747220.5
30-0.02-1c,1c-2000f,20,31.43,9800012.5
30-0.02-1c,1c-2000f,21,32.58,8483815.0
30-0.02-1c,1c-2000f,22,33.58,8814837.0
30-0.02-1c,1c-2000f,23,33.8,8309122.5
30-0.02-1c,1c-2000f,24,34.17,5736783.0
30-0.02-1c,1c-2000f,25,34.52,8287476.5
30-0.02-1c,1c-2000f,26,35.82,7819290.5
30-0.02-1c,1c-2000f,27,36.22,7842662.5
30-0.02-1c,1c-2000f,28,36.6,6801656.5
30-0.02-1c,1c-2000f,29,37.39,7065982.0
30-0.02-1c,1c-2000f,30,37.74,6363334.0
30-0.02-1c,1c-2000f,31,39.53,8406592.0
30-0.02-1c,1c-2000f,32,44.2,9395547.5
30-0.02-1c,1c-2000f,33,44.26,6376500.5
30-0.02-1c,1c-2000f,34,46.6,7531508.5
30-0.02-1c,1c-2000f,35,46.98,8017302.5
30-0.02-1c,1c-2000f,36,47.66,6567495.0
30-0.02-1c,1c-2000f,37,48.5,6938572.5
30-0.02-1c,1c-2000f,38,49.4,7220976.0
30-0.02-1c,1c-2000f,39,49.76,7296510.5
30-0.02-1c,1c-2000f,40,50.13,7095428.0
30-0.02-1c,1c-2000f,41,52.56,7558429.0
30-0.02-1c,1c-2000f,42,55.91,9572277.0
30-0.02-1c,1c-2000f,43,58.2,6818863.5
30-0.02-1c,1c-2000f,44,62.28,5807925.0
30-0.02-1c,1c-2000f,45,62.96,6479205.5
30-0.02-1c,1c-2000f,46,65.24,7728333.5
30-0.02-1c,1c-2000f,47,67.06,8679229.5
30-0.02-1c,1c-2000f,48,67.88,9034981.5
30-0.02-1c,1c-2000f,49,73.5,7233147.0
30-0.02-1c,1c-2000f,50,74.05,6541342.0
30-0.02-1c,1c-2000f,51,74.41,9946545.5
30-0.02-1c,1c-2000f,52,74.69,5967962.5
