test,approach,answer,time
dp,10-core,1,19.03
dp,10-core,2,20.02
dp,10-core,3,24.02
dp,10-core,4,48.04
dp,10-core,5,53.04
dp,10-core,6,66.06
dp,10-core,7,68.07
dp,10-core,8,81.06
dp,10-core,9,96.07
dp,10-core,10,102.08
dp,1-core,1,19.05
dp,1-core,2,20.04
dp,1-core,3,24.04
dp,1-core,4,48.06
dp,1-core,5,53.05
dp,1-core,6,66.07
dp,1-core,7,68.07
dp,1-core,8,81.08
dp,1-core,9,96.09
dp,1-core,10,102.07
dp,4-core,1,19.27
dp,4-core,2,20.27
dp,4-core,3,24.27
dp,4-core,4,48.3
dp,4-core,5,53.29
dp,4-core,6,66.31
dp,4-core,7,68.32
dp,4-core,8,81.31
dp,4-core,9,96.33
dp,4-core,10,102.33
