test,approach,answer,time
dp,1-core,1,19.05
dp,1-core,2,20.04
dp,1-core,3,24.04
dp,1-core,4,48.06
dp,1-core,5,53.05
dp,1-core,6,66.07
dp,1-core,7,68.07
dp,1-core,8,81.08
dp,1-core,9,96.09
dp,1-core,10,102.07
dp,1-core,11,116.11
dp,1-core,12,121.11
dp,1-core,13,126.11
dp,1-core,14,136.11
dp,1-core,15,148.10
dp,1-core,16,154.11
dp,1-core,17,155.12
dp,1-core,18,175.11
dp,1-core,19,181.14
dp,1-core,20,187.13
dp,1-core,21,188.14
dp,1-core,22,190.14
dp,1-core,23,192.12
dp,1-core,24,200.12
dp,1-core,25,202.12
dp,1-core,26,204.13
dp,1-core,27,208.16
dp,1-core,28,210.15
dp,1-core,29,220.16
dp,1-core,30,247.15
dp,1-core,31,247.16
dp,1-core,32,260.23
dp,1-core,33,263.15
dp,1-core,34,266.22
dp,1-core,35,271.19
dp,1-core,36,276.17
dp,1-core,37,278.19
dp,1-core,38,280.18
dp,1-core,39,294.22
dp,1-core,40,313.21
dp,1-core,41,326.23
dp,1-core,42,349.25
dp,1-core,43,353.21
dp,1-core,44,366.25
dp,1-core,45,377.22
dp,1-core,46,381.24
dp,1-core,47,413.26
dp,1-core,48,416.27
dp,1-core,49,418.26
dp,1-core,50,420.25
dp,1-core,51,424.28
dp,1-core,52,433.26
dp,1-core,53,456.25
dp,1-core,54,456.29
dp,1-core,55,465.26
dp,1-core,56,499.32
dp,1-core,57,500.28
dp,1-core,58,504.31
dp,1-core,59,505.28
dp,1-core,60,507.31
dp,1-core,61,509.28
dp,1-core,62,509.32
dp,1-core,63,523.33
dp,1-core,64,527.29
dp,1-core,65,527.35
dp,1-core,66,537.34
dp,1-core,67,541.33
dp,1-core,68,550.32
dp,1-core,69,553.31
dp,1-core,70,571.31
dp,1-core,71,578.36
dp,1-core,72,585.35
dp,1-core,73,593.34
dp,1-core,74,596.34
dp,1-core,75,601.33
dp,1-core,76,604.32
dp,1-core,77,612.34
dp,1-core,78,629.36
dp,1-core,79,669.36
dp,1-core,80,673.36
dp,1-core,81,684.41
dp,1-core,82,698.37
dp,1-core,83,698.38
dp,1-core,84,708.39
dp,1-core,85,716.39
dp,1-core,86,741.41
dp,1-core,87,773.44
dp,1-core,88,775.44
dp,1-core,89,779.43
dp,1-core,90,787.45
dp,1-core,91,793.43
dp,1-core,92,810.44
dp,1-core,93,826.48
dp,1-core,94,846.47
dp,1-core,95,847.48
dp,1-core,96,847.50
dp,1-core,97,856.45
dp,1-core,98,863.46
dp,1-core,99,873.51
dp,1-core,100,888.51
dp,1-core,101,901.50
dp,1-core,102,909.51
dp,1-core,103,942.53
dp,1-core,104,958.53
dp,1-core,105,964.55
dp,1-core,106,968.54
dp,1-core,107,993.52
dp,1-core,108,1002.58
dp,1-core,109,1004.54
dp,1-core,110,1014.54
dp,1-core,111,1019.54
dp,1-core,112,1021.53
dp,1-core,113,1049.57
dp,1-core,114,1051.58
dp,1-core,115,1067.56
dp,1-core,116,1074.56
dp,1-core,117,1076.59
dp,1-core,118,1077.58
dp,1-core,119,1085.58
dp,1-core,120,1092.63
dp,1-core,121,1093.62
dp,1-core,122,1097.61
dp,1-core,123,1106.64
dp,1-core,124,1109.59
dp,1-core,125,1117.67
dp,1-core,126,1120.63
dp,1-core,127,1126.61
dp,1-core,128,1144.60
dp,1-core,129,1163.61
dp,1-core,130,1164.60
dp,1-core,131,1166.63
dp,1-core,132,1174.68
dp,1-core,133,1177.63
dp,1-core,134,1192.64
dp,1-core,135,1213.64
dp,1-core,136,1216.63
dp,1-core,137,1223.65
dp,1-core,138,1226.66
dp,1-core,139,1227.64
dp,1-core,140,1245.66
dp,1-core,141,1257.68
dp,1-core,142,1276.69
dp,1-core,143,1277.70
dp,1-core,144,1279.67
dp,1-core,145,1283.67
dp,1-core,146,1286.68
dp,1-core,147,1289.75
dp,1-core,148,1293.69
dp,1-core,149,1294.73
