test,approach,tfft,totaltime,mrt,checks,alerts
15-0.03-8c,8c-1f,962172065,24655.6,27146101849,4356839,50655
15-0.03-8c,8c-5f,1008773480,8822.07,11958448972,4356839,50655
15-0.03-8c,8c-10f,1016353413,4169.37,9867710029,4356839,50655
15-0.03-8c,8c-20f,1594353026,2598.31,11952032873,4356839,50655
15-0.03-8c,8c-40f,1842712911,2172.25,17956180406,4356839,50655
15-0.03-8c,8c-100f,1205553949,2004.3,23417505289,4356839,50655
15-0.03-8c,8c-200f,1340421095,2003.17,78140944242,4356839,50655
15-0.03-8c,8c-500f,809244919,1947.59,136437799943,4356839,50655
15-0.03-8c,8c-1000f,824797666,1936.92,256590885280,4356839,50655
15-0.03-8c,8c-2000f,932710514,1989.86,562012812157,4356839,50655
