test,approach,tfft,totaltime,mrt,checks,alerts
15-0.03-16c,16c-0f,402719444,25088.9,13819630440,4356839,50655
15-0.03-16c,16c-1f,1134849680,22566.27,24830988013,4356839,50655
15-0.03-16c,16c-5f,639126879,7416.95,9966944378,4356839,50655
15-0.03-16c,16c-10f,671803140,3638.56,7618909418,4356839,50655
15-0.03-16c,16c-100f,1329129002,2206.1,37655596331,4356839,50655
15-0.03-16c,16c-250f,916717699,1947.81,90781880965,4356839,50655
15-0.03-16c,16c-500f,1261189106,1945.56,138051906813,4356839,50655
15-0.03-16c,16c-1000f,1022244668,1945.94,263252580094,4356839,50655
15-0.03-16c,16c-2000f,1160950144,1968.69,554854883325,4356839,50655
15-0.03-16c,16c-5000f,1614947941,2164.89,1060867743619,4356839,50655
15-0.03-16c,16c-10000f,1686483243,2428.85,1249952288684,4356839,50655
