test,approach,tfft,totaltime,mrt,checks,alerts
15-0.03-2c,2c-0f,402719444,25088.9,13819630440,4356839,50655
15-0.03-2c,2c-5f,1097571533,8110.1,10984420423,4356839,50655
15-0.03-2c,2c-10f,1026657280,3984.71,9681073768,4356839,50655
15-0.03-2c,2c-100f,951228110,2057.76,40050697804,4356839,50655
15-0.03-2c,2c-250f,1268518443,2035.52,80314199964,4356839,50655
15-0.03-2c,2c-500f,1407999374,2088.46,161207317695,4356839,50655
15-0.03-2c,2c-1000f,1955474526,2227.03,301262088773,4356839,50655
15-0.03-2c,2c-2000f,3434223224,2541.59,702255248465,4356839,50655
15-0.03-2c,2c-5000f,5331865257,4946.49,1732585779975,4356839,50655
15-0.03-2c,2c-10000f,9914195863,6347.96,2535941666739,4356839,50655
