test,approach,tfft,totaltime,mrt,checks,alerts
7-0.03-2c,2c-5f,1492270341,5011.29,14347909879,1939026,26485
7-0.03-2c,2c-10f,1334271751,2315.59,11616533876,1939026,26485
7-0.03-2c,2c-100f,1395952538,961.39,32226856412,1939026,26485
7-0.03-2c,2c-250f,1633205571,928.65,73546509893,1939026,26485
7-0.03-2c,2c-500f,2587250511,976.69,129723026315,1939026,26485
7-0.03-2c,2c-1000f,3270661369,1068.87,300887016301,1939026,26485
7-0.03-2c,2c-2000f,4755244030,1284.36,601463345633,1939026,26485
7-0.03-2c,2c-5000f,9821284573,2362.9,886035715950,1939026,26485
7-0.03-2c,2c-10000f,17515584749,3567.94,1479550348872,1939026,26485
7-0.03-2c,2c-0f,642447562,11275.95,13273918539,1939026,26485
