test,approach,answer,time
30-0.02-1c,1c-1000f,1,1.99
30-0.02-1c,1c-1000f,2,2.04
30-0.02-1c,1c-1000f,3,2.06
30-0.02-1c,1c-1000f,4,2.08
30-0.02-1c,1c-1000f,5,3.14
30-0.02-1c,1c-1000f,6,4.64
30-0.02-1c,1c-1000f,7,5.5
30-0.02-1c,1c-1000f,8,6.13
30-0.02-1c,1c-1000f,9,6.3
30-0.02-1c,1c-1000f,10,6.4
30-0.02-1c,1c-1000f,11,6.45
30-0.02-1c,1c-1000f,12,6.5
30-0.02-1c,1c-1000f,13,6.56
30-0.02-1c,1c-1000f,14,6.6
30-0.02-1c,1c-1000f,15,6.62
30-0.02-1c,1c-1000f,16,6.65
30-0.02-1c,1c-1000f,17,6.68
30-0.02-1c,1c-1000f,18,6.71
30-0.02-1c,1c-1000f,19,6.75
30-0.02-1c,1c-1000f,20,6.79
30-0.02-1c,1c-1000f,21,6.82
30-0.02-1c,1c-1000f,22,6.86
30-0.02-1c,1c-1000f,23,6.89
30-0.02-1c,1c-1000f,24,6.91
30-0.02-1c,1c-1000f,25,6.93
30-0.02-1c,1c-1000f,26,6.96
30-0.02-1c,1c-1000f,27,6.99
30-0.02-1c,1c-1000f,28,7.02
30-0.02-1c,1c-1000f,29,7.04
30-0.02-1c,1c-1000f,30,7.06
30-0.02-1c,1c-1000f,31,7.09
30-0.02-1c,1c-1000f,32,7.11
30-0.02-1c,1c-1000f,33,7.12
30-0.02-1c,1c-1000f,34,7.14
30-0.02-1c,1c-1000f,35,7.17
30-0.02-1c,1c-1000f,36,7.21
30-0.02-1c,1c-1000f,37,7.24
30-0.02-1c,1c-1000f,38,7.27
30-0.02-1c,1c-1000f,39,7.29
30-0.02-1c,1c-1000f,40,7.31
30-0.02-1c,1c-1000f,41,7.32
30-0.02-1c,1c-1000f,42,7.35
30-0.02-1c,1c-1000f,43,7.37
30-0.02-1c,1c-1000f,44,7.4
30-0.02-1c,1c-1000f,45,7.41
30-0.02-1c,1c-1000f,46,7.44
30-0.02-1c,1c-1000f,47,7.47
30-0.02-1c,1c-1000f,48,7.49
30-0.02-1c,1c-1000f,49,7.53
30-0.02-1c,1c-1000f,50,7.55
30-0.02-1c,1c-1000f,51,7.59
30-0.02-1c,1c-1000f,52,7.61
30-0.02-1c,1c-1000f,53,7.65
30-0.02-1c,1c-1000f,54,7.68
30-0.02-1c,1c-1000f,55,7.71
30-0.02-1c,1c-1000f,56,7.72
30-0.02-1c,1c-1000f,57,7.74
30-0.02-1c,1c-1000f,58,7.77
30-0.02-1c,1c-1000f,59,7.79
30-0.02-1c,1c-1000f,60,7.81
30-0.02-1c,1c-1000f,61,7.82
30-0.02-1c,1c-1000f,62,7.84
30-0.02-1c,1c-1000f,63,7.87
30-0.02-1c,1c-1000f,64,7.91
30-0.02-1c,1c-1000f,65,7.94
30-0.02-1c,1c-1000f,66,7.96
30-0.02-1c,1c-1000f,67,7.99
30-0.02-1c,1c-1000f,68,8.02
30-0.02-1c,1c-1000f,69,8.04
30-0.02-1c,1c-1000f,70,8.07
30-0.02-1c,1c-1000f,71,8.1
30-0.02-1c,1c-1000f,72,8.14
30-0.02-1c,1c-1000f,73,8.16
30-0.02-1c,1c-1000f,74,8.18
30-0.02-1c,1c-1000f,75,8.21
30-0.02-1c,1c-1000f,76,8.24
30-0.02-1c,1c-1000f,77,8.26
30-0.02-1c,1c-1000f,78,8.29
30-0.02-1c,1c-1000f,79,8.31
30-0.02-1c,1c-1000f,80,8.34
30-0.02-1c,1c-1000f,81,8.36
30-0.02-1c,1c-1000f,82,8.39
30-0.02-1c,1c-1000f,83,8.43
30-0.02-1c,1c-1000f,84,8.45
30-0.02-1c,1c-1000f,85,8.47
30-0.02-1c,1c-1000f,86,8.5
30-0.02-1c,1c-1000f,87,8.56
30-0.02-1c,1c-1000f,88,8.59
30-0.02-1c,1c-1000f,89,8.61
30-0.02-1c,1c-1000f,90,8.64
30-0.02-1c,1c-1000f,91,8.69
30-0.02-1c,1c-1000f,92,8.74
30-0.02-1c,1c-1000f,93,8.77
30-0.02-1c,1c-1000f,94,8.82
30-0.02-1c,1c-1000f,95,8.85
30-0.02-1c,1c-1000f,96,8.88
30-0.02-1c,1c-1000f,97,8.91
30-0.02-1c,1c-1000f,98,8.94
