test,approach,answer,time,responseTime
30-0.02-1c,1c-1f,1,0.14,118814993.3
30-0.02-1c,1c-1f,2,0.14,124964332.2
30-0.02-1c,1c-1f,3,0.16,136922069.4
30-0.02-1c,1c-1f,4,0.18,166549006.5
30-0.02-1c,1c-1f,5,0.44,421094420.3
30-0.02-1c,1c-1f,6,0.53,507079963.1
30-0.02-1c,1c-1f,7,0.77,744123218.8
30-0.02-1c,1c-1f,8,0.84,819782695.9
30-0.02-1c,1c-1f,9,1.1,1069085289.5
30-0.02-1c,1c-1f,10,1.44,1416514044.6
30-0.02-1c,1c-1f,11,1.58,1549603957.8
30-0.02-1c,1c-1f,12,2.02,1990573564.0
30-0.02-1c,1c-1f,13,2.2,2167101665.8
30-0.02-1c,1c-1f,14,2.34,2303590691.1
30-0.02-1c,1c-1f,15,2.72,2680760080.0
30-0.02-1c,1c-1f,16,3.14,3099642821.7
30-0.02-1c,1c-1f,17,3.34,3307292362.7
30-0.02-1c,1c-1f,18,3.42,3385590748.2
30-0.02-1c,1c-1f,19,3.47,3433042789.4
30-0.02-1c,1c-1f,20,4.2,4158008669.4
30-0.02-1c,1c-1f,21,4.44,4398057801.1
30-0.02-1c,1c-1f,22,4.68,4638177999.9
30-0.02-1c,1c-1f,23,4.74,4691484517.7
30-0.02-1c,1c-1f,24,4.8,4748001418.3
30-0.02-1c,1c-1f,25,4.84,4795453817.5
30-0.02-1c,1c-1f,26,5.17,5125575878.1
30-0.02-1c,1c-1f,27,5.27,5220091557.8
30-0.02-1c,1c-1f,28,5.35,5298796859.1
30-0.02-1c,1c-1f,29,5.53,5483365776.1
30-0.02-1c,1c-1f,30,5.59,5540263954.1
30-0.02-1c,1c-1f,31,6.02,5972392365.9
30-0.02-1c,1c-1f,32,7.22,7162051335.4
30-0.02-1c,1c-1f,33,7.24,7178522465.7
30-0.02-1c,1c-1f,34,7.82,7762233250.7
30-0.02-1c,1c-1f,35,7.91,7849874425.1
30-0.02-1c,1c-1f,36,8.11,8044790136.9
30-0.02-1c,1c-1f,37,8.34,8275735041.2
30-0.02-1c,1c-1f,38,8.51,8450082006.0
30-0.02-1c,1c-1f,39,8.61,8547658785.6
30-0.02-1c,1c-1f,40,8.71,8650497065.8
30-0.02-1c,1c-1f,41,9.38,9317824864.4
30-0.02-1c,1c-1f,42,10.24,10171862935.0
30-0.02-1c,1c-1f,43,10.94,10869496977.8
30-0.02-1c,1c-1f,44,11.91,11837888931.8
30-0.02-1c,1c-1f,45,12.09,12011068310.8
30-0.02-1c,1c-1f,46,12.72,12645037821.1
30-0.02-1c,1c-1f,47,13.08,12998397270.7
30-0.02-1c,1c-1f,48,13.29,13216281151.9
30-0.02-1c,1c-1f,49,15.0,14914503143.5
30-0.02-1c,1c-1f,50,15.2,15118489632.4
30-0.02-1c,1c-1f,51,15.3,15212230672.2
30-0.02-1c,1c-1f,52,15.38,15291786094.4
30-0.02-1c,1c-1f,53,15.57,15476654689.6
30-0.02-1c,1c-1f,54,15.98,15892000499.4
30-0.02-1c,1c-1f,55,17.19,17094234853.9
30-0.02-1c,1c-1f,56,17.23,17137230250.8
30-0.02-1c,1c-1f,57,17.71,17616334526.9
30-0.02-1c,1c-1f,58,19.64,19267921736.3
30-0.02-1c,1c-1f,59,19.67,19297970382.3
30-0.02-1c,1c-1f,60,19.93,19497414291.2
30-0.02-1c,1c-1f,61,19.99,19528857754.5
30-0.02-1c,1c-1f,62,20.11,19602794566.2
30-0.02-1c,1c-1f,63,20.21,19664584484.2
30-0.02-1c,1c-1f,64,20.25,19702244112.0
30-0.02-1c,1c-1f,65,21.01,20177504357.4
30-0.02-1c,1c-1f,66,21.23,20313197184.8
30-0.02-1c,1c-1f,67,21.29,20355133013.0
30-0.02-1c,1c-1f,68,21.84,20699729202.5
30-0.02-1c,1c-1f,69,22.01,20775164716.5
30-0.02-1c,1c-1f,70,22.51,21066009030.9
30-0.02-1c,1c-1f,71,22.69,21153458594.6
30-0.02-1c,1c-1f,72,23.69,21634149672.5
30-0.02-1c,1c-1f,73,24.13,21820138879.5
30-0.02-1c,1c-1f,74,24.57,22002192756.3
30-0.02-1c,1c-1f,75,25.02,22173006220.0
30-0.02-1c,1c-1f,76,25.15,22252320683.2
30-0.02-1c,1c-1f,77,25.45,22347602156.3
30-0.02-1c,1c-1f,78,25.58,22354124048.8
30-0.02-1c,1c-1f,79,26.01,22507057265.2
30-0.02-1c,1c-1f,80,27.03,22871869347.6
30-0.02-1c,1c-1f,81,29.19,23507203575.4
30-0.02-1c,1c-1f,82,29.45,23560270908.4
30-0.02-1c,1c-1f,83,30.16,23725819238.8
30-0.02-1c,1c-1f,84,30.82,23844975909.1
30-0.02-1c,1c-1f,85,30.83,23827128951.0
30-0.02-1c,1c-1f,86,31.35,23940121652.8
30-0.02-1c,1c-1f,87,31.71,24004172622.7
30-0.02-1c,1c-1f,88,32.73,24239480861.4
30-0.02-1c,1c-1f,89,33.22,24331680538.6
30-0.02-1c,1c-1f,90,34.92,24554131241.7
30-0.02-1c,1c-1f,91,35.06,24574274824.7
30-0.02-1c,1c-1f,92,35.34,24590641609.5
30-0.02-1c,1c-1f,93,35.86,24647523589.4
30-0.02-1c,1c-1f,94,36.14,24721776650.5
30-0.02-1c,1c-1f,95,37.14,24946691405.9
30-0.02-1c,1c-1f,96,38.04,25106695365.4
30-0.02-1c,1c-1f,97,39.02,25068776232.4
30-0.02-1c,1c-1f,98,39.2,25092312433.5
30-0.02-1c,1c-1f,99,39.29,25122741310.1
30-0.02-1c,1c-1f,100,39.3,25128505355.5
30-0.02-1c,1c-1f,101,39.84,25160956705.2
30-0.02-1c,1c-1f,102,39.91,25163766397.4
30-0.02-1c,1c-1f,103,40.22,25155763159.9
30-0.02-1c,1c-1f,104,41.01,25305246304.0
30-0.02-1c,1c-1f,105,41.83,25321922703.0
30-0.02-1c,1c-1f,106,42.55,25386657833.5
30-0.02-1c,1c-1f,107,42.91,25379751267.1
30-0.02-1c,1c-1f,108,44.98,25374523538.2
30-0.02-1c,1c-1f,109,45.85,25437614140.7
30-0.02-1c,1c-1f,110,46.24,25509712150.2
30-0.02-1c,1c-1f,111,46.47,25536906018.7
30-0.02-1c,1c-1f,112,47.97,25644135082.4
30-0.02-1c,1c-1f,113,48.57,25681329605.7
30-0.02-1c,1c-1f,114,48.66,25697419467.3
30-0.02-1c,1c-1f,115,49.16,25628638106.9
30-0.02-1c,1c-1f,116,49.4,25582966366.3
30-0.02-1c,1c-1f,117,49.51,25573973543.7
30-0.02-1c,1c-1f,118,51.06,25481732350.8
30-0.02-1c,1c-1f,119,51.21,25469461785.2
30-0.02-1c,1c-1f,120,52.21,25493934963.2
30-0.02-1c,1c-1f,121,52.57,25494545815.0
30-0.02-1c,1c-1f,122,52.77,25504597842.5
30-0.02-1c,1c-1f,123,52.81,25523131198.6
30-0.02-1c,1c-1f,124,53.27,25533489871.6
30-0.02-1c,1c-1f,125,53.74,25525620191.7
30-0.02-1c,1c-1f,126,53.8,25529833344.4
30-0.02-1c,1c-1f,127,54.09,25558805416.8
30-0.02-1c,1c-1f,128,54.76,25673608646.3
