test,approach,tfft,totaltime,mrt,comp
30-0.02-2c,2c-1f,0.07,195.45,22948814713,462
30-0.02-2c,2c-2f,0.06,109.09,14453554032,462
30-0.02-2c,2c-5f,0.02,38.54,8124634926,462
30-0.02-2c,2c-10f,0.03,24.11,8767255395,462
30-0.02-2c,2c-20f,0.03,19.36,9477029240,462
30-0.02-2c,2c-40f,0.07,17.63,8890674469,462
30-0.02-2c,2c-100f,0.14,17.37,8911969713,462
30-0.02-2c,2c-200f,0.24,17.22,8765435590,462
30-0.02-2c,2c-500f,0.45,18.32,9418708805,462
30-0.02-2c,2c-1000f,0.63,19.32,10307858389,462
30-0.02-2c,2c-2000f,1.9,21.68,11989847058,462
