test,approach,answer,time,responseTime
30-0.02-1c,1c-200f,1,0.75,734651747.6
30-0.02-1c,1c-200f,2,0.75,736010536.6
30-0.02-1c,1c-200f,3,0.76,740274910.7
30-0.02-1c,1c-200f,4,0.77,740925115.4
30-0.02-1c,1c-200f,5,0.78,753584681.5
30-0.02-1c,1c-200f,6,0.79,754228946.9
30-0.02-1c,1c-200f,7,0.8,758545170.6
30-0.02-1c,1c-200f,8,0.81,758426192.0
30-0.02-1c,1c-200f,9,0.82,769143557.1
30-0.02-1c,1c-200f,10,1.05,1024117833.7
30-0.02-1c,1c-200f,11,1.12,1099600116.7
30-0.02-1c,1c-200f,12,1.77,1666876099.9
30-0.02-1c,1c-200f,13,2.06,2015814002.8
30-0.02-1c,1c-200f,14,2.08,2003560615.1
30-0.02-1c,1c-200f,15,2.1,2027833213.6
30-0.02-1c,1c-200f,16,2.12,2045915963.7
30-0.02-1c,1c-200f,17,2.15,2064723428.0
30-0.02-1c,1c-200f,18,2.16,2057840457.7
30-0.02-1c,1c-200f,19,2.18,2059386907.2
30-0.02-1c,1c-200f,20,2.2,2057055547.8
30-0.02-1c,1c-200f,21,2.21,2089995733.9
30-0.02-1c,1c-200f,22,2.23,2079906040.8
30-0.02-1c,1c-200f,23,2.24,2093241634.5
30-0.02-1c,1c-200f,24,2.26,2141412791.6
30-0.02-1c,1c-200f,25,2.28,2168359768.1
30-0.02-1c,1c-200f,26,2.3,2181982354.0
30-0.02-1c,1c-200f,27,2.32,2201351067.8
30-0.02-1c,1c-200f,28,2.35,2218322517.1
30-0.02-1c,1c-200f,29,2.41,2214093222.2
30-0.02-1c,1c-200f,30,2.45,2256957692.1
30-0.02-1c,1c-200f,31,2.5,2360441205.1
30-0.02-1c,1c-200f,32,2.53,2335570292.1
30-0.02-1c,1c-200f,33,2.56,2354894757.0
30-0.02-1c,1c-200f,34,2.58,2411364563.8
30-0.02-1c,1c-200f,35,2.61,2401070807.2
30-0.02-1c,1c-200f,36,2.64,2413338868.9
30-0.02-1c,1c-200f,37,2.68,2432334113.6
30-0.02-1c,1c-200f,38,2.7,2440210665.3
30-0.02-1c,1c-200f,39,2.72,2484667392.7
30-0.02-1c,1c-200f,40,2.75,2502498985.1
30-0.02-1c,1c-200f,41,2.8,2533719573.5
30-0.02-1c,1c-200f,42,2.84,2535870881.8
30-0.02-1c,1c-200f,43,2.87,2538674773.4
30-0.02-1c,1c-200f,44,2.9,2625421553.5
30-0.02-1c,1c-200f,45,2.94,2617507167.0
30-0.02-1c,1c-200f,46,2.97,2676219733.0
30-0.02-1c,1c-200f,47,3.0,2680467771.3
30-0.02-1c,1c-200f,48,3.04,2682568301.0
30-0.02-1c,1c-200f,49,3.08,2710811213.2
30-0.02-1c,1c-200f,50,3.12,2710155674.8
30-0.02-1c,1c-200f,51,3.14,2754545740.9
30-0.02-1c,1c-200f,52,3.17,2830224162.9
30-0.02-1c,1c-200f,53,3.2,2881890220.8
30-0.02-1c,1c-200f,54,3.24,2835480339.5
30-0.02-1c,1c-200f,55,3.28,2838167336.8
30-0.02-1c,1c-200f,56,3.32,2919154778.8
30-0.02-1c,1c-200f,57,3.34,2942601034.3
30-0.02-1c,1c-200f,58,3.37,2951092142.0
30-0.02-1c,1c-200f,59,3.42,3003983176.1
30-0.02-1c,1c-200f,60,3.46,2994319950.4
30-0.02-1c,1c-200f,61,3.5,3133465148.8
30-0.02-1c,1c-200f,62,3.54,3111209778.1
30-0.02-1c,1c-200f,63,3.56,3191629927.3
30-0.02-1c,1c-200f,64,3.59,3141972165.0
30-0.02-1c,1c-200f,65,3.63,3166139446.2
30-0.02-1c,1c-200f,66,3.66,3219234991.5
30-0.02-1c,1c-200f,67,3.69,3183151865.5
30-0.02-1c,1c-200f,68,3.72,3202992725.5
30-0.02-1c,1c-200f,69,3.75,3274779802.8
30-0.02-1c,1c-200f,70,3.79,3333634851.6
30-0.02-1c,1c-200f,71,3.83,3318007723.4
30-0.02-1c,1c-200f,72,3.88,3402556711.4
30-0.02-1c,1c-200f,73,3.94,3416067032.5
30-0.02-1c,1c-200f,74,3.98,3474482518.8
30-0.02-1c,1c-200f,75,4.02,3447949030.8
30-0.02-1c,1c-200f,76,4.04,3479412633.4
30-0.02-1c,1c-200f,77,4.08,3498520853.9
30-0.02-1c,1c-200f,78,4.11,3562735317.9
30-0.02-1c,1c-200f,79,4.15,3533576060.3
30-0.02-1c,1c-200f,80,4.17,3601853888.4
30-0.02-1c,1c-200f,81,4.26,3724665283.4
30-0.02-1c,1c-200f,82,4.29,3659665513.2
30-0.02-1c,1c-200f,83,4.35,3664065659.7
30-0.02-1c,1c-200f,84,4.38,3739685859.6
30-0.02-1c,1c-200f,85,4.42,3837752146.1
30-0.02-1c,1c-200f,86,4.47,3839342782.7
30-0.02-1c,1c-200f,87,4.52,3891912725.5
30-0.02-1c,1c-200f,88,4.55,3859849095.3
30-0.02-1c,1c-200f,89,4.59,3935251140.2
30-0.02-1c,1c-200f,90,4.63,3940381668.0
