test,approach,tfft,totaltime,mrt,comp
30-0.02-16c,16c-1f,0.05,202.39,23813501405,462
30-0.02-16c,16c-2f,0.04,118.17,15682532902,462
30-0.02-16c,16c-5f,0.02,41.18,8585352596,462
30-0.02-16c,16c-10f,0.02,24.89,8929145055,462
30-0.02-16c,16c-20f,0.02,19.19,9268218471,462
30-0.02-16c,16c-40f,0.02,17.56,8718494365,462
30-0.02-16c,16c-100f,0.02,16.91,8549455870,462
30-0.02-16c,16c-200f,0.02,16.52,8534376801,462
30-0.02-16c,16c-500f,0.04,16.48,8739233609,462
30-0.02-16c,16c-1000f,0.06,16.48,9038296082,462
30-0.02-16c,16c-2000f,0.13,16.71,9276413537,462
