test,approach,answer,time,responseTime
30-0.02-4c,4c-1f,1,0.05,38767131.7
30-0.02-4c,4c-1f,2,0.05,45218468.2
30-0.02-4c,4c-1f,3,0.06,56122051.4
30-0.02-4c,4c-1f,4,0.09,84714297.8
30-0.02-4c,4c-1f,5,0.34,328828367.9
30-0.02-4c,4c-1f,6,0.42,411369750.9
30-0.02-4c,4c-1f,7,0.66,648676587.7
30-0.02-4c,4c-1f,8,0.74,726058531.7
30-0.02-4c,4c-1f,9,0.99,972634422.3
30-0.02-4c,4c-1f,10,1.33,1316723271.1
30-0.02-4c,4c-1f,11,1.48,1456036864.4
30-0.02-4c,4c-1f,12,1.91,1893327944.5
30-0.02-4c,4c-1f,13,2.08,2062687419.3
30-0.02-4c,4c-1f,14,2.22,2196993274.5
30-0.02-4c,4c-1f,15,2.58,2561522263.2
30-0.02-4c,4c-1f,16,3.0,2978133274.7
30-0.02-4c,4c-1f,17,3.22,3189251573.3
30-0.02-4c,4c-1f,18,3.3,3270704282.8
30-0.02-4c,4c-1f,19,3.35,3320555560.1
30-0.02-4c,4c-1f,20,4.11,4079485878.7
30-0.02-4c,4c-1f,21,4.38,4355381229.9
30-0.02-4c,4c-1f,22,4.65,4615466909.9
30-0.02-4c,4c-1f,23,4.71,4672256124.8
30-0.02-4c,4c-1f,24,4.77,4733593676.1
30-0.02-4c,4c-1f,25,4.81,4782975656.2
30-0.02-4c,4c-1f,26,5.17,5133375265.9
30-0.02-4c,4c-1f,27,5.26,5230046199.2
30-0.02-4c,4c-1f,28,5.35,5309665990.3
30-0.02-4c,4c-1f,29,5.54,5506637493.7
30-0.02-4c,4c-1f,30,5.6,5566975778.6
30-0.02-4c,4c-1f,31,6.02,5983700286.1
30-0.02-4c,4c-1f,32,7.23,7190088718.9
30-0.02-4c,4c-1f,33,7.25,7207493922.6
30-0.02-4c,4c-1f,34,7.84,7797021450.4
30-0.02-4c,4c-1f,35,7.93,7885606095.0
30-0.02-4c,4c-1f,36,8.12,8075402771.7
30-0.02-4c,4c-1f,37,8.35,8301307930.0
30-0.02-4c,4c-1f,38,8.53,8478670480.0
30-0.02-4c,4c-1f,39,8.62,8574070454.1
30-0.02-4c,4c-1f,40,8.72,8670100472.2
30-0.02-4c,4c-1f,41,9.36,9308713186.1
30-0.02-4c,4c-1f,42,10.22,10166260749.3
30-0.02-4c,4c-1f,43,10.94,10890888524.5
30-0.02-4c,4c-1f,44,11.99,11933230430.2
30-0.02-4c,4c-1f,45,12.18,12118443748.7
30-0.02-4c,4c-1f,46,12.83,12773739750.4
30-0.02-4c,4c-1f,47,13.19,13130396240.8
30-0.02-4c,4c-1f,48,13.42,13358559567.0
30-0.02-4c,4c-1f,49,15.16,15099582730.3
30-0.02-4c,4c-1f,50,15.38,15312629258.1
30-0.02-4c,4c-1f,51,15.48,15418246800.3
30-0.02-4c,4c-1f,52,15.57,15507745770.3
30-0.02-4c,4c-1f,53,15.78,15714720870.4
30-0.02-4c,4c-1f,54,16.25,16183136274.4
30-0.02-4c,4c-1f,55,17.51,17437838266.2
30-0.02-4c,4c-1f,56,17.55,17483245548.3
30-0.02-4c,4c-1f,57,18.04,17974173801.0
30-0.02-4c,4c-1f,58,19.99,19721195697.6
30-0.02-4c,4c-1f,59,20.03,19752130257.1
30-0.02-4c,4c-1f,60,20.3,19963364933.4
30-0.02-4c,4c-1f,61,20.36,20000166817.3
30-0.02-4c,4c-1f,62,20.48,20078181246.4
30-0.02-4c,4c-1f,63,20.57,20134958458.6
30-0.02-4c,4c-1f,64,20.61,20169420800.7
30-0.02-4c,4c-1f,65,21.42,20687629357.9
30-0.02-4c,4c-1f,66,21.65,20832979514.3
30-0.02-4c,4c-1f,67,21.7,20874452092.5
30-0.02-4c,4c-1f,68,22.25,21223820064.0
30-0.02-4c,4c-1f,69,22.44,21311114325.0
30-0.02-4c,4c-1f,70,22.94,21614642855.9
30-0.02-4c,4c-1f,71,23.14,21711016995.1
30-0.02-4c,4c-1f,72,24.18,22234599661.0
30-0.02-4c,4c-1f,73,24.62,22433229749.4
30-0.02-4c,4c-1f,74,25.06,22620222892.0
30-0.02-4c,4c-1f,75,25.49,22788348560.3
30-0.02-4c,4c-1f,76,25.63,22865508835.8
30-0.02-4c,4c-1f,77,25.94,22969678246.8
30-0.02-4c,4c-1f,78,26.08,22986921410.9
30-0.02-4c,4c-1f,79,26.5,23127724683.0
30-0.02-4c,4c-1f,80,27.48,23420602649.1
30-0.02-4c,4c-1f,81,29.64,23942776507.0
30-0.02-4c,4c-1f,82,29.89,23998740928.5
30-0.02-4c,4c-1f,83,30.6,24155602021.9
30-0.02-4c,4c-1f,84,31.29,24308733505.0
30-0.02-4c,4c-1f,85,31.3,24290395046.2
30-0.02-4c,4c-1f,86,31.84,24410651248.9
30-0.02-4c,4c-1f,87,32.19,24464489384.8
30-0.02-4c,4c-1f,88,33.2,24693091134.1
30-0.02-4c,4c-1f,89,33.69,24803357508.7
30-0.02-4c,4c-1f,90,35.47,25114575155.5
30-0.02-4c,4c-1f,91,35.62,25141099998.6
30-0.02-4c,4c-1f,92,35.9,25153849243.6
30-0.02-4c,4c-1f,93,36.42,25188462439.9
30-0.02-4c,4c-1f,94,36.69,25239067000.2
30-0.02-4c,4c-1f,95,37.65,25368611361.6
30-0.02-4c,4c-1f,96,38.57,25519733411.7
30-0.02-4c,4c-1f,97,39.51,25425375344.4
30-0.02-4c,4c-1f,98,39.7,25444993952.1
30-0.02-4c,4c-1f,99,39.78,25472154433.3
30-0.02-4c,4c-1f,100,39.8,25477194347.7
30-0.02-4c,4c-1f,101,40.35,25510421462.9
30-0.02-4c,4c-1f,102,40.42,25515646354.9
30-0.02-4c,4c-1f,103,40.74,25506432993.0
30-0.02-4c,4c-1f,104,41.51,25579607023.7
30-0.02-4c,4c-1f,105,42.32,25521344293.2
30-0.02-4c,4c-1f,106,43.06,25577178304.4
30-0.02-4c,4c-1f,107,43.45,25593210553.8
30-0.02-4c,4c-1f,108,45.6,25635113973.2
30-0.02-4c,4c-1f,109,46.42,25649864392.9
30-0.02-4c,4c-1f,110,46.8,25679194091.9
30-0.02-4c,4c-1f,111,47.01,25677649069.0
30-0.02-4c,4c-1f,112,48.5,25730513829.0
30-0.02-4c,4c-1f,113,49.1,25724391417.1
30-0.02-4c,4c-1f,114,49.18,25741796358.0
30-0.02-4c,4c-1f,115,49.73,25703577060.2
30-0.02-4c,4c-1f,116,49.99,25681510041.9
30-0.02-4c,4c-1f,117,50.11,25678076919.7
30-0.02-4c,4c-1f,118,51.82,25738708799.2
30-0.02-4c,4c-1f,119,51.98,25740753675.3
30-0.02-4c,4c-1f,120,52.99,25789109165.6
30-0.02-4c,4c-1f,121,53.37,25841130248.4
30-0.02-4c,4c-1f,122,53.58,25858005438.6
30-0.02-4c,4c-1f,123,53.62,25876651963.0
30-0.02-4c,4c-1f,124,54.05,25869138057.3
30-0.02-4c,4c-1f,125,54.53,25863741658.3
30-0.02-4c,4c-1f,126,54.6,25872051841.0
30-0.02-4c,4c-1f,127,54.88,25885319633.8
30-0.02-4c,4c-1f,128,55.49,25950613549.4
30-0.02-4c,4c-1f,129,55.62,25955985128.1
30-0.02-4c,4c-1f,130,56.21,25986949132.4
30-0.02-4c,4c-1f,131,56.34,26003211187.9
30-0.02-4c,4c-1f,132,56.71,26032750398.9
30-0.02-4c,4c-1f,133,57.9,26175240703.1
30-0.02-4c,4c-1f,134,59.12,26329142435.4
30-0.02-4c,4c-1f,135,59.17,26332460065.6
30-0.02-4c,4c-1f,136,59.29,26347871361.9
30-0.02-4c,4c-1f,137,59.78,26350286942.6
30-0.02-4c,4c-1f,138,59.94,26362850192.9
30-0.02-4c,4c-1f,139,60.84,26339181918.3
30-0.02-4c,4c-1f,140,62.06,26300682906.5
30-0.02-4c,4c-1f,141,62.22,26314190196.1
30-0.02-4c,4c-1f,142,62.67,26374253022.8
30-0.02-4c,4c-1f,143,62.91,26392986196.7
30-0.02-4c,4c-1f,144,62.94,26381365187.3
30-0.02-4c,4c-1f,145,63.98,26441573617.2
30-0.02-4c,4c-1f,146,64.68,26436266925.2
30-0.02-4c,4c-1f,147,65.84,26610516103.4
30-0.02-4c,4c-1f,148,65.93,26619599722.1
30-0.02-4c,4c-1f,149,66.04,26627529867.3
30-0.02-4c,4c-1f,150,66.25,26623325867.6
30-0.02-4c,4c-1f,151,66.46,26614954229.0
30-0.02-4c,4c-1f,152,66.78,26638929053.0
30-0.02-4c,4c-1f,153,66.97,26642700195.7
30-0.02-4c,4c-1f,154,67.09,26644494346.3
30-0.02-4c,4c-1f,155,68.34,26675202181.1
30-0.02-4c,4c-1f,156,69.25,26652391572.3
30-0.02-4c,4c-1f,157,69.6,26661587243.1
30-0.02-4c,4c-1f,158,69.76,26657746743.2
30-0.02-4c,4c-1f,159,69.95,26630868368.6
30-0.02-4c,4c-1f,160,71.04,26695783607.7
30-0.02-4c,4c-1f,161,71.85,26619480599.0
30-0.02-4c,4c-1f,162,72.19,26638572997.5
30-0.02-4c,4c-1f,163,72.4,26627801089.0
30-0.02-4c,4c-1f,164,72.82,26574614496.8
30-0.02-4c,4c-1f,165,73.09,26580087102.4
30-0.02-4c,4c-1f,166,73.28,26567564707.4
30-0.02-4c,4c-1f,167,73.32,26592243861.8
30-0.02-4c,4c-1f,168,73.74,26608107051.2
30-0.02-4c,4c-1f,169,73.75,26608399662.7
30-0.02-4c,4c-1f,170,73.91,26616592452.5
30-0.02-4c,4c-1f,171,73.91,26611046621.5
30-0.02-4c,4c-1f,172,74.39,26624101705.3
30-0.02-4c,4c-1f,173,74.75,26599454946.6
30-0.02-4c,4c-1f,174,74.9,26564891586.1
30-0.02-4c,4c-1f,175,75.46,26567389579.6
30-0.02-4c,4c-1f,176,75.64,26558160843.8
30-0.02-4c,4c-1f,177,75.88,26544722110.8
30-0.02-4c,4c-1f,178,76.69,26616884256.0
30-0.02-4c,4c-1f,179,77.3,26677618313.1
30-0.02-4c,4c-1f,180,77.87,26711132789.7
30-0.02-4c,4c-1f,181,78.59,26647753445.5
30-0.02-4c,4c-1f,182,78.74,26606981079.2
30-0.02-4c,4c-1f,183,79.68,26708094880.8
30-0.02-4c,4c-1f,184,79.93,26667093684.3
30-0.02-4c,4c-1f,185,80.31,26655645841.3
30-0.02-4c,4c-1f,186,80.56,26622138676.6
30-0.02-4c,4c-1f,187,80.81,26665757655.5
30-0.02-4c,4c-1f,188,81.07,26638317883.2
30-0.02-4c,4c-1f,189,81.19,26654808973.0
30-0.02-4c,4c-1f,190,81.52,26640733501.1
30-0.02-4c,4c-1f,191,81.77,26643148619.8
30-0.02-4c,4c-1f,192,81.85,26665997550.1
30-0.02-4c,4c-1f,193,82.3,26696872115.5
30-0.02-4c,4c-1f,194,82.92,26692921628.9
30-0.02-4c,4c-1f,195,83.21,26694751875.4
30-0.02-4c,4c-1f,196,83.88,26685097352.6
30-0.02-4c,4c-1f,197,84.08,26645724413.0
30-0.02-4c,4c-1f,198,84.14,26694708927.6
30-0.02-4c,4c-1f,199,84.16,26671882677.9
30-0.02-4c,4c-1f,200,84.4,26667400394.2
30-0.02-4c,4c-1f,201,84.6,26663222554.9
30-0.02-4c,4c-1f,202,84.81,26666860274.5
30-0.02-4c,4c-1f,203,84.87,26668725507.8
30-0.02-4c,4c-1f,204,85.02,26668372650.2
30-0.02-4c,4c-1f,205,85.24,26655190153.9
30-0.02-4c,4c-1f,206,85.34,26661603828.1
30-0.02-4c,4c-1f,207,85.84,26670618696.5
30-0.02-4c,4c-1f,208,89.28,26678984723.1
30-0.02-4c,4c-1f,209,89.64,26670376152.4
30-0.02-4c,4c-1f,210,90.58,26700541341.3
30-0.02-4c,4c-1f,211,90.65,26701785852.4
30-0.02-4c,4c-1f,212,90.92,26706409818.2
30-0.02-4c,4c-1f,213,91.6,26726041929.2
30-0.02-4c,4c-1f,214,93.29,26758481085.4
30-0.02-4c,4c-1f,215,93.34,26753736486.9
30-0.02-4c,4c-1f,216,94.14,26810619930.1
30-0.02-4c,4c-1f,217,94.64,26777704866.0
30-0.02-4c,4c-1f,218,94.83,26785740063.4
30-0.02-4c,4c-1f,219,94.9,26786354303.9
30-0.02-4c,4c-1f,220,95.24,26791841947.8
30-0.02-4c,4c-1f,221,96.62,26820530781.8
30-0.02-4c,4c-1f,222,96.87,26855969880.9
30-0.02-4c,4c-1f,223,96.94,26848053226.6
