test,approach,tfft,totaltime,mrt,checks,alerts
120-0.02-16c,16c-0f,82181658,895.74,13944103017,158750,3078
120-0.02-16c,16c-1f,30501275,772.38,23887541976,158750,3078
120-0.02-16c,16c-2f,15312222,399.1,12260162948,158750,3078
120-0.02-16c,16c-5f,12203813,146.21,5355050792,158750,3078
120-0.02-16c,16c-10f,11973010,98.92,6156513628,158750,3078
120-0.02-16c,16c-20f,13064919,80.69,12580707045,158750,3078
120-0.02-16c,16c-40f,11059033,73.01,24040960643,158750,3078
120-0.02-16c,16c-100f,13206506,69.47,33699689177,158750,3078
120-0.02-16c,16c-200f,10736321,70.03,34142787969,158750,3078
120-0.02-16c,16c-500f,7749881,69.85,34073007928,158750,3078
120-0.02-16c,16c-1000f,7421341,68.98,33707504369,158750,3078
120-0.02-16c,16c-2000f,11533425,68.98,33788646700,158750,3078
