test,approach,tfft,totaltime,mrt,checks,alerts
30-0.02-1c,1c-0f,28467332.0,213.87,13394285922,37959,462
30-0.02-1c,1c-1f,96122604.3,207.91,25252252895,37959,462
30-0.02-1c,1c-2f,111247338.9,118.89,14099624474,37959,462
30-0.02-1c,1c-5f,140270556.8,40.41,7346632995,37959,462
30-0.02-1c,1c-10f,41618297.9,28.37,8109080994,37959,462
30-0.02-1c,1c-20f,51968798.3,22.12,9677760396,37959,462
30-0.02-1c,1c-40f,56401691.3,19.21,9009472166,37959,462
30-0.02-1c,1c-100f,100135708.3,18.49,8868488340,37959,462
30-0.02-1c,1c-200f,114596429.6,19.05,9183172522,37959,462
30-0.02-1c,1c-500f,156962502.9,20.54,9987625067,37959,462
30-0.02-1c,1c-1000f,188133857.6,22.83,11073647102,37959,462
30-0.02-1c,1c-2000f,188073557.8,27.98,13942892988,37959,462
30-0.02-2c,2c-0f,28467332.0,213.87,13394285922,37959,462
30-0.02-2c,2c-1f,27297918.9,202.2,24554400600,37959,462
30-0.02-2c,2c-2f,23925601.0,112.48,13351036640,37959,462
30-0.02-2c,2c-5f,19920529.7,39.79,7246873094,37959,462
30-0.02-2c,2c-10f,19604364.1,24.99,8040091446,37959,462
30-0.02-2c,2c-20f,29256176.9,20.4,9025820485,37959,462
30-0.02-2c,2c-40f,35833629.0,18.43,8459176315,37959,462
30-0.02-2c,2c-100f,17923635.2,17.41,8248385077,37959,462
30-0.02-2c,2c-200f,29223929.6,17.88,8516763914,37959,462
30-0.02-2c,2c-500f,39920261.2,18.29,8846184821,37959,462
30-0.02-2c,2c-1000f,33016850.5,19.5,9544075461,37959,462
30-0.02-2c,2c-2000f,45179333.8,21.9,11372126397,37959,462
30-0.02-4c,4c-0f,28467332.0,213.87,13394285922,37959,462
30-0.02-4c,4c-1f,12274816.5,208.38,25339906644,37959,462
30-0.02-4c,4c-2f,10573012.7,117.36,13952973216,37959,462
30-0.02-4c,4c-5f,11389747.3,39.91,7160458239,37959,462
30-0.02-4c,4c-10f,12616552.3,24.49,7864186602,37959,462
30-0.02-4c,4c-20f,13330369.4,20.32,8815057352,37959,462
30-0.02-4c,4c-40f,13732987.7,17.76,8043857787,37959,462
30-0.02-4c,4c-100f,9027762.4,17.1,7935918669,37959,462
30-0.02-4c,4c-200f,8997462.7,16.53,7827580182,37959,462
30-0.02-4c,4c-500f,12928940.2,17.14,8263083266,37959,462
30-0.02-4c,4c-1000f,15918715.3,17.6,8588635520,37959,462
30-0.02-4c,4c-2000f,20382457.7,18.83,9566972260,37959,462
30-0.02-8c,8c-0f,28467332.0,213.87,13394285922,37959,462
30-0.02-8c,8c-1f,12022564.5,207.76,25253623948,37959,462
30-0.02-8c,8c-2f,11590183.9,121.23,14422566971,37959,462
30-0.02-8c,8c-5f,11179860.3,42.48,7642599862,37959,462
30-0.02-8c,8c-10f,11285467.4,24.89,7959213634,37959,462
30-0.02-8c,8c-20f,10763620.5,20.07,8710313161,37959,462
30-0.02-8c,8c-40f,11526206.3,17.88,7992172417,37959,462
30-0.02-8c,8c-100f,7557881.3,16.99,7915075224,37959,462
30-0.02-8c,8c-200f,9666610.2,16.53,7812575201,37959,462
30-0.02-8c,8c-500f,9315830.5,16.56,7867543817,37959,462
30-0.02-8c,8c-1000f,11304282.7,16.75,7972324064,37959,462
30-0.02-8c,8c-2000f,14681535.2,17.0,8236742524,37959,462
30-0.02-16c,16c-0f,28467332.0,213.87,13394285922,37959,462
30-0.02-16c,16c-1f,13647090.5,196.75,23902071871,37959,462
30-0.02-16c,16c-2f,10338389.7,113.17,13391636690,37959,462
30-0.02-16c,16c-5f,10279578.4,37.8,6788763139,37959,462
30-0.02-16c,16c-10f,10897020.7,23.92,7855766082,37959,462
30-0.02-16c,16c-20f,10627520.78,19.94,8738214989,37959,462
30-0.02-16c,16c-40f,11988835.6,17.69,8132033553,37959,462
30-0.02-16c,16c-100f,6392439.8,17.1,8088674859,37959,462
30-0.02-16c,16c-200f,6922814.2,16.51,7929895322,37959,462
30-0.02-16c,16c-500f,8600062.0,16.61,8036344957,37959,462
30-0.02-16c,16c-1000f,13918054.2,16.29,7824323005,37959,462
30-0.02-16c,16c-2000f,13877690.7,16.63,8012628902,37959,462
