dief@t until the time unit when the slowest approach finalizes its execution
NOTE! - Now it is among all the possible included variations! (not only among the ones with the same # filters or # cores)
           test   approach  ...  interactions/s        dieft
0    30-0.02-1c      1c-1f  ...      384.387475  3950696.995
1    30-0.02-1c      1c-2f  ...      672.201194  5782203.870
2    30-0.02-1c      1c-5f  ...     1977.678792  7276688.925
3    30-0.02-1c     1c-10f  ...     2816.989778  7470238.665
4    30-0.02-1c     1c-20f  ...     3612.929476  7524959.945
5    30-0.02-1c     1c-40f  ...     4160.229047  7547081.285
6    30-0.02-1c    1c-100f  ...     4322.228231  7543255.115
7    30-0.02-1c    1c-200f  ...     4195.170604  7519470.770
8    30-0.02-1c    1c-500f  ...     3890.847128  7458980.990
9    30-0.02-1c   1c-1000f  ...     3500.569426  7370713.060
10   30-0.02-1c   1c-2000f  ...     2856.254467  7179111.975
11   30-0.02-2c      2c-1f  ...      395.242334  4072207.125
12   30-0.02-2c      2c-2f  ...      710.508535  5903892.200
13   30-0.02-2c      2c-5f  ...     2008.494597  7288082.395
14   30-0.02-2c     2c-10f  ...     3197.999200  7495749.215
15   30-0.02-2c     2c-20f  ...     3917.549020  7554559.425
16   30-0.02-2c     2c-40f  ...     4336.299512  7574950.625
17   30-0.02-2c    2c-100f  ...     4590.350373  7579279.665
18   30-0.02-2c    2c-200f  ...     4469.686801  7562972.385
19   30-0.02-2c    2c-500f  ...     4369.491525  7536256.145
20   30-0.02-2c   2c-1000f  ...     4098.358974  7490452.945
21   30-0.02-2c   2c-2000f  ...     3649.223744  7398277.500
22   30-0.02-4c      4c-1f  ...      383.520491  3945371.735
23   30-0.02-4c      4c-2f  ...      680.964554  5802037.635
24   30-0.02-4c      4c-5f  ...     2002.455525  7295833.380
25   30-0.02-4c     4c-10f  ...     3263.291139  7506646.890
26   30-0.02-4c     4c-20f  ...     3932.972441  7562663.675
27   30-0.02-4c     4c-40f  ...     4499.887387  7591618.245
28   30-0.02-4c    4c-100f  ...     4673.567251  7595088.835
29   30-0.02-4c    4c-200f  ...     4834.724743  7597639.090
30   30-0.02-4c    4c-500f  ...     4662.660443  7574746.375
31   30-0.02-4c   4c-1000f  ...     4540.795455  7556086.510
32   30-0.02-4c   4c-2000f  ...     4244.184811  7513389.905
33   30-0.02-8c      8c-1f  ...      384.664998  3948330.255
34   30-0.02-8c      8c-2f  ...      659.226264  5740791.250
35   30-0.02-8c      8c-5f  ...     1881.308851  7253808.555
36   30-0.02-8c     8c-10f  ...     3210.847730  7503553.570
37   30-0.02-8c     8c-20f  ...     3981.963129  7566788.610
38   30-0.02-8c     8c-40f  ...     4469.686801  7593715.155
39   30-0.02-8c    8c-100f  ...     4703.825780  7596269.820
40   30-0.02-8c    8c-200f  ...     4834.724743  7599474.100
41   30-0.02-8c    8c-500f  ...     4825.966184  7595212.455
42   30-0.02-8c   8c-1000f  ...     4771.223881  7588780.580
43   30-0.02-8c   8c-2000f  ...     4701.058824  7575995.200
44  30-0.02-16c     16c-1f  ...      406.190597  4170294.940
45  30-0.02-16c     16c-2f  ...      706.176549  5906229.320
46  30-0.02-16c     16c-5f  ...     2114.232804  7326470.915
47  30-0.02-16c    16c-10f  ...     3341.053512  7511489.415
48  30-0.02-16c    16c-20f  ...     4007.923771  7569827.005
49  30-0.02-16c    16c-40f  ...     4517.693612  7592550.140
50  30-0.02-16c   16c-100f  ...     4673.567251  7593611.845
51  30-0.02-16c   16c-200f  ...     4840.581466  7599093.460
52  30-0.02-16c   16c-500f  ...     4811.438892  7593993.800
53  30-0.02-16c  16c-1000f  ...     4905.954573  7601204.380
54  30-0.02-16c  16c-2000f  ...     4805.652435  7593783.610

[55 rows x 11 columns]
