test,approach,answer,time,responseTime
30-0.02-16c,16c-1f,1,0.05,40002064.5
30-0.02-16c,16c-1f,2,0.06,45830023.2
30-0.02-16c,16c-1f,3,0.07,57017075.7
30-0.02-16c,16c-1f,4,0.1,85884343.0
30-0.02-16c,16c-1f,5,0.35,330640455.7
30-0.02-16c,16c-1f,6,0.43,416225638.6
30-0.02-16c,16c-1f,7,0.68,659171868.8
30-0.02-16c,16c-1f,8,0.76,738663578.7
30-0.02-16c,16c-1f,9,1.0,982121813.8
30-0.02-16c,16c-1f,10,1.36,1332661941.7
30-0.02-16c,16c-1f,11,1.49,1462518408.4
30-0.02-16c,16c-1f,12,1.92,1891245719.0
30-0.02-16c,16c-1f,13,2.08,2053517451.0
30-0.02-16c,16c-1f,14,2.21,2185430494.1
30-0.02-16c,16c-1f,15,2.59,2559114773.0
30-0.02-16c,16c-1f,16,2.99,2961778381.4
30-0.02-16c,16c-1f,17,3.19,3158404402.2
30-0.02-16c,16c-1f,18,3.27,3233278866.7
30-0.02-16c,16c-1f,19,3.31,3280522205.4
30-0.02-16c,16c-1f,20,4.04,4004675968.3
30-0.02-16c,16c-1f,21,4.3,4256014411.9
30-0.02-16c,16c-1f,22,4.54,4499354843.7
30-0.02-16c,16c-1f,23,4.6,4555013708.4
30-0.02-16c,16c-1f,24,4.66,4616799561.0
30-0.02-16c,16c-1f,25,4.71,4666063853.8
30-0.02-16c,16c-1f,26,5.06,5016735492.4
30-0.02-16c,16c-1f,27,5.16,5117926197.4
30-0.02-16c,16c-1f,28,5.24,5199435357.2
30-0.02-16c,16c-1f,29,5.45,5402955335.4
30-0.02-16c,16c-1f,30,5.51,5466535392.3
30-0.02-16c,16c-1f,31,5.95,5907663022.9
30-0.02-16c,16c-1f,32,7.15,7094404364.8
30-0.02-16c,16c-1f,33,7.16,7112270143.6
30-0.02-16c,16c-1f,34,7.79,7735816463.3
30-0.02-16c,16c-1f,35,7.88,7828032692.3
30-0.02-16c,16c-1f,36,8.08,8027581814.6
30-0.02-16c,16c-1f,37,8.32,8261777437.0
30-0.02-16c,16c-1f,38,8.5,8443164466.8
