test,approach,answer,time,responseTime
30-0.02-8c,8c-2000f,1,0.08,74225686.00
30-0.02-8c,8c-2000f,2,0.08,78253681.00
30-0.02-8c,8c-2000f,3,0.08,78177879.00
30-0.02-8c,8c-2000f,4,0.09,87413551.00
30-0.02-8c,8c-2000f,5,0.32,315279346.00
30-0.02-8c,8c-2000f,6,0.39,378073186.00
30-0.02-8c,8c-2000f,7,0.42,410940025.00
30-0.02-8c,8c-2000f,8,0.48,397332587.00
30-0.02-8c,8c-2000f,9,0.48,328316811.00
30-0.02-8c,8c-2000f,10,0.50,363381366.00
30-0.02-8c,8c-2000f,11,0.50,488234799.00
30-0.02-8c,8c-2000f,12,0.52,513935622.00
30-0.02-8c,8c-2000f,13,0.53,481538343.00
30-0.02-8c,8c-2000f,14,0.53,310401845.00
30-0.02-8c,8c-2000f,15,0.66,371102757.00
30-0.02-8c,8c-2000f,16,0.67,536262230.00
30-0.02-8c,8c-2000f,17,0.73,541831959.00
30-0.02-8c,8c-2000f,18,0.78,582492181.00
30-0.02-8c,8c-2000f,19,0.80,593178707.00
30-0.02-8c,8c-2000f,20,0.81,370130084.00
30-0.02-8c,8c-2000f,21,0.83,609729731.00
30-0.02-8c,8c-2000f,22,0.86,814306179.00
30-0.02-8c,8c-2000f,23,0.90,358227150.00
30-0.02-8c,8c-2000f,24,0.95,605427838.00
30-0.02-8c,8c-2000f,25,0.95,684488889.00
30-0.02-8c,8c-2000f,26,1.10,890486193.00
30-0.02-8c,8c-2000f,27,1.11,450958207.00
30-0.02-8c,8c-2000f,28,1.12,789022664.00
30-0.02-8c,8c-2000f,29,1.15,491828273.00
30-0.02-8c,8c-2000f,30,1.19,703142400.00
30-0.02-8c,8c-2000f,31,1.31,1042755590.00
30-0.02-8c,8c-2000f,32,1.40,1030303246.00
30-0.02-8c,8c-2000f,33,1.49,1469723833.00
30-0.02-8c,8c-2000f,34,1.55,1350790649.00
30-0.02-8c,8c-2000f,35,1.57,1290809505.00
30-0.02-8c,8c-2000f,36,1.87,1773947266.00
30-0.02-8c,8c-2000f,37,1.90,1448421261.00
30-0.02-8c,8c-2000f,38,1.91,1366620627.00
30-0.02-8c,8c-2000f,39,1.96,1374487796.00
30-0.02-8c,8c-2000f,40,2.04,1481076052.00
30-0.02-8c,8c-2000f,41,2.08,1519768823.00
30-0.02-8c,8c-2000f,42,2.10,1776528087.00
30-0.02-8c,8c-2000f,43,2.13,2028185219.00
30-0.02-8c,8c-2000f,44,2.15,1884459549.00
30-0.02-8c,8c-2000f,45,2.18,1905466987.00
30-0.02-8c,8c-2000f,46,2.22,2096342148.00
30-0.02-8c,8c-2000f,47,2.23,2133178571.00
30-0.02-8c,8c-2000f,48,2.24,1427793178.00
30-0.02-8c,8c-2000f,49,2.25,1797680661.00
30-0.02-8c,8c-2000f,50,2.28,2256980282.00
30-0.02-8c,8c-2000f,51,2.31,1975089151.00
30-0.02-8c,8c-2000f,52,2.32,2289310250.00
30-0.02-8c,8c-2000f,53,2.37,1991064769.00
30-0.02-8c,8c-2000f,54,2.45,2134788026.00
30-0.02-8c,8c-2000f,55,2.52,2467006140.00
30-0.02-8c,8c-2000f,56,2.54,2509955600.00
30-0.02-8c,8c-2000f,57,2.71,2417568504.00
30-0.02-8c,8c-2000f,58,2.71,2662257512.00
30-0.02-8c,8c-2000f,59,2.71,2207945860.00
30-0.02-8c,8c-2000f,60,2.77,2130868440.00
30-0.02-8c,8c-2000f,61,2.79,2624673442.00
30-0.02-8c,8c-2000f,62,2.86,1679054848.00
30-0.02-8c,8c-2000f,63,2.94,2578824962.00
30-0.02-8c,8c-2000f,64,2.99,1785946885.00
30-0.02-8c,8c-2000f,65,3.00,1999127695.00
30-0.02-8c,8c-2000f,66,3.04,2410611494.00
