test,approach,answer,time,responseTime
30-0.02-8c,8c-20f,1,0.01,6299242.0
30-0.02-8c,8c-20f,2,0.01,8758557.5
30-0.02-8c,8c-20f,3,0.02,15353986.5
30-0.02-8c,8c-20f,4,0.02,7650709.5
30-0.02-8c,8c-20f,5,0.02,7204228.0
30-0.02-8c,8c-20f,6,0.02,14056537.5
30-0.02-8c,8c-20f,7,0.02,13690872.5
30-0.02-8c,8c-20f,8,0.03,17061260.5
30-0.02-8c,8c-20f,9,0.04,32347695.5
30-0.02-8c,8c-20f,10,0.04,24939558.5
30-0.02-8c,8c-20f,11,0.04,15266452.5
30-0.02-8c,8c-20f,12,0.04,25304114.0
30-0.02-8c,8c-20f,13,0.06,24189968.0
30-0.02-8c,8c-20f,14,0.06,29841242.5
30-0.02-8c,8c-20f,15,0.06,37966182.0
30-0.02-8c,8c-20f,16,0.1,82390319.0
30-0.02-8c,8c-20f,17,0.24,207168346.5
30-0.02-8c,8c-20f,18,0.28,253700037.0
30-0.02-8c,8c-20f,19,0.28,251702358.5
30-0.02-8c,8c-20f,20,0.32,299947110.5
30-0.02-8c,8c-20f,21,0.34,314036799.5
30-0.02-8c,8c-20f,22,0.34,318873850.0
30-0.02-8c,8c-20f,23,0.44,378916477.0
30-0.02-8c,8c-20f,24,0.46,398487154.0
30-0.02-8c,8c-20f,25,0.48,425330294.5
30-0.02-8c,8c-20f,26,0.48,435945945.5
30-0.02-8c,8c-20f,27,0.48,436057791.5
30-0.02-8c,8c-20f,28,0.49,444382055.5
30-0.02-8c,8c-20f,29,0.5,444039345.0
30-0.02-8c,8c-20f,30,0.5,472121260.5
30-0.02-8c,8c-20f,31,0.52,470476135.5
30-0.02-8c,8c-20f,32,0.54,508130800.0
30-0.02-8c,8c-20f,33,0.55,511983649.0
30-0.02-8c,8c-20f,34,0.55,518578057.0
30-0.02-8c,8c-20f,35,0.56,529540655.0
30-0.02-8c,8c-20f,36,0.57,523756055.0
30-0.02-8c,8c-20f,37,0.58,536855391.0
30-0.02-8c,8c-20f,38,0.61,573875237.0
30-0.02-8c,8c-20f,39,0.63,579836062.5
