test,approach,answer,time
30-0.02-1c,1c-5f,1,0.15
30-0.02-1c,1c-5f,2,0.23
30-0.02-1c,1c-5f,3,0.23
30-0.02-1c,1c-5f,4,0.26
30-0.02-1c,1c-5f,5,0.27
30-0.02-1c,1c-5f,6,0.28
30-0.02-1c,1c-5f,7,0.29
30-0.02-1c,1c-5f,8,0.30
30-0.02-1c,1c-5f,9,0.31
30-0.02-1c,1c-5f,10,0.39
30-0.02-1c,1c-5f,11,0.42
30-0.02-1c,1c-5f,12,0.44
30-0.02-1c,1c-5f,13,0.46
30-0.02-1c,1c-5f,14,0.54
30-0.02-1c,1c-5f,15,0.58
30-0.02-1c,1c-5f,16,0.76
30-0.02-1c,1c-5f,17,0.77
30-0.02-1c,1c-5f,18,0.82
30-0.02-1c,1c-5f,19,0.83
30-0.02-1c,1c-5f,20,0.87
30-0.02-1c,1c-5f,21,1.21
30-0.02-1c,1c-5f,22,1.30
30-0.02-1c,1c-5f,23,1.45
30-0.02-1c,1c-5f,24,1.52
30-0.02-1c,1c-5f,25,1.52
30-0.02-1c,1c-5f,26,1.59
30-0.02-1c,1c-5f,27,1.59
30-0.02-1c,1c-5f,28,1.60
30-0.02-1c,1c-5f,29,1.64
30-0.02-1c,1c-5f,30,1.67
30-0.02-1c,1c-5f,31,1.70
30-0.02-1c,1c-5f,32,1.73
30-0.02-1c,1c-5f,33,1.74
30-0.02-1c,1c-5f,34,1.79
30-0.02-1c,1c-5f,35,1.84
30-0.02-1c,1c-5f,36,1.98
30-0.02-1c,1c-5f,37,2.28
30-0.02-1c,1c-5f,38,2.29
30-0.02-1c,1c-5f,39,2.35
30-0.02-1c,1c-5f,40,2.39
30-0.02-1c,1c-5f,41,2.41
30-0.02-1c,1c-5f,42,2.44
30-0.02-1c,1c-5f,43,2.52
30-0.02-1c,1c-5f,44,2.64
30-0.02-1c,1c-5f,45,2.71
30-0.02-1c,1c-5f,46,2.97
30-0.02-1c,1c-5f,47,2.98
30-0.02-1c,1c-5f,48,3.05
30-0.02-1c,1c-5f,49,3.23
30-0.02-1c,1c-5f,50,3.31
30-0.02-1c,1c-5f,51,3.45
30-0.02-1c,1c-5f,52,3.63
30-0.02-1c,1c-5f,53,3.85
30-0.02-1c,1c-5f,54,3.92
30-0.02-1c,1c-5f,55,4.06
30-0.02-1c,1c-5f,56,4.07
30-0.02-1c,1c-5f,57,4.08
30-0.02-1c,1c-5f,58,4.09
30-0.02-1c,1c-5f,59,4.13
30-0.02-1c,1c-5f,60,4.13
30-0.02-1c,1c-5f,61,4.15
30-0.02-1c,1c-5f,62,4.24
30-0.02-1c,1c-5f,63,4.29
30-0.02-1c,1c-5f,64,4.34
30-0.02-1c,1c-5f,65,4.35
30-0.02-1c,1c-5f,66,4.47
30-0.02-1c,1c-5f,67,4.57
30-0.02-1c,1c-5f,68,4.65
30-0.02-1c,1c-5f,69,4.68
30-0.02-1c,1c-5f,70,4.80
30-0.02-1c,1c-5f,71,4.82
30-0.02-1c,1c-5f,72,4.82
30-0.02-1c,1c-5f,73,4.88
30-0.02-1c,1c-5f,74,5.09
30-0.02-1c,1c-5f,75,5.16
30-0.02-1c,1c-5f,76,5.20
30-0.02-1c,1c-5f,77,5.21
30-0.02-1c,1c-5f,78,5.53
30-0.02-1c,1c-5f,79,5.95
30-0.02-1c,1c-5f,80,6.00
30-0.02-1c,1c-5f,81,6.08
30-0.02-1c,1c-5f,82,6.10
30-0.02-1c,1c-5f,83,6.12
30-0.02-1c,1c-5f,84,6.34
30-0.02-1c,1c-5f,85,6.66
30-0.02-1c,1c-5f,86,6.74
30-0.02-1c,1c-5f,87,6.78
30-0.02-1c,1c-5f,88,6.87
30-0.02-1c,1c-5f,89,6.89
30-0.02-1c,1c-5f,90,6.94
30-0.02-1c,1c-5f,91,6.97
30-0.02-1c,1c-5f,92,7.01
30-0.02-1c,1c-5f,93,7.03
30-0.02-1c,1c-5f,94,7.09
30-0.02-1c,1c-5f,95,7.11
30-0.02-1c,1c-5f,96,7.22
30-0.02-1c,1c-5f,97,7.28
30-0.02-1c,1c-5f,98,7.30
30-0.02-1c,1c-5f,99,7.62
30-0.02-1c,1c-5f,100,7.74
30-0.02-1c,1c-5f,101,7.81
30-0.02-1c,1c-5f,102,8.15
30-0.02-1c,1c-5f,103,8.32
30-0.02-1c,1c-5f,104,8.58
30-0.02-1c,1c-5f,105,8.66
30-0.02-1c,1c-5f,106,8.67
30-0.02-1c,1c-5f,107,9.00
30-0.02-1c,1c-5f,108,9.07
30-0.02-1c,1c-5f,109,9.21
