test,approach,answer,time,responseTime
30-0.02-16c,16c-1f,1,3.71,6418522.00
30-0.02-16c,16c-1f,2,3.74,6715672.00
30-0.02-16c,16c-1f,3,3.92,6482715.00
30-0.02-16c,16c-1f,4,4.57,6525140.00
30-0.02-16c,16c-1f,5,8.96,6204078.00
30-0.02-16c,16c-1f,6,9.76,4788431.00
30-0.02-16c,16c-1f,7,12.13,4380047.00
30-0.02-16c,16c-1f,8,12.56,4419391.00
30-0.02-16c,16c-1f,9,14.87,6482106.00
30-0.02-16c,16c-1f,10,17.55,6831205.00
30-0.02-16c,16c-1f,11,18.59,7334149.00
30-0.02-16c,16c-1f,12,21.16,8897562.00
30-0.02-16c,16c-1f,13,22.04,12682988.00
30-0.02-16c,16c-1f,14,22.87,5614322.00
30-0.02-16c,16c-1f,15,24.70,5133864.00
30-0.02-16c,16c-1f,16,26.75,6553242.00
30-0.02-16c,16c-1f,17,27.63,6605582.00
30-0.02-16c,16c-1f,18,27.85,11146279.00
30-0.02-16c,16c-1f,19,28.10,7092837.00
30-0.02-16c,16c-1f,20,31.58,6211570.00
30-0.02-16c,16c-1f,21,32.74,6641212.00
30-0.02-16c,16c-1f,22,33.75,6435017.00
30-0.02-16c,16c-1f,23,33.96,6127768.00
30-0.02-16c,16c-1f,24,34.36,12245330.00
30-0.02-16c,16c-1f,25,34.69,6508154.00
30-0.02-16c,16c-1f,26,36.01,6477549.00
30-0.02-16c,16c-1f,27,36.41,6795750.00
30-0.02-16c,16c-1f,28,36.80,12182804.00
30-0.02-16c,16c-1f,29,37.60,5293121.00
30-0.02-16c,16c-1f,30,37.95,6850489.00
30-0.02-16c,16c-1f,31,39.75,6559975.00
30-0.02-16c,16c-1f,32,44.46,6925596.00
30-0.02-16c,16c-1f,33,44.54,12577314.00
30-0.02-16c,16c-1f,34,46.91,12415877.00
30-0.02-16c,16c-1f,35,47.28,6718437.00
30-0.02-16c,16c-1f,36,47.97,7438867.00
30-0.02-16c,16c-1f,37,48.84,7267268.00
30-0.02-16c,16c-1f,38,49.74,7444431.00
30-0.02-16c,16c-1f,39,50.11,17731744.00
30-0.02-16c,16c-1f,40,50.48,7069763.00
30-0.02-16c,16c-1f,41,52.93,5421807.00
30-0.02-16c,16c-1f,42,56.29,5035516.00
30-0.02-16c,16c-1f,43,58.61,4980097.00
30-0.02-16c,16c-1f,44,62.73,19697957.00
30-0.02-16c,16c-1f,45,63.42,14324047.00
30-0.02-16c,16c-1f,46,65.70,4258888.00
30-0.02-16c,16c-1f,47,67.55,5919339.00
30-0.02-16c,16c-1f,48,68.37,7925714.00
30-0.02-16c,16c-1f,49,74.05,7904167.00
30-0.02-16c,16c-1f,50,74.61,6874937.00
30-0.02-16c,16c-1f,51,74.98,8375624.00
30-0.02-16c,16c-1f,52,75.27,11539414.00
30-0.02-16c,16c-1f,53,76.07,12226809.00
30-0.02-16c,16c-1f,54,77.64,7052462.00
30-0.02-16c,16c-1f,55,81.61,10000940.00
30-0.02-16c,16c-1f,56,81.76,7013095.00
30-0.02-16c,16c-1f,57,83.26,5244872.00
30-0.02-16c,16c-1f,58,89.41,7139181.00
30-0.02-16c,16c-1f,59,89.57,6742043.00
30-0.02-16c,16c-1f,60,90.23,17351332.00
