test,approach,answer,time,responseTime
30-0.02-1c,1c-1f,1,3.50,7881975.00
30-0.02-1c,1c-1f,2,3.53,7532780.00
30-0.02-1c,1c-1f,3,3.71,7075294.00
30-0.02-1c,1c-1f,4,4.36,7834716.00
30-0.02-1c,1c-1f,5,8.72,5773071.00
30-0.02-1c,1c-1f,6,9.52,5722676.00
30-0.02-1c,1c-1f,7,11.87,5579397.00
30-0.02-1c,1c-1f,8,12.31,5213184.00
30-0.02-1c,1c-1f,9,14.59,6680717.00
30-0.02-1c,1c-1f,10,17.26,5495656.00
30-0.02-1c,1c-1f,11,18.29,5912409.00
30-0.02-1c,1c-1f,12,20.84,5545543.00
30-0.02-1c,1c-1f,13,21.72,11418988.00
30-0.02-1c,1c-1f,14,22.55,6014728.00
30-0.02-1c,1c-1f,15,24.35,6673378.00
30-0.02-1c,1c-1f,16,26.41,6692510.00
30-0.02-1c,1c-1f,17,27.28,7187437.00
30-0.02-1c,1c-1f,18,27.50,12037813.00
30-0.02-1c,1c-1f,19,27.75,7578645.00
30-0.02-1c,1c-1f,20,31.22,5911376.00
30-0.02-1c,1c-1f,21,32.37,7542851.00
30-0.02-1c,1c-1f,22,33.38,7950739.00
30-0.02-1c,1c-1f,23,33.59,7775161.00
30-0.02-1c,1c-1f,24,33.99,15868472.00
30-0.02-1c,1c-1f,25,34.32,7053880.00
30-0.02-1c,1c-1f,26,35.63,6015724.00
30-0.02-1c,1c-1f,27,36.03,6486283.00
30-0.02-1c,1c-1f,28,36.41,9850888.00
30-0.02-1c,1c-1f,29,37.21,6400669.00
30-0.02-1c,1c-1f,30,37.56,9120296.00
30-0.02-1c,1c-1f,31,39.34,6917188.00
30-0.02-1c,1c-1f,32,44.03,6560503.00
30-0.02-1c,1c-1f,33,44.10,11575006.00
30-0.02-1c,1c-1f,34,46.46,9477348.00
30-0.02-1c,1c-1f,35,46.84,6617094.00
30-0.02-1c,1c-1f,36,47.52,6458997.00
30-0.02-1c,1c-1f,37,48.37,5197382.00
30-0.02-1c,1c-1f,38,49.27,6903983.00
30-0.02-1c,1c-1f,39,49.64,18031641.00
30-0.02-1c,1c-1f,40,50.01,5197673.00
30-0.02-1c,1c-1f,41,52.45,6642118.00
