test,approach,answer,time,responseTime
30-0.02-1c,1c-1f,1,3.47,7353835.00
30-0.02-1c,1c-1f,2,3.50,6655479.00
30-0.02-1c,1c-1f,3,3.68,6470095.00
30-0.02-1c,1c-1f,4,4.32,7175496.00
30-0.02-1c,1c-1f,5,8.68,4793622.00
30-0.02-1c,1c-1f,6,9.48,4955440.00
30-0.02-1c,1c-1f,7,11.84,4868959.00
30-0.02-1c,1c-1f,8,12.28,6977208.00
30-0.02-1c,1c-1f,9,14.60,6272314.00
30-0.02-1c,1c-1f,10,17.27,6944584.00
30-0.02-1c,1c-1f,11,18.30,6316283.00
30-0.02-1c,1c-1f,12,20.86,8313290.00
30-0.02-1c,1c-1f,13,21.74,12656995.00
30-0.02-1c,1c-1f,14,22.57,7020494.00
30-0.02-1c,1c-1f,15,24.37,7172829.00
30-0.02-1c,1c-1f,16,26.42,6737906.00
30-0.02-1c,1c-1f,17,27.29,6479557.00
30-0.02-1c,1c-1f,18,27.52,11547795.00
30-0.02-1c,1c-1f,19,27.77,7790965.00
30-0.02-1c,1c-1f,20,31.23,6863562.00
30-0.02-1c,1c-1f,21,32.38,6715273.00
30-0.02-1c,1c-1f,22,33.39,6033873.00
30-0.02-1c,1c-1f,23,33.60,7602187.00
30-0.02-1c,1c-1f,24,33.99,9930671.00
30-0.02-1c,1c-1f,25,34.32,5547017.00
30-0.02-1c,1c-1f,26,35.63,6721272.00
30-0.02-1c,1c-1f,27,36.03,7532755.00
30-0.02-1c,1c-1f,28,36.41,12427056.00
30-0.02-1c,1c-1f,29,37.21,7116050.00
30-0.02-1c,1c-1f,30,37.56,11115581.00
30-0.02-1c,1c-1f,31,39.34,7667875.00
30-0.02-1c,1c-1f,32,44.03,6200112.00
30-0.02-1c,1c-1f,33,44.10,11898177.00
30-0.02-1c,1c-1f,34,46.47,11024779.00
30-0.02-1c,1c-1f,35,46.84,6953148.00
30-0.02-1c,1c-1f,36,47.52,7179651.00
30-0.02-1c,1c-1f,37,48.38,7436334.00
30-0.02-1c,1c-1f,38,49.28,7310869.00
30-0.02-1c,1c-1f,39,49.64,17186028.00
30-0.02-1c,1c-1f,40,50.02,8065102.00
30-0.02-1c,1c-1f,41,52.46,6974709.00
30-0.02-1c,1c-1f,42,55.81,5382833.00
30-0.02-1c,1c-1f,43,58.12,5323241.00
30-0.02-1c,1c-1f,44,62.22,22626487.00
30-0.02-1c,1c-1f,45,62.90,12279983.00
30-0.02-1c,1c-1f,46,65.17,6606592.00
30-0.02-1c,1c-1f,47,67.01,9944111.00
30-0.02-1c,1c-1f,48,67.83,10402903.00
30-0.02-1c,1c-1f,49,73.47,4616773.00
30-0.02-1c,1c-1f,50,74.02,5073474.00
30-0.02-1c,1c-1f,51,74.39,8553823.00
30-0.02-1c,1c-1f,52,74.69,10421231.00
30-0.02-1c,1c-1f,53,75.48,9642545.00
30-0.02-1c,1c-1f,54,77.04,6274046.00
30-0.02-1c,1c-1f,55,80.99,11154632.00
30-0.02-1c,1c-1f,56,81.13,6576205.00
30-0.02-1c,1c-1f,57,82.63,6861410.00
30-0.02-1c,1c-1f,58,88.73,4847222.00
30-0.02-1c,1c-1f,59,88.89,4725325.00
30-0.02-1c,1c-1f,60,89.53,4583929.00
30-0.02-1c,1c-1f,61,89.75,5060520.00
30-0.02-1c,1c-1f,62,90.10,7358458.00
30-0.02-1c,1c-1f,63,90.42,5051388.00
30-0.02-1c,1c-1f,64,90.52,7741736.00
30-0.02-1c,1c-1f,65,93.00,7230607.00
30-0.02-1c,1c-1f,66,93.58,5116923.00
30-0.02-1c,1c-1f,67,93.69,4625299.00
30-0.02-1c,1c-1f,68,95.51,6405971.00
30-0.02-1c,1c-1f,69,96.17,4840738.00
30-0.02-1c,1c-1f,70,97.78,6971374.00
30-0.02-1c,1c-1f,71,98.33,5027856.00
30-0.02-1c,1c-1f,72,101.40,4477791.00
30-0.02-1c,1c-1f,73,102.73,7224121.00
30-0.02-1c,1c-1f,74,104.02,6420823.00
30-0.02-1c,1c-1f,75,105.36,9049496.00
30-0.02-1c,1c-1f,76,105.87,6378699.00
30-0.02-1c,1c-1f,77,106.71,7034099.00
30-0.02-1c,1c-1f,78,107.23,6538238.00
30-0.02-1c,1c-1f,79,108.63,9547558.00
30-0.02-1c,1c-1f,80,111.69,6340568.00
30-0.02-1c,1c-1f,81,118.75,9802035.00
30-0.02-1c,1c-1f,82,119.44,7273327.00
30-0.02-1c,1c-1f,83,121.51,5465718.00
30-0.02-1c,1c-1f,84,123.88,15290298.00
30-0.02-1c,1c-1f,85,123.94,6990455.00
30-0.02-1c,1c-1f,86,125.73,12804520.00
30-0.02-1c,1c-1f,87,127.09,6796261.00
30-0.02-1c,1c-1f,88,130.14,7822279.00
30-0.02-1c,1c-1f,89,131.55,6557945.00
30-0.02-1c,1c-1f,90,137.21,6894292.00
30-0.02-1c,1c-1f,91,137.55,18099596.00
30-0.02-1c,1c-1f,92,138.28,5130963.00
30-0.02-1c,1c-1f,93,139.74,7432828.00
30-0.02-1c,1c-1f,94,140.73,5213000.00
30-0.02-1c,1c-1f,95,143.76,6268155.00
30-0.02-1c,1c-1f,96,146.67,6955653.00
30-0.02-1c,1c-1f,97,149.75,20379268.00
30-0.02-1c,1c-1f,98,150.17,12034118.00
30-0.02-1c,1c-1f,99,150.33,7046142.00
30-0.02-1c,1c-1f,100,150.37,13079879.00
30-0.02-1c,1c-1f,101,151.87,7253931.00
30-0.02-1c,1c-1f,102,152.13,7190716.00
30-0.02-1c,1c-1f,103,153.11,11907627.00
30-0.02-1c,1c-1f,104,154.99,16943982.00
30-0.02-1c,1c-1f,105,157.68,6942910.00
30-0.02-1c,1c-1f,106,160.01,7556342.00
30-0.02-1c,1c-1f,107,161.40,7222909.00
30-0.02-1c,1c-1f,108,167.32,6399650.00
30-0.02-1c,1c-1f,109,170.09,4384614.00
30-0.02-1c,1c-1f,110,171.19,4969241.00
30-0.02-1c,1c-1f,111,171.87,7047956.00
30-0.02-1c,1c-1f,112,176.20,6678989.00
30-0.02-1c,1c-1f,113,177.97,6764347.00
30-0.02-1c,1c-1f,114,178.25,7270549.00
30-0.02-1c,1c-1f,115,179.98,6108994.00
30-0.02-1c,1c-1f,116,180.83,4653882.00
30-0.02-1c,1c-1f,117,181.18,4982171.00
30-0.02-1c,1c-1f,118,186.21,7337980.00
30-0.02-1c,1c-1f,119,186.58,12131312.00
30-0.02-1c,1c-1f,120,189.40,7262019.00
30-0.02-1c,1c-1f,121,190.60,5570165.00
30-0.02-1c,1c-1f,122,191.08,6310632.00
30-0.02-1c,1c-1f,123,191.19,5395761.00
30-0.02-1c,1c-1f,124,192.65,7120920.00
30-0.02-1c,1c-1f,125,193.95,7440748.00
30-0.02-1c,1c-1f,126,194.09,10969623.00
30-0.02-1c,1c-1f,127,194.77,7517309.00
30-0.02-1c,1c-1f,128,196.44,7207565.00
30-0.02-1c,1c-1f,129,196.85,18167209.00
30-0.02-1c,1c-1f,130,198.40,11471122.00
30-0.02-1c,1c-1f,131,198.93,12136574.00
30-0.02-1c,1c-1f,132,199.98,11187563.00
30-0.02-1c,1c-1f,133,203.05,14047050.00
30-0.02-1c,1c-1f,134,206.46,5255396.00
30-0.02-1c,1c-1f,135,206.65,4617321.00
30-0.02-1c,1c-1f,136,207.05,11595425.00
30-0.02-1c,1c-1f,137,208.41,10868963.00
30-0.02-1c,1c-1f,138,208.89,19119437.00
30-0.02-1c,1c-1f,139,211.58,10389532.00
30-0.02-1c,1c-1f,140,215.33,7681157.00
30-0.02-1c,1c-1f,141,215.83,5955462.00
30-0.02-1c,1c-1f,142,217.05,6662615.00
30-0.02-1c,1c-1f,143,217.69,13403322.00
30-0.02-1c,1c-1f,144,217.77,6768756.00
30-0.02-1c,1c-1f,145,221.03,6981672.00
30-0.02-1c,1c-1f,146,223.14,7014066.00
30-0.02-1c,1c-1f,147,226.53,5754737.00
30-0.02-1c,1c-1f,148,226.67,5188631.00
30-0.02-1c,1c-1f,149,227.02,7671007.00
30-0.02-1c,1c-1f,150,227.72,14742735.00
30-0.02-1c,1c-1f,151,228.22,6384255.00
30-0.02-1c,1c-1f,152,228.85,11736945.00
30-0.02-1c,1c-1f,153,229.47,15681280.00
30-0.02-1c,1c-1f,154,229.75,6475149.00
30-0.02-1c,1c-1f,155,233.12,6321191.00
30-0.02-1c,1c-1f,156,236.20,5232172.00
30-0.02-1c,1c-1f,157,237.12,6728915.00
30-0.02-1c,1c-1f,158,237.62,12286167.00
30-0.02-1c,1c-1f,159,238.08,7268989.00
30-0.02-1c,1c-1f,160,241.13,16932143.00
30-0.02-1c,1c-1f,161,243.61,5589085.00
30-0.02-1c,1c-1f,162,244.73,6514475.00
30-0.02-1c,1c-1f,163,245.47,6760878.00
30-0.02-1c,1c-1f,164,246.72,6912587.00
30-0.02-1c,1c-1f,165,247.75,6875073.00
30-0.02-1c,1c-1f,166,248.42,6445700.00
30-0.02-1c,1c-1f,167,248.49,6553244.00
30-0.02-1c,1c-1f,168,249.56,6922520.00
30-0.02-1c,1c-1f,169,249.57,6571459.00
30-0.02-1c,1c-1f,170,250.07,14781106.00
30-0.02-1c,1c-1f,171,250.10,7184251.00
30-0.02-1c,1c-1f,172,251.67,6660995.00
30-0.02-1c,1c-1f,173,252.66,6967512.00
30-0.02-1c,1c-1f,174,253.11,6876424.00
30-0.02-1c,1c-1f,175,254.84,6929254.00
30-0.02-1c,1c-1f,176,255.42,6421231.00
30-0.02-1c,1c-1f,177,256.26,7017988.00
30-0.02-1c,1c-1f,178,258.49,6968278.00
30-0.02-1c,1c-1f,179,260.28,11059341.00
30-0.02-1c,1c-1f,180,261.94,5422094.00
30-0.02-1c,1c-1f,181,264.05,6702608.00
30-0.02-1c,1c-1f,182,264.57,6155528.00
30-0.02-1c,1c-1f,183,266.89,4921151.00
30-0.02-1c,1c-1f,184,267.88,6418174.00
30-0.02-1c,1c-1f,185,268.93,13659260.00
30-0.02-1c,1c-1f,186,269.66,7349846.00
30-0.02-1c,1c-1f,187,270.11,5778693.00
30-0.02-1c,1c-1f,188,270.81,5404537.00
30-0.02-1c,1c-1f,189,271.13,5338675.00
