test,approach,answer,time,responseTime
30-0.02-2c,2c-500f,1,0.50,473383932.00
30-0.02-2c,2c-500f,2,0.53,496863348.00
30-0.02-2c,2c-500f,3,0.53,496887226.00
30-0.02-2c,2c-500f,4,1.26,1135174168.00
30-0.02-2c,2c-500f,5,1.31,1192906211.00
30-0.02-2c,2c-500f,6,1.35,1237119725.00
30-0.02-2c,2c-500f,7,1.38,1323856453.00
30-0.02-2c,2c-500f,8,1.70,1641073631.00
30-0.02-2c,2c-500f,9,1.70,1620373293.00
30-0.02-2c,2c-500f,10,1.70,1621607561.00
30-0.02-2c,2c-500f,11,1.74,1658423047.00
30-0.02-2c,2c-500f,12,1.92,1700735636.00
30-0.02-2c,2c-500f,13,2.09,2004170918.00
30-0.02-2c,2c-500f,14,2.18,1951332620.00
30-0.02-2c,2c-500f,15,2.22,1927751607.00
30-0.02-2c,2c-500f,16,2.26,2134054398.00
30-0.02-2c,2c-500f,17,2.27,2194083939.00
30-0.02-2c,2c-500f,18,2.30,2007598998.00
30-0.02-2c,2c-500f,19,2.31,2182294733.00
30-0.02-2c,2c-500f,20,2.31,1841848506.00
30-0.02-2c,2c-500f,21,2.31,2013481867.00
30-0.02-2c,2c-500f,22,2.32,2236133604.00
30-0.02-2c,2c-500f,23,2.34,1745194774.00
30-0.02-2c,2c-500f,24,2.35,2047309363.00
30-0.02-2c,2c-500f,25,2.36,2301324539.00
30-0.02-2c,2c-500f,26,2.37,1687036082.00
30-0.02-2c,2c-500f,27,2.39,1679684066.00
30-0.02-2c,2c-500f,28,2.48,1765668414.00
30-0.02-2c,2c-500f,29,2.48,2179571526.00
30-0.02-2c,2c-500f,30,2.53,2062652708.00
30-0.02-2c,2c-500f,31,2.55,2077532380.00
30-0.02-2c,2c-500f,32,2.65,2583018466.00
30-0.02-2c,2c-500f,33,2.69,1905425418.00
30-0.02-2c,2c-500f,34,2.70,1838243443.00
30-0.02-2c,2c-500f,35,2.70,1982003549.00
30-0.02-2c,2c-500f,36,2.72,2428093725.00
30-0.02-2c,2c-500f,37,2.73,2127079508.00
30-0.02-2c,2c-500f,38,2.75,1988009583.00
