test,approach,tfft,totaltime,mrt,comp
30-0.02-4c,4c-1000f,0.17,17.71,9951880665,462
30-0.02-4c,4c-1000f,0.08,18.5,10063067864,462
30-0.02-4c,4c-1000f,0.2,18.04,10075244930,462
30-0.02-4c,4c-1000f,0.11,17.46,9421402219,462
30-0.02-4c,4c-1000f,0.08,17.43,9625581659,462
30-0.02-4c,4c-1000f,0.19,18.22,9955736081,462
30-0.02-4c,4c-1000f,0.12,19.11,10559870967,462
30-0.02-4c,4c-1000f,0.17,17.99,10073803704,462
30-0.02-4c,4c-1000f,0.12,17.86,9699350609,462
30-0.02-4c,4c-1000f,0.11,18.03,10128527134,462
