transaction_id,number_id,ATM_id,transaction_start,transaction_end,transaction_amount
0,0,1,2018-04-02 19:55:18,2018-04-02 19:55:45,57449.11
1,0,1,2018-04-03 01:25:52,2018-04-03 01:33:23,8106.64
7,1,1,2018-04-04 10:54:17,2018-04-04 10:58:38,22715.41
11,2,1,2018-04-04 22:32:19,2018-04-04 22:34:49,1810.21
2,0,1,2018-04-06 09:48:48,2018-04-06 09:54:46,37212.21
8,1,1,2018-04-06 10:53:31,2018-04-06 10:58:07,28305.5
9,1,1,2018-04-06 20:09:57,2018-04-06 20:14:40,23921.33
12,2,0,2018-04-07 06:04:48,2018-04-07 06:12:25,28406.82
3,0,0,2018-04-07 08:44:06,2018-04-07 08:48:21,29058.96
4,0,0,2018-04-07 21:00:29,2018-04-07 21:03:33,31787.83
5,0,1,2018-04-07 22:45:33,2018-04-07 22:50:37,39932.98
6,0,0,2018-04-10 03:42:50,2018-04-10 03:47:10,22947.33
10,1,1,2018-04-10 18:59:22,2018-04-10 19:01:45,5126.78
