test,approach,answer,time
30-0.02-4c,4c-2f,1,0.01
30-0.02-4c,4c-2f,2,0.02
30-0.02-4c,4c-2f,3,0.03
30-0.02-4c,4c-2f,4,0.03
30-0.02-4c,4c-2f,5,0.04
30-0.02-4c,4c-2f,6,0.05
30-0.02-4c,4c-2f,7,0.05
30-0.02-4c,4c-2f,8,0.09
30-0.02-4c,4c-2f,9,0.09
30-0.02-4c,4c-2f,10,0.1
30-0.02-4c,4c-2f,11,0.12
30-0.02-4c,4c-2f,12,0.14
30-0.02-4c,4c-2f,13,0.16
30-0.02-4c,4c-2f,14,0.17
30-0.02-4c,4c-2f,15,0.18
30-0.02-4c,4c-2f,16,0.18
30-0.02-4c,4c-2f,17,0.2
30-0.02-4c,4c-2f,18,0.22
30-0.02-4c,4c-2f,19,0.28
30-0.02-4c,4c-2f,20,0.3
30-0.02-4c,4c-2f,21,0.32
30-0.02-4c,4c-2f,22,0.34
30-0.02-4c,4c-2f,23,0.36
30-0.02-4c,4c-2f,24,0.36
30-0.02-4c,4c-2f,25,0.43
30-0.02-4c,4c-2f,26,0.45
30-0.02-4c,4c-2f,27,0.5
30-0.02-4c,4c-2f,28,0.53
30-0.02-4c,4c-2f,29,0.55
30-0.02-4c,4c-2f,30,0.56
30-0.02-4c,4c-2f,31,0.57
30-0.02-4c,4c-2f,32,0.58
30-0.02-4c,4c-2f,33,0.6
30-0.02-4c,4c-2f,34,0.62
30-0.02-4c,4c-2f,35,0.62
30-0.02-4c,4c-2f,36,0.62
30-0.02-4c,4c-2f,37,0.63
30-0.02-4c,4c-2f,38,0.63
30-0.02-4c,4c-2f,39,0.65
30-0.02-4c,4c-2f,40,0.68
30-0.02-4c,4c-2f,41,0.69
30-0.02-4c,4c-2f,42,0.8
30-0.02-4c,4c-2f,43,0.8
30-0.02-4c,4c-2f,44,0.8
30-0.02-4c,4c-2f,45,0.84
30-0.02-4c,4c-2f,46,0.84
30-0.02-4c,4c-2f,47,0.85
30-0.02-4c,4c-2f,48,0.85
30-0.02-4c,4c-2f,49,0.87
30-0.02-4c,4c-2f,50,0.91
